en,ko,word_freqs_ententen
baldwin,볼드윈,2009
ballad,발라드,19185
baltic,발트,642
bangalore,벵갈루루,4230
bangkok,방콕,3811
bankruptcy,파산,515397
barber,이발사,15922
barber,이발,15922
barn,헛간,70175
barrel,배럴,117841
barrett,배럿,1434
barrier,장벽,147355
bart,바트,1755
barton,바톤,1280
basel,바젤,922
basement,지하,142360
basement,지하도,142360
basque,바스크어,1031
basque,바스크,1031
bassist,베이시스트,21674
bates,베이츠,853
bats,박쥐,46784
batsman,배팅,8928
batteries,배터리,209214
batteries,전지,209214
batteries,건전지,209214
battlefield,배틀필드,46405
beaches,해변,207620
beaches,바닷가,207620
beast,비스트,93519
beast,짐승,93519
beatles,비틀즈,5529
beats,비트,192814
beaver,비버,13270
beck,벡스,5813
bedford,베드포드,1136
bedford,베드퍼드,1136
beds,침대,206278
bee,벌벌,59238
bee,꿀벌,59238
belarus,벨라루스,371
benedict,베네딕토,2440
benedict,베네딕도,2440
benedict,베네딕트,2440
bengali,벵골,924
bengali,벵골어,924
benson,벤슨,1215
bergen,베르겐,761
berkshire,버크셔,856
bermuda,버뮤다,3014
berry,베리,76122
berry,베리베리,76122
bet,베팅,398333
bet,내기,398333
beth,베스,3741
beverly,베벌리,3340
beverly,비벌리,3340
bike,자전거,539581
binary,바이너리,71492
blackburn,블랙번,626
blame,비난,279168
blast,폭발,133580
blessed,축복받은,181165
blessed,축복,181165
bloody,블러디,103926
boarding,탑승,75344
bologna,볼로냐,2423
bombardment,포격,12490
bombay,봄베이,1420
bombs,폭탄,77834
bonds,채권,217570
boot,부트,242348
boot,부츠,242348
boot,부팅,242348
booth,부스,110501
boyd,보이드,1116
boyfriend,보이프렌드,199839
boyfriend,남친,199839
boyfriend,남자친구,199839
brady,브래디,2244
brandon,브랜던,2936
brass,브라스,85995
brave,용감한,118161
breakdown,분석,119081
breakfast,아침식사,379603
breakfast,아침,379603
breakfast,조식,379603
breakfast,아침밥,379603
breast,유방,454167
breast,가슴,454167
breeds,품종,75608
brett,브렛,1682
brewery,맥주,26504
brewery,양조,26504
bride,신부,186569
bronx,브롱크스,1592
browns,브라운스,16316
bruno,브루노,2193
bryant,브라이언트,3373
bucharest,부쿠레슈티,303
buck,벅스,79772
buddha,부처님,5158
buddha,부처,5158
buddy,버디,102439
bug,벌레,164169
bug,버그,164169
bugs,곤충,156857
bugs,버그,156857
bugs,벅스,156857
builder,빌더,99079
bullet,총알,106362
bullet,탄환,106362
bundesliga,분데스리가,148
burden,부담,242779
buying,구매,1134513
bypass,우회로,73500
bypass,우회,73500
bypass,바이패스,73500
cabin,객실,127549
cabin,오두막,127549
cache,캐시,74418
caesar,시저,2445
caesar,카이사르,2445
cafe,카페,68270
cage,케이지,94136
cage,새장,94136
cairo,카이로,2236
cake,케이크,307669
calcutta,캘커타,530
calm,차분,263518
calm,차분한,263518
calm,잔잔한,263518
calvin,캘빈,2799
calvin,켈빈,2799
calvin,칼뱅,2799
cambodia,캄보디아,1318
cameras,카메라,310539
cameroon,카메룬,544
canberra,캔버라,1138
candy,사탕,157441
candy,캔디,157441
canvas,캔버스,116161
capability,능력,292938
capitals,캐피털,24805
capturing,캡처,84154
careers,커리어,205995
carey,캐리,1780
carlisle,칼라일,684
carmen,카르멘,2114
carnegie,카네기,847
carnival,사육제,33639
carnival,카니발,33639
carpenter,카펜터,23924
carpenter,목수,23924
carriage,마차,53805
carriers,캐리어,159448
carson,카슨,7162
casey,케이시,2485
casting,캐스팅,110749
castro,카스트로,953
catalan,카탈루냐어,670
catalan,카탈루냐,670
catalina,카탈리나,781
catalina,카타리나,781
catholicism,가톨릭교회,736
catholicism,가톨릭주의,736
caves,동굴,48225
cbc,cbc,1531
ceiling,천장,199124
celebrations,축하,89100
cello,첼로,18903
cellular,셀룰러,169583
censorship,검열,38726
certification,자격증,282150
chad,차드,3030
chains,체인,126905
chains,사슬,126905
challenger,챌린저,18932
chances,기회,437042
chaos,혼돈,119668
chaos,카오스,119668
chaos,혼란,119668
chapman,채프먼,1760
charitable,자선,115432
chassis,섀시,54426
checks,체크,284112
checks,수표,284112
cheese,치즈,287661
chef,요리사,116759
chef,셰프,116759
chef,주방장,116759
chemicals,화학물질,297039
chemicals,화학품,297039
chemicals,화학,297039
chennai,첸나이,4246
chest,흉부,334504
chest,가슴이,334504
chest,가슴,334504
chocolate,초콜릿,351231
chocolate,초콜렛,351231
christie,크리스티,1400
christina,크리스티나,4670
christine,크리스틴,2544
chronic,만성,267572
chronic,만성적인,267572
chronicles,연대기,21497
churchill,처칠,2825
civilization,문명,114925
claire,클레어,3036
clara,클라라,6260
clarence,클래런스,427
clarification,해명,47143
clarinet,클라리넷,12664
classroom,교실,289943
clayton,클레이턴,1944
cleaning,청소,545170
cleaning,클리닝,545170
clement,클레멘스,1147
clement,클레멘트,1147
clergy,성직자,51283
climb,오르기,194236
climbing,등산,172651
climbing,등반,172651
clinic,클리닉,185190
clinic,진료소,185190
clip,클립,215863
clips,클립,146201
clouds,구름,138718
clyde,클라이드,839
cognitive,인지,125332
collision,충돌,95090
cologne,쾰른,16023
colombian,콜롬비아,700
columnist,칼럼니스트,44714
combine,결합,255170
comfort,위안,610795
comfort,위안부,610795
commenting,댓글,64837
commit,커밋,219974
communicate,소통,374344
communism,공산주의,30594
communists,공산주의자,16045
companions,동반자,66620
compatible,호환,183911
competitor,경쟁자,93428
competitor,경쟁사,93428
complexity,복잡도,167249
compliance,준수,296937
comply,준수,182441
composite,합성,76153
composite,컴포지트,76153
compression,압축,96218
concentrated,농축,128634
conclusions,결론,138422
cone,원뿔,42852
confirmation,확인,132219
conrad,콘래드,1481
conrad,콘라드,1481
conrad,콘라트,1481
conservatives,보수주의,72095
conservatives,보수당,72095
conservatory,음악원,17962
consistency,일관성,132471
console,콘솔,165116
constantine,콘스탄틴,452
constantine,콘스탄티누스,452
constantine,콘스탄티노스,452
constantinople,콘스탄티노,647
constellation,별자리,22885
consul,영사,6990
consulting,컨설팅,215972
consumers,소비자,859819
consumers,이용자,859819
contacts,연락처,263329
container,용기,219212
container,컨테이너,219212
contestant,참가자,21197
continuation,계속,61475
continuity,연속성,73014
continuity,연속,73014
continuously,지속적으로,172764
controller,컨트롤러,136340
controlling,제어,184859
convent,수녀원,13691
convince,설득,173397
convince,납득,173397
convincing,설득력,98491
cooling,냉각,177857
cooling,냉방,177857
cooperative,협동조합,90412
coordinate,좌표,106492
coordinator,코디네이터,104881
coral,산호,75686
corn,옥수수,208151
corners,모서리,145283
corrected,교정,83895
corridor,코리더,69410
costume,의상,185308
cottage,오두막,88363
cottage,코티지,88363
counsel,변호사,178674
countryside,시골,103810
courage,용기,177111
courthouse,법원,26012
coventry,코번트리,1111
cowboys,카우보이,16194
crane,크레인,31790
crane,두루미,31790
crater,충돌구,27332
crawford,크로퍼드,1813
crawford,크로포드,1813
creature,생명체,143604
creature,생물,143604
crest,크레스트,26580
criminals,범죄자,112306
crow,까마귀,20113
cruiser,크루저,19674
crush,크러쉬,68739
cry,울음,235647
cubs,컵스,13046
cunningham,커닝엄,856
cunningham,커닝햄,856
cure,치료,306192
curious,궁금해,225243
custody,구류,128667
custody,양육,128667
czechoslovakia,체코슬로바키아,163
dad,아빠,311825
dairy,낙농,139407
damages,손해배상,208761
dancers,댄서,79326
dancers,무용수,79326
dances,댄스,56268
darwin,다윈,2059
dash,대시,71212
davidson,데이비드슨,3312
dawson,도슨,1636
deadly,치명적,131241
deadly,치명적이다,131241
deaf,청각,74939
dealer,딜러,229507
debates,토론,86744
debates,논쟁,86744
deciding,결정,243313
declare,선포,145086
decoration,장식,83772
decorations,장식,95274
decorative,장식,101656
decreased,감소,168020
decree,법령,48860
dedication,헌신,155415
definitions,정의,103455
delegation,위임,75894
della,델라,11238
demolition,폭파,45089
demon,악마,56523
demonstration,시연,153964
demonstration,시위,153964
dental,치과,378610
deny,부정,180150
deny,거부,180150
deployment,배포,125897
deposits,예금,154243
deputies,대의원,25566
derivative,파생상품,42934
derivative,미분,42934
desktop,데스크탑,257843
desktop,데스크톱,257843
desperate,절실한,166947
destinations,목적지,165908
destiny,운명,80696
detachment,분리,23887
detect,탐지,170902
detect,감지,170902
detected,발견됨,118822
detected,감지,118822
detection,검출,148242
detection,감지,148242
detection,탐지,148242
devils,사탄,20793
devils,데블스,20793
dhaka,다카,456
diagnosis,진단,236980
diagram,도표,85413
diagram,다이어그램,85413
diamonds,다이아몬드,151321
diary,일기,75370
diary,다이어리,75370
diary,일기장,75370
diaspora,디아스포라,13522
differential,미분,55525
dimension,차원,163471
dining,식사,342098
dining,식당,342098
diploma,디플로마,80053
diploma,수료,80053
directing,연출,80863
dirt,먼지,225013
dirty,더러운,231623
disability,장애,245156
disability,장애인,245156
disasters,재난,91157
disasters,재해,91157
discharge,퇴원,163351
discharge,방전,163351
discharge,분비물,163351
disco,디스코,30829
dish,접시,231498
dish,요리,231498
dishes,접시,244656
displacement,변위,39996
dissolution,해산,28338
distances,거리,89587
distribute,배포,146207
distribute,분배,146207
divide,나누기,126337
dixon,딕슨,857
dodge,닷지,28399
dodgers,다저스,1605
dolphins,돌고래,45258
domains,도메인,105107
donations,기부금,174599
donations,기부,174599
donna,도나,5538
dover,도버,6426
downloaded,다운로드,154810
downs,다운스,57072
downs,다운,57072
drag,드래그,165761
drag,끌기,165761
drainage,배수,78542
drake,드레이크,11569
dresden,드레스덴,371
drops,물방울,220939
drunk,취해,148043
dub,더빙,14127
dubai,두바이,13630
duchess,여공작,2832
duchess,공작부인,2832
duet,듀엣,17423
duplicate,복제,100849
duplicate,중복,100849
duplicate,복사,100849
dwarf,왜소은하,33339
dwarf,난쟁이,33339
dylan,딜런,8805
dynamics,동역학,127569
dynamics,역학,127569
dynamics,다이내믹스,127569
dynamo,다이너모,6444
easter,부활절,14774
eclipse,일식,27896
eclipse,이클립스,27896
ecological,생태학,93695
ecological,생태주의,93695
ecological,생태,93695
ecology,생태주의,47624
ecology,생태학,47624
economist,경제학자,57898
eden,에덴,2297
eden,이든,2297
edges,모서리,164035
edges,가장자리,164035
educators,교육자,112483
effectiveness,효율성,286175
eighteen,열여덟,61970
eighteen,여덟,61970
elaborate,정교,116793
elderly,노인,205876
eleanor,엘리너,1233
elena,엘레나,1626
elephant,코끼리,73184
eleventh,열한번째,18590
elisabeth,엘리자벳,571
elisabeth,엘리자베스,571
elvis,엘비스,3961
embedded,임베디드,146060
emirates,에미레이트,4601
emirates,에미리트,4601
emissions,배출권,292258
emissions,배출량,292258
emissions,배출,292258
emissions,배기가스,292258
emotions,감정,284651
employer,직장,384412
enclosed,동봉,79693
encouraging,격려,238330
endorse,지지하기,53611
enhance,보정,559166
enhance,향상,559166
enormous,어마어마한,296619
environments,환경,232945
equality,평등,124148
equality,평등주의,124148
equations,방정식,45463
erik,에리크,1205
erik,에릭,1205
escort,호위,66007
essence,본질,220933
estimates,추정,243130
estimates,추정치,243130
eternal,영원,159727
eternal,영원한,159727
ethical,윤리,180648
ethical,윤리적,180648
ethiopian,에티오피아,1187
eva,에바,4013
evaluate,평가,296901
everyday,매일,515693
everyday,일상,515693
everywhere,어디서나,448320
everywhere,어디든,448320
everywhere,어디든지,448320
exam,시험,251704
excess,초과,447522
excluded,제외됨,93759
excluding,제외,70192
exeter,엑서터,1361
exhibits,전시회,109941
expectations,기대,397250
expense,비용,373540
expenses,비용,563322
expertise,전문성,567356
explicit,명시적,100101
explicit,명시,100101
explore,탐색,559188
explore,둘러보기,559188
explore,탐험,559188
exploring,탐험,216220
explosive,폭발물,82060
expressway,자동차도,7543
exterior,외부,169273
facade,파사드,27688
factual,사실적,55566
fairy,페어리,71200
falcon,팰컨,5971
falcon,팰콘,5971
falcons,팰컨,3991
fantastic,환상적,740486
fantastic,판타스틱,740486
fatal,치명적,114222
fees,수수료,777365
felix,펠릭스,3210
fence,담장,156961
fence,울타리,156961
ferguson,퍼거슨,1202
fever,열이,131504
fiber,섬유,224034
fiji,피지,784
filling,채우기,241553
fin,지느러미,31153
financing,금융,392262
finger,핑거,268337
finger,손가락,268337
fingers,손가락,329972
fischer,피셔,1818
fitness,피트니스,485398
fitzgerald,피츠제럴드,1131
flagship,플래그십,61115
flame,불꽃,91315
flames,불꽃,68854
flanders,플랜더스,403
fleming,플레밍,705
flemish,플랑드르,625
flesh,육체,190930
fletcher,플레처,1175
flexible,융통성,355174
flooding,홍수,88829
floors,바닥,182335
flowing,흐르는,143779
floyd,플로이드,2886
fold,접어,121240
folklore,민속,23133
fool,바보,114095
forbes,포브스,1948
forbidden,금지,71217
formatting,포맷,46542
formatting,서식,46542
forums,포럼,233751
fountain,분수,70373
fragments,단편,57238
frames,프레임,183744
frances,프랜시스,997
francesco,프란체스코,417
freeway,고속도로,36361
freshman,신입생,79551
frog,개구리목,37503
frog,개구리,37503
frost,프로스트,37639
frost,서리,37639
frozen,프로즌,174852
frozen,냉동,174852
fruits,과일과,296279
fruits,과일,296279
fuller,풀러,37586
fungi,곰팡이,34312
funk,펑크,26377
fur,모피,95417
gains,이득,251819
gains,이득이,251819
galleries,갤러리,100622
gambling,도박,245566
gamma,감마,20921
garage,주차장,249509
garage,차고,249509
garcia,가르시아,1943
gardner,가드너,1566
gateway,게이트웨이,78739
genesis,창세기,19514
genesis,제네시스,19514
genesis,천지창조,19514
genius,천재,120775
genocide,집단살해,54939
genres,장르,63598
genuine,정품,377106
georgetown,조지타운,6219
gerard,제라드,837
germanic,게르만어,532
germanic,게르만,532
gibraltar,지브롤터,419
gifts,선물,483189
gill,아가미,4857
gloria,글로리아,2310
gloucester,글로스터,595
goodbye,굿바이,62656
governance,거버넌스,152407
graduates,졸업생,155458
grandmother,외할머니,110601
grandmother,할머니,110601
granite,화강암,72726
graves,무덤,29787
greeks,그리스인,2147
greene,그린,1968
greenwich,그리니치,1195
griffin,그리핀,4052
guarantee,보증,488537
guides,가이드,237867
gustav,구스타프,903
gymnasium,김나지움,18586
gymnasium,체육관,18586
gymnastics,체조,22093
habitats,서식지,50973
hague,헤이그,538
haiti,아이티,1918
hammond,해먼드,1106
hammond,하몬드,1106
hampton,햄프턴,8576
handbook,안내서,38202
handbook,도움말,38202
hank,행크,2646
hanover,하노버,878
happiness,행복,253364
harassment,괴롭힘,77933
hardcore,하드코어,75487
hartford,하트포드,7036
hartford,하트퍼드,7036
harvest,수확,130570
hastings,헤이스팅스,675
hawaiian,하와이,6529
hawk,호크,18041
hawks,호크스,13712
hayes,헤이즈,1230
hayes,헤이스,1230
healing,힐링,383575
heated,열띤,140367
heather,헤더,8308
heating,난방,299728
helena,헬레나,891
helicopters,헬리콥터,42201
helsinki,헬싱키,797
hermann,헤르만,373
hesse,헤센,176
hierarchy,계층,69216
higgins,히긴스,671
highlight,강조,251917
highlight,강조하기,251917
highlight,하이라이트,251917
highlighted,하이라이트,148863
highlights,하이라이트,227178
holidays,연휴,283528
holidays,공휴일,283528
holidays,명절,283528
holidays,휴일,283528
holly,홀리,10574
homeland,조국,57340
homeless,노숙자,128599
homer,호머,15738
honduras,온두라스,965
honey,여보,151249
honey,허니,151249
horizon,지평선,102136
horizon,호라이즌,102136
howe,하우,938
humanities,인문학,31622
humor,유머,176017
hunters,사냥꾼,70680
hunters,헌터,70680
hyde,하이드,1073
ibrahim,이브라힘,403
ibrahim,아브라함,403
icelandic,아이슬란드어,1445
icelandic,아이슬란드,1445
identifying,식별,194199
ideology,이데올로기,83575
illustrations,삽화,93693
illustrator,삽화가,21235
illustrator,일러스트레이터,21235
imagination,상상력,222275
imagination,상상,222275
immigrant,이민,69664
immigrant,이민자,69664
immune,면역,254062
implied,묵시적,74360
import,수입,166260
import,불러오기,166260
import,가져오기,166260
imported,가져온,113961
imported,수입,113961
imported,가져옴,113961
imported,가져오기,113961
imprisonment,감금,55188
inactive,비활성화,40758
individually,개별적으로,149401
individually,개별,149401
infant,영아,164002
infected,감염된,153718
informal,비공식,136439
infringement,침해,53470
initiatives,이니셔티브,288166
ink,잉크,164661
inscription,비문,26613
insert,삽입,147613
insight,인사이트,276123
insight,통찰력,276123
inspection,검사,212208
inspection,점검,212208
instant,즉석,385612
instant,인스턴트,385612
instant,즉시,385612
insufficient,부족함,91949
integrity,무결성,228538
intel,인텔,10460
intensity,강도,195730
intensity,강조,195730
interact,교류,217144
interference,간섭,93186
interrupted,중단됨,63563
intro,소개,40243
introducing,소개합니다,147981
invaded,침략,41700
invalid,오류,50080
invention,발명,159814
inventor,발명가,40147
inventor,발명,40147
inventory,인벤토리,232255
inventory,재고,232255
investigator,탐정,55828
investments,투자,346384
invitation,초청,154220
invitation,초대,154220
iris,아이리스,16900
iris,이리스,16900
irregular,불규칙,64040
italia,이탈리아,2077
itunes,아이튠스,22104
itunes,아이튠즈,22104
jackie,재키,3044
jacksonville,잭슨빌,11188
janet,자넷,4744
janet,재닛,4744
jenkins,젱킨스,868
jenny,제니,3863
jerome,제롬,1055
jessica,제시카,7307
joey,조이,3099
joshua,조슈아,3272
joyce,조이스,2268
jubilee,주빌리,7545
judgement,판단,83216
judgement,심판,83216
judith,주디스,1107
judy,쥬디,1814
judy,주디,1814
jumping,장애물,152327
jumping,점프,152327
jumping,점핑,152327
jungle,정글,76476
jupiter,목성의,2367
jupiter,목성,2367
justification,정당화,90878
justified,정당화,108796
juvenile,청소년,68358
kai,카이,5595
karachi,카라치,1614
kashmir,카슈미르,1044
katherine,캐서린,1620
kay,케이,5270
kazakhstan,카자흐스탄,727
kerry,케리,2868
kidnapped,납치,33922
kiev,키예프,988
kilometres,킬로미터,58331
kirk,커크,2246
klein,클라인,2217
knife,나이프,180756
knock,노크,114379
knockout,녹아웃,18145
kolkata,콜카타,2324
krishna,크리슈나,1821
kuwait,쿠웨이트,1512
laboratories,연구소,60022
laboratories,실험실,60022
lacrosse,라크로스,20712
lafayette,라피엣,7487
lafayette,라파예트,7487
lahore,라호르,1029
lamb,양고기,63457
lambert,램버트,2200
lambert,람베르트,2200
lance,랜스,9828
latitude,위도,32845
latvian,라트비아,228
latvian,라트비아인,228
latvian,라트비아어,228
launching,런칭,141088
launching,출시,141088
layers,레이어,219864
lease,임대,243953
leather,가죽,384955
lebanese,레바논,1405
leicester,레스터,1493
leipzig,라이프치히,190
leisure,레저,148172
lengths,길이,88926
leone,레온,561
leopold,레오폴드,305
leopold,레오폴트,305
lesbian,레즈비언,79308
lexington,렉싱턴,7699
león,레온,-
libya,리비아,1274
lifestyle,라이프스타일,514124
lifestyle,생활,514124
lighter,라이터,172534
liked,좋아한,405357
lily,릴리,22609
limitations,제한,217887
limitations,한계,217887
liner,라이너,63306
lineup,라인업,98294
linguistics,언어학,14529
lisbon,리스본,652
listening,듣기,421294
listening,청취,421294
liver,간간,247953
liver,간디,247953
livestock,가축,81880
loading,로딩,130271
loans,대출,1824368
locals,지역주민,119039
locked,잠겨,193347
logan,로건,2176
logged,기록함,70132
logistics,물류,85358
lonely,외로워,99650
lonely,외로움,99650
lonely,외로운,99650
loosely,느슨하게,45748
lorenzo,로렌조,491
lorraine,로렌,997
lorraine,로레인,997
lotus,로터스,23121
lou,루키,1949
lovers,연인들,187485
lovers,연인,187485
loyal,충성,143758
loyal,충실,143758
loyalty,충성,142368
loyalty,멤버십,142368
lunar,음력,47698
lunch,점심,472035
lunch,도시락,472035
lung,허파,137022
luther,루터,1680
luxury,명품,407641
luxury,럭셔리,407641
lynch,린치,5908
macedonian,마케도니아인,209
macedonian,마케도니아,209
macedonian,마케도니아어,209
machinery,기계,113868
mackenzie,매켄지,788
mackenzie,맥켄지,788
madagascar,마다가스카,763
madagascar,마다가스카르,763
madonna,성모,3155
madonna,마돈나,3155
mafia,마피아,17328
magical,마법,159964
maiden,처녀,34616
malay,말레이시아어,1233
malay,말레이어,1233
mandate,위임통치령,120572
mandatory,필수,155901
manufacture,제조,157456
maple,단풍,49738
maple,단풍나무,49738
maple,메이플,49738
mapping,맵핑,105520
mapping,매핑,105520
marble,대리석,78932
marcel,마르셀,376
marching,행진,39907
marina,마리나,28908
marker,마커,73278
marx,마르크스,833
masses,질량,142156
masses,덩어리,142156
matching,매칭,201004
matching,일치하는,201004
matching,일치,201004
mathematician,수학자,13466
matthews,매튜스,2067
mature,성숙한,232502
mature,성숙,232502
maxwell,맥스웰,916
mccarthy,매카시,1091
meaningful,의미있는,221209
meanings,의미,75139
measurements,측정,167063
mechanisms,메커니즘,187087
mega,메가,40832
melody,멜로디,57147
memoir,회고록,32583
memoirs,회고록,17065
memoirs,회상록,17065
mentor,멘토,118604
menu,메뉴,557530
merchants,상인,127951
merchants,상인인,127951
mercy,자비,120800
merits,장점,76197
meta,메타,40492
metals,금속,144644
mets,메츠,1474
meyer,마이어,2007
mice,생쥐,103656
michelle,미셸,7089
mickey,미키,3862
micro,마이크로,79695
micro,마이크로소프트,79695
midway,미드웨이,26034
mild,가벼운,219873
minds,마인드,320232
minerals,미네랄,169698
miners,광부,40576
minneapolis,미니애폴리스,9027
miracle,기적,121378
miranda,미란다,1890
miscellaneous,기타,24875
missiles,미사일,60920
missionaries,선교사,45502
mistaken,착각,82597
mistakes,실수,294825
modeling,모델링,121644
mohamed,모하메드,589
mohammad,모하마드,712
mohammed,무함마드,1088
mohammed,모하메드,1088
moldova,몰도바,285
molecules,분자,96188
monaco,모나코,1079
monarchs,모나크스,8033
monarchy,군주,31381
monarchy,군주제,31381
monasteries,수도원,17223
mongolia,몽골,704
monica,모니카,3551
monkey,원숭이,58137
monkey,몽키,58137
monsters,몬스터즈,71569
monsters,몬스터,71569
monsters,괴물,71569
montenegro,몬테네그로,356
mood,분위기,296275
mood,기분,296275
mos,모스,11927
mos,mos,11927
moss,이끼,25575
motorsport,모터스포츠,7689
motto,좌우명,50679
mozart,모차르트,1172
mud,머드,111031
mud,진흙,111031
multiplayer,멀티플레이어,50937
myanmar,미얀마,1056
myanmar,미얀마어,1056
myers,마이어스,2786
myth,신화,112435
namespace,네임스페이스,16657
namibia,나미비아,662
nash,내시,1695
nassau,나사우,1127
nationalism,내셔널리즘,31003
nationalism,국민주의,31003
nationalism,민족주의,31003
nationals,내셔널스,36877
natives,원주민,42663
neighborhoods,동네,110790
neighbourhood,근방,55671
nerve,신경,163879
nervous,긴장감,250671
nervous,긴장,250671
nest,둥지,90391
networking,네트워킹,372393
networking,네트워크,372393
neutrality,중립성,24748
neutrality,중립,24748
newark,뉴어크,10166
newman,뉴먼,1632
newsletter,뉴스레터,191179
nicole,니콜,3914
nielsen,닐센,429
nielsen,닐슨,429
nigel,나이젤,834
nixon,닉슨,1720
noah,노아,1575
nordic,노르딕,2058
nordic,스칸디나비아,2058
norm,노름,87861
norm,규범,87861
normandy,노르망디,497
norwich,노리치,1124
notation,표기,27694
notation,표기법,27694
notices,공지,87207
notices,공지사항,87207
nsw,nsw,6068
objectives,목표,313820
oceania,오세아니아,618
odds,확률,225275
olive,올리브,135911
omaha,오마하,8619
omar,오마르,1379
ore,광석,55212
organisms,미생물,88639
organs,장기,155788
oriental,동양,19605
orphan,고아,20870
osaka,오사카,521
overcome,극복,300200
owl,올빼미,27420
owl,부엉이,27420
panels,패널,276890
paperback,페이퍼백,31898
papua,파푸아,513
paragraphs,단락,78042
paraguay,파라과이,486
paramount,파라마운트,52125
parkway,파크웨이,4304
parody,패러디,27003
participant,참가자,136418
partition,파티션,58934
partition,분할,58934
passive,수동적,115642
patch,패치,168184
paths,경로,149620
patricia,패트리샤,1959
patriots,애국자,14096
pavilion,파빌리온,26037
payments,결제,729193
payments,송금,729193
pbs,pbs,2253
peaceful,평화로운,205609
peaceful,평화롭고,205609
peaks,봉우리,67511
pearson,피어슨,744
penguin,펭귄,14292
penny,페니,117246
pension,연금,196539
pepper,페퍼,134677
pepper,후추,134677
pepper,고추,134677
perception,인식,225747
perception,지각,225747
percy,퍼시,1124
persecution,박해,54494
persuaded,설득,50385
peruvian,페루,622
peters,피터스,1664
peterson,피터슨,2107
petty,페티,44606
phantom,팬텀,18862
phenomena,현상,90573
phillip,필립,2194
philosophers,철학자,39041
philosophers,철학자들,39041
phones,전화,469848
phones,전화기,469848
photographers,사진사,112935
photographers,사진관,112935
photographers,사진작가,112935
physicist,물리학자,22297
pier,부두,32699
pierce,피어스,17122
pig,돼지,81246
pioneers,선구자,39123
pioneers,개척자,39123
pipeline,파이프라인,124960
pipes,파이프,112520
pistol,권총,44345
pistol,피스톨,44345
pitchers,투수,32709
placement,배치,219681
planes,비행기,109896
plantation,플랜테이션,37245
planted,심어,136766
plasma,플라스마,92532
plasma,플라즈마,92532
pleasure,즐거움,511447
pleasure,기쁨,511447
pleasure,쾌락,511447
plug,플러그인,171191
plug,플러그,171191
plural,복수형,29832
plural,복수,29832
pointless,무의미한,55251
poison,독도,79848
poker,포커,326975
polar,극성,57706
poles,폴란드인,65162
polls,설문조사,98966
polls,설문,98966
pollution,오염,197117
poly,폴리,16296
portable,휴대용,227830
portable,포터블,227830
portable,휴대,227830
portfolio,포트폴리오,298796
porto,포르투,661
porto,포르토,661
portsmouth,포츠머스,982
