cs,sk
ledvina,oblička
pálení,pálenie
znaku,znaku
silná,silná
socialistů,socialistov
nahrazuje,nahrádza
trať,koľaje
inovace,inovácia
taneční,tanečný
střet,kolízia
sportovní,športový
sázka,stávka
souběžně,súčasne
odborně,odborne
projev,reč
skryté,skryté
rozšíření,rozšírenie
zúčastnil,zúčastnil
vedro,horúčava
nedávné,nedávne
flétna,flauta
nejvyšší,najvyššia
obvykle,všeobecne
tušit,tušiť
ublížit,ublížiť
předpokládat,predpokladať
svatý,svätec
dík,vďaka
kněz,kňaz
tabák,tabak
schopností,schopností
sezónou,sezónou
překupník,predajca
tunel,tunel
eshopu,eshopu
povlečení,obliečky
obtížná,náročná
prezentace,prezentácia
postupovat,postupovať
profesionální,profesionálny
kabel,kábel
smíšená,zmiešaná
střeva,črevá
fantazie,fantázia
zákon,zákon
vysokých,vysokých
prokládané,prekladané
etnické,etnické
třetí,tretí
dopadnout,chytiť
odtud,odtiaľ
byl,bol
tekutina,tekutina
váhat,kolísať
též,taktiež
elektřina,elektrina
nadcházející,nadchádzajúci
zvědavá,zvedavá
zjevení,odhalenie
zachránce,záchranca
namísto,namiesto
prostě,obyčajne
pevnost,pevnosť
přenést,preniesť
přání,prajeme
dávat,dávať
poplatek,poplatok
křivdy,nespravodlivosti
radnice,radnica
naplní,naplní
albánské,albánske
právníci,právnici
činných,činných
provaz,lano
hospitalizaci,hospitalizáciu
statečné,odvážne
stisknutí,stlačenie
milosrdenství,zľutovanie
patří,patrí
snadný,ľahký
spotřebitele,spotrebiteľa
srdce,srdcia
kontaminaci,kontamináciu
transparentnosti,transparentnosti
zamítnuto,odmietnuté
snažíme,snažíme
odečíst,odpočítať
ústavu,ústavu
světelný,svetelný
vyhráli,vyhrali
kombinovat,kombinovať
některé,niektoré
havárie,havária
pálení,vypaľovanie
všeobecné,všeobecné
zkrácená,skrátená
zde,tuto
nepřítel,nepriateľ
pozdní,neskorý
udělit,udeliť
onemocnění,ochorenie
značkami,značkami
kancelář,kancelária
podivný,výstredný
inzerce,reklama
těžko,ťažko
správce,správca
mnoho,mnoho
období,obdobie
dárky,darčeky
diskuse,diskusie
sestava,zostava
poloostrově,polostrove
sériová,sériová
incidence,incidencia
herna,herňa
všechny,všetkých
dovolání,dovolanie
opět,zasa
nebezpečný,nebezpečný
celkem,spolu
koukat,pozerať
nazývat,volať
složitá,komplexná
zcela,úplne
provokovat,vyprovokovať
studovat,študovať
připojen,pripojený
statek,farma
enzymy,enzýmy
spadat,spadať
tužka,ceruzka
reprezentovat,reprezentovať
odečísť,odčítať
průběžný,priebežný
přímo,priamo
ustanovením,ustanovením
příspěvek,príspevok
sekundární,druhotný
země,pozemok
novinář,novinár
roční,celoročný
majitel,majiteľ
příznak,príznak
prdel,zadoček
důležitý,dôležitý
mokré,mokré
evropské,európskej
patrný,znateľný
přítelkyně,dievča
kytara,gitara
přístroj,prístroj
záchranného,záchranného
subvence,dotácie
zdolal,zdolal
zápis,zápis
jejich,ich
stejně,rovnako
dospělý,dospelý
jistý,istý
příjemný,uspokojujúci
literatura,literatúra
národnost,národnosť
pozorování,pozorovanie
údolí,údolí
zlaté,zlaté
nejspíš,najskôr
festivalu,festivalu
jednat,jednať
postel,posteľ
popsat,opísať
akreditaci,akreditáciu
rozcestí,rozcestie
