cs,sk
zahraniční,zahraničné
rozdělení,rozdeľovanie
opět,zase
singlu,singlu
čisté,čisté
hvězda,hviezda
poslat,poslať
přinášet,prinášať
dialog,dialóg
násobek,násobok
trénink,tréning
stěna,stena
samotní,samotní
proslulý,slávny
standard,štandard
kluk,chlapec
dopoledne,doobeda
upravené,upravené
skvěle,brilantne
jeruzalém,jeruzalem
stálý,neotrasiteľný
slušet,pristať
zelí,kapusta
expedice,expedícia
stůl,stôl
minimální,minimálny
otevřen,otvorený
granát,granát
výber,výber
zničit,zničiť
odejít,odísť
také,takisto
obočí,obočie
sólo,sólo
pilotní,pilotný
vcelku,vcelku
působnost,pôsobnosť
farmy,farmy
skutečnost,realita
stylový,štýlový
speciální,zvláštny
mikrometrů,mikrometrov
přejít,prehnať
pohybovat,pohybovať
filosofie,filozofia
nazývat,hovoriť
ovšem,iste
principy,princípy
tisknout,tlačiť
stadion,štadión
plete,pletie
manažeři,manažéri
rozbalit,rozbaliť
doporučené,odporúčané
místní,lokálne
předseda,predseda
skvěle,úžasne
proud,prúd
kamarád,kamarát
diváky,divákov
péče,starostlivosť
motivuje,motivuje
lití,liatie
mezinárodní,medzinárodné
přívěsy,prívesy
síť,sieť
moře,more
mísa,misa
poznatek,znalosť
překvapení,prekvapenie
požární,požiarny
umožní,umožní
představovat,znázorňovať
udělit,dať
dveře,dvere
míchat,miesiť
pře,spor
minimalizace,minimalizácia
skvělé,skvělé
letošní,tohtoročný
kočár,kočiar
ocel,oceľ
navíc,navyše
externí,externý
stanovit,kodifikovať
kouř,dym
veřejná,verejná
určitého,určitého
přes,skrz
kopců,kopcov
zažili,zažili
rozsáhlou,rozsiahlou
přivítat,uvítať
vápenec,vápenec
česka,česka
skříňky,skrine
místní,lokálna
příčina,príčina
zpíval,spieval
zotavení,zotavenie
věrný,verný
prdel,riť
minotaur,minotaurus
krásně,krásne
nadměrný,nadmerný
vyplynulo,vyplynulo
motiv,motív
poté,po
metodu,metódu
sleva,zľava
přesvědčit,ubezpečiť
diplomacie,diplomacia
všimli,všimli
soudu,súd
navýšení,navýšenie
útulek,útulok
též,aj
pojetí,poňatie
úctou,úctou
jednou,kedysi
středně,stredne
žaludeční,žalúdočný
srbský,srbský
mandle,mandle
zejména,obzvlášť
rychle,rýchlo
dorazit,prísť
údaj,údaj
podezření,podozrenie
očekávat,očakávať
pohlaví,pohlavie
úrovní,úrovní
země,krajiny
plně,plne
snad,dúfajme
něco,čosi
mozkový,mozgový
předmět,predmet
schémata,schémy
individuální,individuálny
skla,skla
zúžení,zúženie
produkce,produkcia
vzniká,vzniká
našli,našli
správu,správu
slyšet,počuť
tehdy,vtedy
testování,testovanie
trenér,tréner
unisex,unisex
národní,národný
nutit,vnucovať
digitalizace,digitalizácia
zla,zla
hostitel,hostiteľ
výslechy,výsluchy
skvěle,skvelo
knihkupectví,kníhkupectvo
brouk,chrobák
slovenské,slovenské
kout,kút
jenže,lenže
zásluhou,zásluhou
tlustá,tlstá
obětní,obetný
značkové,značkové
uličku,uličke
udělené,priznané
smrtelná,smrteľná
ovlivňuje,ovplyvňuje
vesmír,vesmír
zničila,zničila
formátování,formátovanie
narozeniny,narodeniny
statky,statky
století,storočí
hoden,hodný
finanční,finančný
dále,ďalej
privátní,privátna
vydržel,vydržal
sloupec,stĺpec
sklo,sklo
správně,správne
ověřit,overiť
hospodářský,hospodársky
zároveň,zároveň
navštěvovat,navštevovať
silnice,cesta
vysokému,vysokému
tržiště,trhovisko
tablety,tablety
jízdné,cestovné
křižovatka,križovatka
další,ďalší
reprezentativní,reprezentatívny
mohou,môžu
veverka,veverička
skvěle,božsky
sobotní,sobotný
stavební,stavebný
české,české
osolit,osoliť
šesté,šieste
slavnostní,slávnostný
testovány,testované
volání,volania
vzal,vzal
databáze,databáza
odplata,odveta
společně,spolu
vystěhování,vysťahovanie
matrace,matrace
poslání,poslanie
klokan,kengura
exkurze,exkurzia
povlečení,povlaky
přidělený,pridelený
elegantní,elegantný
pomoct,pomôcť
odstranění,odstránenie
čestně,čestne
máje,mája
metropol,metropola
investice,investícia
převzít,prebrať
tak,tak
opět,zas
soudní,súdny
takovýhle,takýto
letec,letec
kolem,dookola
návštěvník,návštevník
stálý,permanentný
úmrtí,úmrtie
těsto,cesto
zasnoubená,zasnúbená
grafická,grafická
označení,označenie
mohutná,mohutná
ilustrace,ilustrácia
majetku,majetku
přes,cez
společný,kolektívny
trefit,zasiahnuť
manažer,manažér
malým,malým
střecha,strecha
čin,čin
složka,zložka
