cs,sk
tvůj,tvoj
dálkový,diaľkový
les,les
země,zem
sbor,zbor
zahrnut,zahrnúť
světelný,svetelného
pouze,iba
někdy,občas
rekurzivně,rekurzívne
informační,informačný
představitel,predstaviteľ
větší,väčšie
výzbroji,výzbroji
přesvědčení,presvedčenie
tolik,toľko
dostat,dostať
sýr,syr
jídelna,jedáleň
slibovat,sľubovať
vesnice,dediny
opět,opäť
moct,môcť
násilí,násilie
příprava,príprava
prase,ošípaná
celkem,celkom
ždímat,žmýkať
monstrum,monštrum
moudrost,múdrosť
znovuzvolení,znovuzvolenie
schémata,diagramy
půlka,polovica
případě,prípade
užitečné,užitočné
efektivně,efektívne
růst,rast
monstrum,príšera
spolupráce,spolupráca
země,pôdy
příbuzný,príbuzný
stali,stali
pak,potom
padnout,sadnúť
pochopit,pochopiť
končetin,končatín
toužit,túžiť
produkovat,produkovať
hovořit,hovoriť
mýty,mýty
výkonným,výkonným
startovat,štartovať
předejít,predstihnúť
záleží,záleží
navigace,navigácia
důchodu,dôchodku
detailní,detailný
schválit,povoliť
maximální,maximálny
doplňky,doplnky
měl,mal
které,ktoré
veselé,veselé
ošetření,ošetrenie
reprezentace,reprezentácia
povědomí,povedomie
nadcházející,nastávajúci
schválili,schválili
důsledek,dôsledok
křeslo,kreslo
televizní,televízny
lilie,ľalie
moj,moj
házet,hádzať
příjemný,príjemný
umění,umenia
nechat,nechať
obyvatel,obyvateľ
technické,technické
doplňky,príslušenstvo
kult,kult
máma,mama
odrážejí,odrážajú
zamítnout,zamietnuť
krajní,krajný
vaše,vaše
provádět,vykonávať
dopoledne,doobedu
přesvědčit,presvedčiť
přijít,zohnať
zejména,najmä
soupeř,súper
spalničky,osýpky
spisovatel,spisovateľ
prase,sviňa
kolikrát,koľkokrát
naplnit,naplniť
uživatel,používateľ
klid,pokoj
kolo,koleso
mechanicky,mechanicky
spojit,spojiť
písemný,písomný
media,media
sláva,sláva
jako,ako
přispívá,prispieva
mode,mode
tomu,tomu
vyskytuje,vyskytuje
zabijáci,zabijaci
leden,január
startuje,štartuje
některý,niektorý
držák,držiak
středa,streda
česku,česku
klíště,kliešť
močového,močového
identifikace,identifikácia
sazba,sadzba
krůta,morka
řád,rád
unaven,unavený
přetrvávání,pretrvávanie
smát,smiať
složitý,zložitý
impregnace,impregnácia
ukázat,ukázať
poskytnout,udeliť
těšit,tešiť
nemoci,choroby
dobrovolníky,dobrovoľníkov
upustit,pustiť
město,mesto
pecka,kôstka
zpívat,spievať
posouvat,posúvať
ambasáda,veľvyslanectvo
lokální,lokálny
potrestání,potrestanie
krýt,kryť
pokusit,pokúsiť
kolo,bicykel
občan,občan
lídr,líder
fotografka,fotografka
prase,prasa
řádky,riadky
skutečnost,fakt
ukládání,uskladnenie
jednou,raz
prostřední,prostredné
svačina,občerstvenie
myslet,myslieť
sklonu,sklonu
senzor,senzor
popřípadě,poprípade
silná,silné
provedení,implementácia
klobouk,klobúk
interní,interný
volání,volanie
pákistánu,pakistanu
středový,stredový
oficiální,oficiálny
jakýkoliv,akýkoľvek
kultura,kultúra
omluvil,ospravedlnil
někdy,dakedy
kostka,kocka
nevěrný,neverný
jist,istý
nechat,ponechať
dvanáct,dvanásť
záře,žiara
technici,technici
metr,meter
někdy,niekedy
nalézat,nachádzať
služební,služobný
