cs,sk
pozitivní,pozitívny
souběžně,paralelne
jev,jav
původní,pôvodné
během,počas
iniciativa,iniciatíva
relaxace,odpočinok
taktovkou,taktovkou
segment,segment
mleté,mleté
spočívající,spočívajúci
zabita,zabitá
skepse,skepticizmus
jednoduše,jednoducho
největší,najväčšia
padající,padajúci
kliknutí,kliknutie
přenášet,prenášať
samotnou,samotnou
společnost,firma
říkat,nazývať
nosorožci,nosorožce
slušet,hodiť
společnosti,spoločnosti
jižní,južný
podívat,preskúmať
část,časť
chřipku,chrípku
sledovali,sledovali
kterou,ktorú
cvičení,cvičenie
ocenit,oceniť
řeřicha,žerucha
pořídit,zaobstarať
množství,množstva
přejít,prestúpiť
poznávání,poznávanie
den,deň
odměnu,odmenu
mít,považovať
jezdí,jazdí
kronika,kronika
čistota,čistota
inspekce,inšpekcia
řidič,šofér
doporučený,odporučený
dvorek,dvor
efektivní,účinné
mezi,medzi
obdržel,obdržal
stanovené,stanovené
kultur,kultúr
působit,ovplyňovať
smlouvy,zákazky
kotouče,kotúče
rytíři,rytieri
odnést,odniesť
samozrejme,samozrejme
vepřový,bravčový
vadí,vadí
obrátit,obrátiť
fantastické,fantastické
výslechy,pohovory
puchýř,pľuzgier
přírodní,prírodný
nedostatečně,nedostatočne
ačkoli,hoci
tvář,tvár
přesvědčit,presviedčať
navrhovat,navrhovať
před,pred
šedý,sivý
klesnout,klesnúť
rozhodnout,rozhodnúť
či,či
dřív,skôr
polštář,vankúš
styk,styk
přidat,zrýchliť
hezký,pekný
džungle,džungľa
sledovat,sledovať
nebudeš,nebudeš
licence,licencia
morálka,morálka
rozzlobený,nahnevaný
efektivní,efektívne
letoun,lietadlo
krátkodobý,krátkodobý
zařízený,zariadený
letošní,tohoročný
kýbl,vedro
diskvalifikován,diskvalifikovaný
potřebovat,potrebovať
ztracen,stratený
nábytek,nábytok
březen,marec
magnetickým,magnetickým
informace,informácie
jiné,iné
čtyři,štyria
obvinění,obvinenie
konstrukce,konštrukcia
rekurze,rekurzia
terapie,terapia
úplným,úplným
svědkové,svedkovia
fáze,fáza
sval,sval
nakreslit,nakresliť
planeta,planéta
spíš,skôr
vnitřní,vnútorný
přechodný,prechodné
raší,klíči
hlasování,hlasovanie
myši,myši
podívat,poohliadnuť
jezero,jazero
výpočty,výpočty
správně,dobre
chybět,chýbať
přemýšlet,premýšľať
zemřel,umrel
zločin,zločin
porušení,porušenie
pracovat,robiť
můj,môj
klíč,kľúč
narazí,narazí
element,element
skutečnost,skutočnosť
zemědělství,agrikultúra
uložení,uloženie
orientace,orientácia
projevit,preukázať
smrt,úmrtie
kousky,kúsky
čelit,čeliť
oslovit,osloviť
gumy,gumy
ambiciózní,ambiciózny
honit,naháňať
přejít,pominúť
části,diely
opatření,opatrenie
stávající,existujúci
seznámit,zoznámiť
nabízet,ponúkať
zásob,zásob
oddělení,oddelenie
klíčový,kľúčový
zničit,ničiť
součinnost,súčinnosti
poptávka,dopyt
putovat,putovať
montáže,montáže
umění,umení
učila,učila
stolice,stolica
žádoucí,žiaduci
jistota,istota
externí,vonkajšia
zaměstnavatel,zamestnávateľ
teplá,teplá
území,územie
reálně,reálne
silách,silách
mohutný,mohutný
průmyslový,priemyselný
doplněk,doplnok
tepla,tepla
servis,servis
délka,dĺžka
dřeně,dreni
majetek,majetok
obsahující,obsahujúci
mnohem,omnoho
socialistické,socialistické
dostupnost,dostupnosť
privátní,súkromná
naplnit,vyplniť
kritizoval,kritizoval
texty,texty
spočívat,spočívať
předběžný,predbežný
neznat,nepoznať
pro,pre
rovněž,aj
statisíc,stotisíc
brát,užívať
odběr,odber
přijít,zmocniť
kratších,kratších
meruňka,marhuľa
neštovice,kiahne
současná,súčasná
kyselina,kyselina
původně,pôvodne
tónu,tónu
stačit,stačiť
vyrobili,vyrobili
ligy,ligy
splňovat,zodpovedať
zůstatku,zostatku
jádro,jadro
zapojených,zapojených
spolupracoval,spolupracoval
iniciátorem,iniciátorom
svatyně,útočisko
registrační,registračný
prokázat,dokázať
docházet,vybíjať
kočárek,kočiarik
nadlidskou,nadľudskou
lana,lana
přerušeno,zastavené
dospělá,dospelá
požadavek,požiadavka
proslulý,chýrny
napadli,napadli
krycím,krycím
témata,tém
vrátný,vrátnik
samotným,samotným
verš,verš
soud,súd
samým,samým
doporučovat,odporúčať
účinné,efektívne
most,most
trychtýř,lievik
pomohly,pomohli
ubrousek,vreckovka
amputace,amputácia
docházet,dochádzať
placené,platené
železnic,železníc
možnost,možnosť
neděle,nedeľa
teplotou,teplotou
nějaký,nejaký
uložit,ukladať
padnout,padnúť
pytle,vrecia
snížený,poklesnutný
král,kráľ
slovenskou,slovenskou
temnoty,temnoty
kuřecí,kurací
prokletá,prekliata
schválit,schváliť
let,rokov
buben,bubon
turistiky,turistiky
naprostý,totálny
porovnání,porovnanie
minulost,minulosť
