cs,sk
teple,teple
otevření,otvorenie
kamarádka,kamarátka
navštívit,navštíviť
sídlil,sídlil
veverka,veverica
pasiva,pasíva
linkami,linkami
rychlá,rýchly
pozdní,oneskorený
tržní,trhový
realizace,realizácia
nést,prinášať
doporučit,odporučiť
strašpytel,strachopud
jak,ako
prokázat,preukázať
odpověď,odpoveď
právníci,advokáti
poskytnout,poskytnúť
představitel,reprezentatnt
levný,lacný
frontman,frontman
plavání,plávanie
těžký,bolestný
snižovat,znižovať
upřímně,úprimne
stravování,stravovanie
skutečně,skutočne
povídka,poviedka
prosadit,prehlasovať
krytý,zakrytý
střetnutí,stretnutie
zavřené,zavreté
ten,ten
spustit,spustiť
hrát,hrať
sedle,sedle
rovnat,vyrovnávať
muset,musieť
okolí,okolie
zeleniny,zeleniny
prohlížeč,prehliadač
zákonu,zákonu
vycházení,vychádzanie
majora,majora
nebude,nebude
slalom,slalom
zvýšením,zvýšením
mladou,mladou
možných,možných
která,ktorá
průzkumy,prieskumy
kategorie,kategória
říkat,volať
tempo,tempo
zcela,totálne
již,už
snažit,snažiť
sdílení,zdieľanie
navrhli,navrhli
nikoli,nie
kůň,kôň
věta,veta
řada,rad
střední,stredný
lady,lady
skandály,škandály
sdělení,správa
kompletně,úplne
podívat,preveriť
následně,následne
kouřit,kadiť
soupeři,súperi
imunitní,imunitný
převzít,prijať
trvat,trvať
naprostý,jednoznačný
nařídit,nariadiť
můstek,mostík
stanovit,uzákoniť
obvykle,zvyčajne
místo,poloha
slavnostní,sviatočný
galaxii,galaxii
systematicky,systematicky
hřebík,klinec
slovu,slovu
podzim,jeseň
vlaštovky,lastovičky
stálý,neochvejný
experimentu,experimentu
maminka,mamka
řada,séria
otevřená,otvorená
projev,príhovor
nebe,nebo
nenávidět,nenávidieť
skříňky,skrinky
malej,malej
perfektní,perfektný
hledat,hľadať
pozdě,neskoro
edice,edícia
evidentně,očividne
nynější,terajší
popsat,popísať
lingvisté,lingvisti
hodnocení,hodnotenie
mladistvých,mladistvých
včetně,vrátane
lak,lak
výnosu,výnosu
barva,farba
najlepšie,najlepšie
několik,niekoľko
dobře,fajn
dorazit,dojesť
souboj,súboj
pravděpodobně,pravdepodobne
trefit,trafiť
hibernace,hibernácia
kulturní,kultúrny
předložit,preukázať
kapustin,kapustín
stanovit,stanoviť
odjet,odísť
bát,báť
dohled,dohľad
