et,sk
paistetus,opuch
teistsugune,odlišný
sisaldama,obsahovať
olelus,bytie
hüpervitaminoos,hypervitaminóza
kumm,pneumatika
korravalve,policajt
kohal,nad
asterisk,hviezdička
pannal,spona
röövima,vylúpiť
kokkusobivus,harmónia
pistoda,dýka
nõrgenema,ochabovať
ülemaailmne,celosvetový
lootma,dúfať
alamliik,poddruh
ilmakaared,svetové strany
kühvel,lopatka
kiviraidur,kamenár
kemikaal,chemikália
pael,mašľa
meridiaan,poludník
ligikaudu,zhruba
mohäär,mohér
laevnik,námorník
kära,vrava
sosistama,šepkať
uimasti,narkotikum
üleilmastumine,globalizácia
ema,matka
katoliku,katolík
sügoot,zygota
kork,korok
ületama,prevýšiť
venitus,naťahovanie
pood,obchod
penskar,dôchodca
kanuu,kanoe
oks,konár
sarkoom,sarkóm
võimalus,potenciál
muusik,hráčka
ootus,očakávanie
sõna-sõnalt,doslovne
senaator,senátor
pann,panvica
hammustama,uhryznúť
nöör,motúz
maantee,cesta
loomaliha,hovädzina
amfiib,obojživelník
kvartal,kvartál
ületama,prekonať
objekt,objekt
kui,keď
tõde,pravdivosť
märg,zmoknutý
sponsor,sponzor
poeet,básnik
ligilähedane,približný
toetus,príspek
kooskõlastama,skoordinovať
krüostaat,kryostat
lapsendama,prijať
igatahes,isto-iste
jumalikkus,božstvo
riitus,obrad
viil,pilník
enne kui,pred
siuglev,červovitý
hullus,šialenstvo
sada,sto
ristiusk,kresťanstvo
ehitusmaterjal,stavebnina
kork,vrchnák
