et,sk
õigeaegselt,načas
levik,rozšírenie
õhupall,balónik
lihas,sval
lurjus,naničhodník
kabalistlik,kabalistický
pikendama,predĺžiť
tahtmine,túžba
metslane,divoch
nutt,plač
kingsepp,obuvník
õhusõiduk,lietadlo
ohmakas,trúba
tunnistama,zveriť
muidu,inakšie
sõlmimine,záver
piiga,slečna
reklaamima,promovať
kaubitseja,díler
tempo,krok
navigeerima,navigovať
elavdamine,oživenie
modernism,modernizmus
intelligent,intoš
nõrgenema,slabnúť
alkohoolik,alkoholik
kaplan,kaplán
salapolitseinik,detektív
seitsekümmend,sedemdesiat
lisama,dodať
protokoll,evidencia
kuulajad,poslucháči
müts,čiapka
laialt,zoširoka
abivalmis,ústretový
väike,malý
siga,ošípaná
voolama,prúdiť
rõhk,dôraz
lett,pult
matkama,túra
lõvi,lev
püha,svätý
suudlus,bozk
rünne,útok
klausel,doložka
sammastik,kolonáda
kollaboratsioon,spolupráca
kauss,miska
baguette,bageta
fresko,freska
vanglakaristus,izolácia
täidlus,tučnota
tõmblus,trhnutie
kaalium,draslík
laevur,lodník
linnumaja,voliéra
lunastama,vykúpiť
kulp,naberačka
taas,opätovne
loobumine,abdikácia
klausel,klauzula
onu,ujo
tüli,rozpor
kultuur,kultúra
piljard,biliard
koni,pažba
kaitse,defenzíva
naast,gombík
parodeerima,parodovať
otseselt,priamo
kaklus,bitka
näide,príklad
puittaim,drevina
registreeritud,registrovaný
magustoit,múčnik
surnuaed,cintorín
abikaasa,partner
toetus,podpora
harjutama,skúšať
eufemism,eufemizmus
tuhat,tisíc
kaelarätt,šál
pärisorjus,človečenstvo
pööre,výhybka
üle,cez
konstruktor,staviteľ
ebasiiras,neúprimný
jood,jód
vahemaa,vzdialenosť
galeniit,galenit
roidumus,malátnosť
õlipuu,olivovník
äri,podnikanie
okultist,okultista
kõnnitee,chodník
hall,predsieň
emme,mama
ohvitser,dôstojník
toetus,zabezpečenie
saepuru,piliny
vägivald,násilie
virisema,sťažovať
veekindel,nepremokavý
kassa,pokladnica
vastama,zodpovedať
parandamine,opravovanie
ühiselt,spoločne
loomulikult,isto
teenindama,obsluhovať
ainitine,sústredený
töötama,pracovať
põlv,koleno
vahukoor,šľahačka
käsitöö,ručná výroba
kaotus,strata
lunastama,odpykať
vanaisa,dedo
muusikaline,hudobný
paarik,dvojica
lõopistrik,hobby
möire,rev
hügroskoopne,hygroskopický
vanasti,predtým
ettevaatamatu,neopatrný
karp,kapor
ühesugune,rovanký
koridor,koridor
kaotus,porážka
ellu jääma,prežiť
kehaliselt,telesný
rahvas,ľudia
praktiliselt,prakticky
roodium,ródium
kõdi,šteklenie
elanikkond,obyvateľstvo
spinat,špenát
mõttetult,bezúčelne
kus,kde
testament,testament
joodik,alkoholik
jõuk,gang
kustuma,vyhasnúť
juhtimine,vedenie
täiendav,dodatočný
pojapoeg,vnuk
taimetoitlus,vegetariánstvo
pakend,balenie
uba,bôb
hüperboloid,hyperboloid
ületama,presiahnuť
sulestik,operenie
regulaarne,pravidelný
pastell,pastel
kinnisomand,nehnuteľnosti
võime,schopnosť
parandamine,oprava
õudne,hrôzostrašný
ida,východ
jooks,beh
pöörduma,odbočiť
tehas,továreň
kitsas,úzky
paruness,barónka
lehvitama,zakývať
muusika,hudba
pühaduseteotus,svätokrádež
kallas,breh
vang,väzeň
süüdvest,juhozápad
kopsud,pľúca
põgusalt,stručne
kustutuskumm,guma
paleontoloogia,paleontológia
makse,úhrada
koer,pes
auaste,hodnosť
biplaan,dvojplošník
kinni püüdma,chytiť
plats,miesto
võit,víťazstvo
loomulikult,iste
vaimuinimene,intelektuál
kummitus,duch
elektrisäde,iskra
täitumine,uskutočnenie
jaotama,distribuovať
blamaaž,potupa
levima,rozšíriť
jaatav,súhlasný
siis,tak
kortermaja,bytovka
pesa,hniezdo
küpsus,vyzretosť
ventilaator,ventilátor
otsustavalt,rozhodne
ühistransport,mhd
pulk,tyčinka
turg,dopyt
palverändur,pútnik
kindel,istý
koonus,konoid
pisar,slza
nagu,ako
keha,teleso
liigutama,pohybovať
äkki,odrazu
petma,podvádzať
kirjutama,vypísať
laius,šírka
heitma,hodiť
kann,kanvice
inspekteerima,preskúmať
lähedal,blízko
mõtlema,premýšľať
kindlasti,určite
liiklusmärk,dopravná značka
kardinaalarv,mocnenec
navigaator,námorník
kaubandus,obchod
kott,vrece
suur,vysoký
laenama,požičať
efekt,výsledok
õudne,strašidelný
lööma,odbiť
kärbes,mucha
kiiskavalt,žiarivo
meremees,námorník
kuiv,suchý
ristkülik,obdĺžnik
surema,zomrieť
kannatused,utrpenie
ropp,chrapúnsky
tähtaeg,termín
loobumine,vzdanie
käima,ísť
monoloog,monológ
sisse lülitama,zapnúť
raev,hnev
adekvaatsus,primeranosť
timukas,kat
tähtpäev,výročie
kodumaa,vlasť
võlur,mág
majandusteadlane,ekonóm
ohmoon,ťulpas
peroksiid,peroxid
ärimees,obchodník
teie,vy
paindlik,pružný
kokk,kuchárka
aedviljad ,zelenina
rahulikult,pokojne
kujundlikkus,obraznosť
heitma,hádzať
muidu,inak
pappel,topoľ
töömees,robotník
saaja,adresát
lõppema,pôjsť
suunduma,mieriť
jaemüüja,maloobchodník
kõik,všetko
anioon,anión
mu,môj
stress,stres
kontekst,okolnosti
vererõhk,tlak
krüptogramm,kryptogram
piinlik,nepríjemný
kvaliteetne,kvalitný
kultus,kult
kehtivus,platnosť
kukutama,pustiť
peagi,onedlho
basalt,čadič
tunne,pocit
mida,čo
võimatu,nemožný
kokku,dokopy
teadvus,vedomie
valmistama,vypraviť
paabulind,páv
grammatika,gramatika
pidama,pokladať
nõu,rada
ülevõim,nadvláda
käsk,príkaz
koduselt,doma
levima,rozkríknuť
lausuma,vyriecť
orv,vypuklina
alus,opora
sakslane,Nemec
praadima,smažiť
nõid,čarodejnica
laimipuu,limetka
ekstreemum,extrém
pööre,prevrat
otstarve,určenie
