et,sk
kallis,zlatíčko
jääkprodukt,zvyšok
naljakas,smiešny
purunema,rozpadnúť
karp,konzerva
koorima,obtiahnuť
psühholoogiline,psychologický
vahend,prípravok
diplomaatlikult,diplomaticky
äratama,zobudiť
tühistamine,zrušenie
vend,mních
lõikuskuu,august
meie,náš
alanemine,úpadok
hauakiri,epitaf
kallisasi,drahocennosť
kukkuma,spadnúť
tulistama,ostreľovať
sõprus,družba
partii,set
lükkama,tlačiť
minimalistlik,minimalistický
ülevaatus,kontrola
kaste,omáčka
vahend,prostriedok
metafooriline,metaforický
osavõtja,zúčastnený
turniir,turnaj
saak,korisť
kallis,drahý
organiseerija,zakladateľ
igapäevane,každodenný
olematus,nebytie
kruus,suť
laialt,široko
lõug,brada
seisund,status
tugev,pevný
tõrv,decht
ennetama,predísť
kuuluma,prislúchať
jõuline,silný
väljavalitud,zvolený
vanaisa,dedko
rühm,oddiel
pidev,stály
segama,zamiešať
laululind,spevák
koristama,spratať
ületama,predstihnúť
viil,plátok
lähedalt,zblízka
riidevärv,náter
neitsik,dievčina
kiirendi,urýchľovač
keskkonnakaitsja,ekológ
virisema,mrnčať
veerand,štvrtina
konstitutsioon,ústava
terviklikkus,úplnosť
märgistamata,neoznačený
lõbustuspark,lunapark
talumajapidamine,farma
ebatäielik,neúplný
pension,penzia
nutikas,šikovný
prerogatiiv,privilégium
kommentaator,komentátor
teistsugune,iný
peal,navrchu
julge,odvážny
üle,cezo
teravili,zrno
purunema,rozbiť
meil,e-mail
tülitama,dotierať
ebaausus,nepoctivosť
pessimist,pesimista
õpetaja,učiteľ
kuul,guľka
kinnisomand,nehnuteľnosť
õhuke,tenký
riided,odev
riie,šaty
intelligentsus,inteligencia
puunott,záznam
nähtus,úkaz
lõhkev,výbušný
julgeolek,ochrana
näitleja,herec
amoraalselt,nemorálne
absurdselt,nezmyselne
tõlge,preklad
põhjalik,dôkladný
kustutama,uhasiť
taskurätik,vreckovka
valmistama,vyrábať
peakontor,centrála
buldooser,buldozér
tuleohtlik,horľavý
praadima,vyprážať
analgeetikum,analgetikum
ajakiri,časopis
laekahoidja,hospodár
kui,než
siia,sem
tunne,cit
kahetsema,oľutovať
jaanuar,január
püloon,pylón
konserv,konzerva
suunas,voči
isane,samec
kakskeelsus,dvojjazyčnosť
parem,pravý
eine,jedlo
säilitama,udržať
ehitusmaterjal,stavivo
hõimkond,kmeň
rubla,rubeľ
pesema,umývať
talunik,roľník
kuhelik,hromada
tasand,stupeň
sõnalisus,slovo
kolm,tri
abivalmis,nápomocný
vähk,rakovina
kaitse,ochrana
taksojuht,taxikár
taas,zasa
maksja,platca
segama,namiešať
tavaline,obyčajný
ajam,pohon
interaktiivne,interaktívne
pahandama,hnevať
pingutus,námaha
rämps,odpad
tsentreeritud,sústredený
meeldima,páčiť
pigem,trochu
innukas,horlivý
džemper,skokan
lita,fena
vedel,tekutý
tera,čepeľ
tõenäoliselt,zrejme
pintsel,štetec
kuulaja,poslucháč
pärastlõuna,popoludnie
röövima,okradnúť
ropp,neslušný
kirjeldama,opísať
suur,veľký
rootor,rotor
sarkastiline,sarkastický
kevad,pružina
detsembrikuu,december
pidev,súvislý
teadmatus,nevedomosť
poju,syn
graavis,hrob
kahju,škoda
sõrmus,krúžok
taas,znovu
laat,jarmok
temperatuur,teplota
omaabi,svojpomoc
ähvardama,pohroziť
hertsoginna,vojvodkyňa
ohmoon,hlupáčik
kulu,výdavok
ports,várka
kajastama,podať
rammestus,ukonanosť
vahejuhtum,incident
jätkuvus,kontinuita
joodik,pijan
plats,námestie
geograaf,geograf
õepoeg,synovec
startima,odštartovať
uhke,pyšný
gaeli,gaelský
liigesepõletik,artritída
põlv,pokolenie
lukussepp,zámočník
tohter,doktorka
võsu,potomok
äratama,podnietiť
muusika,muzika
kanep,konope
kants,citadela
pööritav,závratný
kritiseerima,kritizovať
inimlikkus,ľudskosť
arenguetapp,fáza
vaidlema,dohadovať
pealik,šéf
köitma,viazať
staadion,štadión
kena,pekný
piibel,Biblia
mõjutama,ovplyvňovať
enneaegselt,predčasne
vihaselt,nahnevane
labidas,lopata
nüri,tupý
mägine,hornatý
lavrentsium,lawrencium
inertne,inertný
piimjas,mliečny
torulukksepp,inštalatér
solvama,uraziť
lõbustav,zábavný
võimalikult,možno
raps,repka
eestööline,predák
stsenaarium,scenár
otsekohe,bezodkladne
rahvus,národnosť
poleerima,leštiť
nimetissõrm,ukazovák
tõsine,vážny
talje,pás
järelikult,tak
muusikaline,muzikálny
võhiklikkus,neznalosť
kirjeldama,popísať
käendus,záruka
või,alebo
nüüdisaeg,dnešok
profisportlane,profesionál
jaotama,rozdeliť
väärtuslik,cenný
kirikuaed,cintorín
uskumatu,neveriaci
luik,labuť
saarmas,vydra
puur,klietka
kolonisaator,kolonizátor
tungraud,zdvihák
äratama,vyvolať
usutaganeja,odpadlík
suhtlema,komunikovať
eelkäija,predchodca
pilet,vstupenka
maksejõuetus,insolvencia
üllatus,prekvapenie
kiudaine,tkanina
halvenemine,zhoršenie
näitlejanna,herečka
piparmünt,mäta
tsitrus,citrus
ilmikud,laici
tingima,dohadovať
kehtiv,bežný
miljon,milión
töötama,robiť
kostiline,nájomník
suurenemine,zväčšovanie
puru,bubáky
neutralisatsioon,neutralizácia
populaarsus,popularita
juhataja,manažér
rikas,bohatý
karavan,karavána
kasutamine,používanie
sponsor,podporovateľ
mõttetult,nezmyselne
tera,ostrie
suund,smer
sokk,ponožka
homoseksuaal,homosexuál
pärisorjus,otroctvo
likviidsus,likvidita
sulgurlihas,zvierač
kahju,ujma
teadmatus,neznámo
summa,suma
toll,clo
õlu,pivo
panus,stávka
uurija,bádateľ
terviklikkus,celistvosť
pistma,strčiť
tsüklotron,cyklotrón
rabatt,rabat
naljakas,komický
neelama,zhltnúť
kohvimasin,kávovar
täke,zárez
jäätus,ľad
kopeerima,kopírovať
tuletõrjuja,hasič
ketser,bludár
odav,lacný
šokk,otras
riivsai,strúhanka
äratama,budiť
saak,úroda
kuhelik,množstvo
olema,byť
väljaminek,výdavok
teenekas,zaslúžilý
pidev,nepretržitý
üllatama,udiviť
eelarve,rozpočet
karp,ulita
koristama,oberať
seisak,zastavenie
viivitus,meškanie
keemiline ühend,zlúčenina
panus,prínos
kera,sféra
koristama,pozberať
edasilükkamatu,naliehavý
apteek,lekáreň
idapoolne,východná
askorbiinhape,Céčko
taas,opäť
kasum,zisk
väle,čulý
taaskehtestama,obnoviť
tibu,kura
viisteist,pätnásť
olupoliitik,prospechár
füüsika,fyzika
klientuur,klientela
meenutama,pripomínať
jõudma,dôjsť
botaanika,botanika
regulaarsus,poradie
taktitundeline,taktný
tase,úroveň
petrool,ropa
kokk,kuchár
meenutama,pripomenúť
vili,obilnina
vääriti,zle
kõik,všetka
hüdraat,hydrát
viga,omyl
rajoon,obvod
viissada,päťsto
vihjama,naznačovať
kõrgus,výška
hääletama,stopovať
märts,marec
lehvitama,zamávať
automatism,automatizmus
part,kačka
lisama,pripojiť
kustutama,gumovať
oportunism,oportunizmus
ebapüsivus,nestálosť
teismeline,dospievajúci
kvantitatiivselt,kvantitatívne
tasuta,zadarmo
osa,časť
emme,mamička
epohh,doba
vahetund,prestávka
meheiga,plnoletosť
diktaat,diktát
edenema,postúpiť
vaid,ale
siga,prasa
pateetiline,patetický
vanne,prísaha
kehtiv,platný
registreering,záznam
ajaloolane,historik
harf,harfa
protest,protest
konkreetsus,konkrétnosť
kohutav,príšerný
aukandja,hodnostár
tütremees,zať
karp,kartón
tüliasi,rozpor
dispetšer,odosielateľ
ookeaniline,oceánsky
lehtsigur,čakanka
põgusalt,krátko
tähtkuju,súhvezdie
hüüdsõna,citoslovce
köitma,spútavať
seni,ešte
täpselt,presne
meil,mail
puuvili,ovocie
selge,zreteľný
pangakonto,konto
tunnistama,uznať
treenija,tréner
parm,ožran
infarkt,infarkt
põud,sucho
edenema,dariť
kriitika,kritika
modell,model
tempo,rýchlosť
mootorratas,motorka
tsütoloogia,cytológia
õlletehas,pivovar
regulaarne,regulárny
tähtsusetu,nedôležitý
isa,oco
käänama,skloňovať
õudne,čudný
värske,čerstvý
lükkama,sunúť
mükoloog,mykológ
uustulnukas,zelenáč
metallraha,minca
pulk,kolík
pintsel,štetka
mõiste,pojem
soo,močiar
puhuma,fúkať
külla,návšetva
sihtfond,nadácia
sõnastama,sformulovať
täielikult,úplne
deposiit,záloha
lööma,vstreliť
tund,hodina
elavhõbe,ortuť
moon,mak
balustraad,balustráda
idioot,kretén
sfinks,sfinga
räme,drsný
immuunsus,nevnímavosť
süstal,striekačka
postiga,poštou
vihjama,naznačiť
liit,zväz
varjama,tajiť
kiirgus,radiácia
kõlblus,morálka
rahvussotsialist,nacista
ettekääne,ospravedlnenie
karaat,karát
laenutama,vypožičať
makaron,makarón
kuussada,šesťsto
näts,žuvačka
vasall,vazal
kena,milý
arheoloogiline,archeologický
inkubaator,inkubátor
panus,príspevok
koristama,upratovať
orjastama,zotročiť
dementsus,šialenstvo
luuraja,prieskumník
loobumine,zrieknutie
memm,mama
külmik,chladnička
suveniir,suvenír
ebainimlikkus,neľudskosť
nüanss,odtieň
planeet,planéta
töötlema,spracovať
rahaühik,mena
aeglaselt,pomaly
elupäevad,život
nöör,špagát
väljavalitud,vyvolený
tagant,zozadu
puhuma,vanúť
kümnendik,desatina
märtsikuu,marec
juhendav,poučný
heatahtlikkus,zhovievavosť
mõõtmine,meranie
tabamus,trefa
hääldus,výslovnosť
väsimus,ukonanosť
pediküür,pedikúra
lõppema,ustať
närviline,nervózny
isegi,dokonca
nõue,nárok
suhtlemine,komunikácia
läbima,prejsť
ateistlik,ateistický
privileeg,privilégium
laip,mŕtvola
rahu,pokoj
kasulikkus,užitočnosť
järgija,prívrženec
meistritiitel,šampionát
kiirgav,žiarivý
jääkaine,pozostatok
käsi,ruka
nefroloogia,nefrológia
uus,nový
nõu,nádoba
anatoomia,anatómia
muidugi,iste
majanduslik,ekonomický
seas,medzi
kergus,ľahkosť
päästmine,zachránenie
karikakar,karikatúra
rumaluke,ťulpas
loojuma,zapadnúť
paik,záplata
selgitama,objasniť
känguru,klokan
kasvatus,výchova
Pegasus,Pegas
proovivõtt,vzorkovanie
kohkumatu,neohrozený
täitumine,naplnenie
seas,v
nõid,bosorka
peatus,zastávka
triip,trajektória
osuti,ukazovateľ
fänn,fanúšik
võime,vloha
sigaret,cigareta
kääriv,penivý
kofeiin,kofeín
kange,silný
kraadine,stupňový
liitumine,pripojenie
vald,územie
põnev,úchvatný
sälg,žriebä
tänav,ulica
kaitse,poistka
petma,oklamať
valuuta,mena
võrdsus,rovnosť
pidama,považovať
delikaatne,delikátny
kokkulepe,zmluva
meningiit,meningitída
anomaalne,anomálne
seas,uprostred
vanasti,dakedy
farmatseutiline,farmaceutický
infotehnoloogia,informačná technológia
emotsionaalne,citový
pöörduma,obrátiť
kukkuma,padať
säravalt,brilantne
häving,nešťastie
maakoht,vidiek
teisitimõtleja,oponent
klanitud,uhladený
oktett,oktet
loomulikult,prirodzene
labor,laboratórium
kretiin,retard
delikatess,pochúťka
ristand,kríženec
lapsehoidja,babysitterka
tontlik,strašidelný
letargiline,letargický
õppur,študent
egalitarism,rovnostárstvo
vihje,tip
õigeks mõistma,ospravedlniť
rõuged,kiahne
