et,sk
õlimaal,olejomaľba
koduperenaine,gazdiná
seal,tam
keeruline,zložitý
sõgedus,slepota
puur,gól
pool,polovička
kuuluma,patriť
higi,pot
võistkond,tím
safiir,zafír
meister,majster
juhtkond,vedenie
hütt,chata
muuseas,mimochodom
hall,šedivosť
meelitama,nalákať
võimetus,neschopnosť
põllumees,farmár
sõprus,priateľstvo
sarnane,podobný
külaline,návšetvník
demokraatlik,demokratický
moodne,módny
natsism,nacizmus
kui,keby
nädal,týždeň
tilk,štipka
jooksul,cez
hüüdsõna,interjekcia
subsiidium,dotácia
eksportija,vývozca
lootma,spoliehať
aedvili ,zelenina
lõbustuspark,zábavný park
ületama,prekročiť
lahustuv,rozpustný
laud,stôl
neodüüm,neodým
toores,nezrelý
vorst,klobása
kutsekool,učilište
hape,kyselina
tobuke,ťulpas
ametimees,funkcionár
testima,testovať
uurija,vyšetrovateľ
vähe,trochu
teeröövel,únosca
aadlidaam,šľachtičná
õiglane,čestný
väide,výrok
moodustaja,zakladateľ
lööma,buchnúť
uskumatu,nedôverčivý
mõtleja,mysliteľ
kork,uzáver
skeem,schéma
haamer,mlat
sidekriips,spojovník
sügavkülmik,mraziareň
arhipelaag,súostrovie
lõunatund,poľudňajší
siiani,doteraz
maakond,kraj
kuritegevus,kriminalita
väikemees,syn
sihtkapital,dotácia
immigrant,prisťahovalec
teostama,uplatňovať
retsept,recept
registripidaja,registrátor
sama,zhodne
esinemus,výskyt
toapoiss,komorník
laenama,zapožičať
kaassõna,adpozícia
kaheksakümmend,osemdesiat
meelitaja,lichotník
või,maslo
osa,diel
kallis,zlatko
petma,dostať
säilitama,uchovať
konventsioon,dohovor
rünnak,útok
uurija,výskumník
südamlik,srdečný
televisioon,televízia
juhtimine,ovládanie
õmblus,šev
seebu,zebu
heraldiline,heraldický
lükkama,oddialiť
perekonnanimi,priezvisko
üleeile,predvčerom
vanadus,staroba
literaat,spisovateľka
mõjutama,pôsobiť
info,informácia
kangekaelsus,tvrdohlavosť
filtraat,filtrát
praad,steak
taastusravi,rehabilitácia
emakas,maternica
kahekümnes,dvadsiaty
loomaliha,mäso
segama,vyrušiť
üheksa,deväť
ülekanne,prenos
pesema,umyť
hullustus,šialenstvo
tööstur,priemyselník
libretist,libretista
kelder,pivnica
kurv,zákruta
paprika,paprika
tuletis,derivát
konkordants,súlad
keerlema,točiť
publitsist,novinár
pöial,palec
kuhi,halda
pärimus,tradícia
uppuma,topiť
rahu,mier
kava,plán
sandaal,sandál
hetk,okamih
muidu,ináč
juhtima,riadiť
alfabeetiline,abecedný
rebane,prvák
lööma,tĺcť
saag,píla
kontrollima,kontrolovať
kott,taška
praadima,vysmážať
üterbium,yterbium
saarlane,ostrovan
puhastamine,očista
deebet,debet
kohut mõistma,súdiť
kondenseerima,kondenzovať
koorima,lúpať
rünnak,napadnutie
vikat,kosa
meditatiivne,rozjímavý
kasvatus,chov
magustoit,zákusok
kindlustamatus,bieda
muusik,hudobníčka
ratastool,vozík
mopp,mop
liigutama,hnúť
hüvitamine,náhrada
taas,zase
paigaldamine,umiestnenie
aktiivne,aktívny
apteeker,lekárnik
nonkonformist,disident
ühendama,prepojiť
vaheldus,striedanie
genereerima,generovať
testima,vyskúšať
lõbustuspark,púť
tähelepanelikult, pozorne
käsiraha,záloha
müristama,burácať
osakaal,percento
taevalaotus,obloha
peaminister,premiér
aserbaidžaani keel,azerbajdžanský
kaasa,manžel
homme,zajtra
põhiliselt,podstatne
häbiasi,hanba
lahendama,vyriešiť
nõu,nápoveda
mängima,zahrať
natuke,trochu
põhimõtteline,zásadný
atsetoon,acetón
tunduma,zdať
kirjutama,napísať
sisaldama,zahŕňať
uusik,nováčik
taluvus,tolerancia
vastu puiklema,váhať
ratsanik,džokej
võtma,nabrať
suhkur,cukor
järeldus,záver
pööre,otáčka
armukade,žiarlivý
koosnema,skladať
positiivne,pozitívny
memm,mamička
sügav,hlboký
pistma,nabodnúť
võlu,čaro
elavdama,oživiť
ilus,pekný
rasedus,tehotenstvo
koolitus,vzdelanie
reovesi,splašky
vana,starý
metallurgia,hutníctvo
laar,kopa
õhutama,vyzvať
pedofiil,pedofil
selgesõnaline,výslovný
riivima,strúhať
udune,hmlistý
läbirääkimised,vyjednávanie
uskumatu,neuveriteľný
tänama,ďakovať
sissepoole,dovnútra
võitma,vydobyť
komplekt,súbor
reformaator,reformátor
vähe,trocha
komisjon,komisia
väljaanne,edícia
ülekäigurada,priechod
tunnistama,priznať
rühm,skupina
konflikt,rozpor
mõjutama,ovplyvniť
neelama,pohltiť
tort,torta
savinõud,kamenina
seaduseelnõu,účet
keskealine,stredného veku
loeng,prednáška
privilegeeritud,privilegovaný
voodipesu,posteľné
vaikne,tichý
mootorratas,motocykel
kohver,kufor
pöörduma,otočiť
tegutsema,robiť
valdkond,oblasť
matkama,turistika
šabloon,šablóna
takistama,brániť
lüpsilehm,dojnica
ninasarvik,nosorožec
nõu,riad
üles,hore
hammustus,uhryznutie
vembumees,podvodník
oskama,vedieť
nimetus,pomenovanie
segama,zmiesiť
kui,ak
vangistama,uväzniť
lõbustuspark,park
keeruline,komplikovaný
lustakas,veselý
ooper,opera
teadlik,uvedomelý
klarnet,klarinet
võtma,pripraviť
kola,trosky
veebruarikuu,február
ihu,telo
pesema,prať
pikne,blesk
remont,rekonštrukcia
põlv,generácia
hilinema,oneskoriť
tõsiasi,skutočnosť
noormees,mládenec
ehitis,štruktúra
kallilt,vrúcne
paasapühad,pesach
traktor,traktor
mugavus,komfort
võitma,vyhrať
pingutus,vypätie
antiseerum,antisérum
tribunal,tribunál
kalkun,moriak
kruvi,skrutka
rott,krysa
koolitus,školenie
ventilaator,vetrák
ootamatult,nečakane
topsisõber,korheľ
näitus,prehliadka
hereetik,neveriaci
sidumata,neviazaný
jõuetus,slabosť
nihverdaja,podvodník
küsivalt,spýtavo
vald,sféra
omaja,majiteľ
kurb,smutný
kõrge,vysoký
koorem,príťaž
mull,bublina
kahjustama,škodiť
sama,rovnako
tornaado,tornádo
pealtkuulaja,sliedič
komplekt,súprava
viisnurk,päťuholník
edenema,postupovať
selgitama,osvetliť
realistlik,realistický
väntorel,verklík
vangerdus,rošáda
importija,dovozca
pikendama,natiahnuť
õpetamine,učenie
kasutamine,použitie
klausel,dodatok
migreerima,migrovať
jätkama,pokračovať
levik,distribúcia
lõppema,skončiť
nekroloog,nekrológ
kokkupõrge,zrážka
tempo,tempo
