et,sk
parkla,parkovisko
abt,opát
pimendama,zatemniť
rida,rad
ühendama,napojiť
kassa,pokladňa
telk,stan
poleerima,vyleštiť
kastan,gaštan
ema,mama
paas,mramor
passiivselt,pasívne
vaha,vosk
pikendatud,predĺžený
pööre,obrátka
jünger,žiak
valija,volič
saama,získať
hein,seno
tunnus,znak
torn,veža
totakas,ťulpas
nägelus,zrážka
jõudma,dospieť
selge,číry
ülbus,arogancia
toetamine,podporovanie
kolmas,tretina
regulaarselt,regulárne
pakkuma,poskytnúť
keskmiselt,priemerne
eeskuju,príklad
sekt,sekta
paik,miesto
teksad,rifle
standardiseerimine,štandardizácia
paistetus,opuchlina
suruma,natlačiť
sõdur,vojak
lahusti,rozpúšťadlo
saade,program
tihti,často
magustoit,dezert
uhke,honosný
kangelanna,hrdinka
klorofüll,chlorofyl
peale,vynímajúc
usutavus,dôveryhodnosť
artikkel,článok
võitma,zvíťaziť
liberaal,liberál
haru,odbor
vastandlikkus,kontrast
stiil,štýl
pillimees,muzikantka
lisavarustus,doplnky
teismeline,adolescent
korravalvur,policajt
võlakiri,dlhopis
liiklus,premávka
pagulane,emigrant
fataalsus,osudovosť
kauss,jedlo
matkaja,cestovateľ
väljatõugatu,vyvrheľ
üliõpilane,študent
soe,vrelý
õhtupoolik,popoludnie
anonüümselt,anonymne
pistma,zastrčiť
kustutama,zmazať
riided,oblečenie
noogutama,prikývnuť
katakombid,katakomby
raadium,rádium
ekskrement,výkaly
viiskümmend,päťdesiat
kümme,desať
kiud,filament
tühistamine,odvolanie
tikand,výšivka
tohman,ťulpas
lõpetaja,absolvent
sokk,cap
uppuma,utopiť
geograafiline,zemepisný
antidepressant,antidepresívum
rahuldav,uspokojivý
tähelepanelik,pozorný
kask,breza
kehtestama,nastoliť
mängimine,hranie
puue,nespôsobilosť
delikaatne,háklivý
tase,hladina
hommikumantel,župan
riie,tkanina
lahendus,tajnička
raamat,kniha
pööre,zvrat
oskuslik,obratný
meelitama,lichotiť
postament,podstavec
futuristlik,futuristický
lunastama,spasiť
ebatõhus,neúčinný
tasakaalus,vyvážený
märkama,všimnúť
viima,doviesť
häire,neschopnosť
eraettevõtja,majiteľ
leeritama,potvrdiť
info,info
osa,súčasť
vähenemine,klesanie
tunnistama,svedčiť
korralagedus,neporiadok
rahvas,národ
riidevärv,farba
lahtisti,preháňadlo
jooksul,priebehu
hüvitus,kompenzácia
viima,viesť
lööma,poraziť
ükskõikne,ľahostajný
keeruline,ťažký
pael,stuha
turvavöö,pás
vihm,zrážky
siga,sviňa
päikesevari,slnečník
tõusuvesi,príliv
katki,zničený
pealtnäha,zrejme
viisakas,zdvorilý
nägemist,dovidenia
koorima,olúpať
juhend,pokyn
isomorfism,izomorfizmus
lihtsus,jednoduchosť
viivitus,oneskorenie
lähtuma,vzísť
jõudma,stačiť
lõputu,nekonečný
suruma,potlačiť
sõprus,kamarátstvo
lapsuke,dieťatko
ööpimedus,noc
possessor,vlastník
iseseisvus,nezávislosť
absolutism,absolutizmus
uppuma,potopiť
igatahes,nabetón
hääletama,hlasovať
kopsupõletik,zápal pľúc
kuskilt,odniekiaľ
kaksik,dvojča
sümfooniline,symfonický
kukutama,zvrhnúť
kaks,dve
ema,mamka
petma,nahovárať
raud,železo
kuivati,sušička
laar,stoh
tera,zrno
moment,okamih
mürgitama,otráviť
klavessiin,čembalo
bistroo,bistro
uimasti,liek
helendav,svietivý
häbistav,potupný
pagan,neveriaci
ümarus,guľatosť
pime,temno
reguleerima,regulovať
langus,pokles
järeltulija,potomok
ronima,preliezť
laen,úver
sohva,pohovka
võtma,zobrať
esindatus,zastúpenie
käelaba,dlaň
kooniliselt,kónicky
tasand,level
kustuma,zhasnúť
ühehäälselt,jednomyseľne
kuuluma,spadať
kaupmees,díler
delikaatne,chúlostivý
ports,halda
režissöör,režisér
praktika,praktika
röövima,uniesť
rehabiliteerima,ospravedlniť
veerand,štvrťka
sipelgas,mravec
mängima,hrať
käärid,nožnice
isa,ocko
hamster,škrečok
hullus,bláznovstvo
haigla,nemocnica
meenutama,spomenúť
tähtaeg,deadline
kajastama,reflektovať
märkama,zbadať
viga,chyba
basiilika,bazilika
džiip,džíp
tütrepoeg,vnuk
südameatakk,infarkt
kõikjalt,odvšadiaľ
lodjapuu,brusnica
venima,ťahať
ülesanne,úloha
infant,nemluvňa
õõnes,dutý
tohlakas,trúba
korrapärasus,poriadok
rammestus,únava
kolmnurkne,trojuholníkový
ovatsioon,ovácie
lähedal,blízo
kõblas,motyka
kakskeelne,dvojjazyčný
paistma,javiť
maisipuder,polenta
märg,mokrý
epohh,veky
süüdistus,obvinenie
sõimama,vynadať
lähedaselt,dôverne
surema,umrieť
ka,tiež
käibemaks,dph
egotsentriline,egocentrický
rott,potkan
joon,čiarka
põhjapõder,sob
aedvili,zelenina
värvaine,farba
tuff,tuf
vahel,medzi
vaevalt,sotva
harjutama,trénovať
kohustuslik,povinný
seaduslik,legálny
sadu,dážď
kihutama,podnecovať
deposiit,depozit
hereetik,bludár
kägu,kukučka
puur,koterec
sündima,nútiť
osmoos,osmóza
pistikupesa,zásuvka
langema,upadnúť
venitus,strečing
sotsialistlik,socialistický
ronima,šplhať
jaksama,stačiť
kann,džbán
siin,tu
pension,dôchodok
kriitiline,kritický
pakkuma,ponúknuť
põhiline,podstatný
meene,spomienka
lõppema,prestať
publik,diváci
eksikombel,omylom
pudipõll,podbradník
jaatav,kladný
pühendama,venovať
muti,mama
tegutsema,konať
võimalikult,eventuálne
tohutu,obrí
histoloogia,histológia
lisama,pridať
kile,blana
kuul,strela
tarnija,dodávateľ
sosistama,šuškať
väejooksik,dezertér
pleekima,bieliť
vanillikaste,puding
tootma,vyrábať
karp,škatuľa
praktika,prax
kokkutulek,stretávka
ringi,dookola
puhuma,zaviať
suur,početný
tulev,prichádzajúci
püüdma,uloviť
triip,pruh
neljapäev,štvrtok
ükskord,raz
sagedus,frekvencia
tülitama,dobiedzať
seinatühe,vypuklina
juhtimine,šoférovanie
huumor,humor
kuritegevus,zločinnosť
majandussurutis,kríza
õmblus,šitie
kokku,dohromady
puiestee,alej
ülesanne,cvičenie
anonüümne,anonymný
hais,zápach
koosnema,pozostávať
ööpäev,deň
saama,stať
vang,trestanec
paistma,zdať
haav,poranenie
julm,krutý
riivima,ostrúhať
aplaus,potlesk
äratama,prebrať
piisama,postačiť
surnud,mŕtvy
ohtlikkus,nebezpečenstvo
võimatu,nereálny
paadimees,prievozník
puiestee,trieda
soe,teplý
ülevaatus,prehliadka
tähtaeg,uzávierka
kohal,nado
dispersioon,rozptyl
haritlane,intoš
seksuaalselt,pohlavne
käputäis,hrsť
jänes,zajac
natuke,málo
respiraator,respirátor
kui,ako
pikkamööda,pomaly
viitsepresident,viceprezident
katastroof,katastrofa
raja,hrana
põhinema,spočívať
pidama,podržať
vägivaldselt,násilne
teadmus,vedomosti
usurpeerima,uchvátiť
venitama,natiahnuť
mikstuur,zmes
tehas,závod
magustoit,sladkosť
loss,hrad
väsitama,unaviť
vedelik,kvapalina
kadestusväärne,závideniahodný
juhend,príručka
täitumine,naplňovanie
etioloogiline,etiologický
tähelepanelik,šetrný
konsolideeruma,konsolidovať
träni,trosky
või,či
kiiresti,rýchlo
jooksul,behom
isoleeritus,izolácia
mängija,hráč
kokkupõrge,kolízia
keskel,naprostriedku
tugev,sýty
loetav,čitateľný
õndsus,blaženosť
eksklusiivne,exkluzívny
venitama,pretiahnuť
valvur,strážca
arabesk,arabeska
muti,maminka
katastroof,nešťastie
võrre,úmera
hõõguma,žiariť
destillatsioon,destilácia
õudne,desivý
tee,cesta
koorem,náklad
punkt,bod
äärelinn,periféria
keskel,uprostred
tihedus,hustota
hilinema,meškať
langema,klesať
kokkulepe,dohoda
paabel,neporiadok
malta keel,maltčina
faas,obdobie
loomulikult,samozrejme
päritolu,pôvod
pärastlõuna,popoludní
