et,sk
eksklusiivne,výhradný
eksklusiivne,exkluzívny
ekskrement,výkaly
eksportija,vývozca
ekstreemum,extrém
elanikkond,obyvateľstvo
elastiin,elastín
elatusvahend,živobytie
elavdama,oživiť
elavdamine,oživenie
elavhõbe,ortuť
elektrisäde,iskra
elektromeeter,elektromer
eliksiir,elixír
ellu jääma,prežiť
elu,život
elupäevad,život
elupõlv,životnosť
elutark,múdry
ema,mama
ema,matka
ema,mamka
emakas,maternica
emigratsioon,emigrácia
emiir,emir
emme,mamička
emme,mama
emotsionaalne,citový
empirism,empirizmus
emps,mamička
endokrinoloog,endokrinológ
enesemääramine,samospráva
enne kui,pred
enneaegselt,predčasne
ennetama,predísť
entomoloogia,entomológia
epohh,veky
epohh,doba
eraettevõtja,majiteľ
erapooletu,nestranný
erapoolik,predpojatý
esindatus,znázornenie
esindatus,zastúpenie
esineja,účinkujúci
esinemus,výskyt
esitlus,predstavenie
etaan,etán
etanool,etylalkohol
etapp,fáza
etioloogiline,etiologický
ette valmistamata,nepripravený
ettekääne,ospravedlnenie
ettekääne,zásterka
ettekääne,zámienka
ettevaatamatu,neopatrný
eufemism,eufemizmus
evolutsioon,evolúcia
faas,obdobie
farmatseutiline,farmaceutický
farmer,poľnohospodár
fataalsus,osudovosť
filosoofia,filozofia
filtraat,filtrát
foneetika,fonetika
fresko,freska
futuristlik,futuristický
fänn,fanúšik
füüsika,fyzika
gaasistuma,splynovať
gaeli,gaelský
galeniit,galenit
galerii,galéria
gambiit,gambit
genereerima,generovať
genoom,genóm
geofüüsika,geofyzika
geograaf,geograf
geograafiline,zemepisný
glükoos,glukóza
gorilla,gorila
gospel,evanjelium
graaf,graf
graavis,hrob
grammatika,gramatika
grammatiliselt,gramaticky
grammofon,gramofón
graniit,žula
greip,grapefruit
grillima,grilovať
haamer,mlat
haamer,kladivo
haav,poranenie
haav,zranenie
haav,rana
habe,fúzy
haigla,nemocnica
hais,zápach
hais,smrad
haldur,dozorca
hall,šedivosť
hall,šedivý
hall,sivý
hall,sivosť
hall,predsieň
halloo,ahoj
halvenema,zhoršiť
halvenemine,zhoršenie
hammustama,hrýzť
hammustama,pohrýzť
hammustama,pohryznúť
hammustama,uhryznúť
hammustama,odhryznúť
hammustus,uhryznutie
hamster,škrečok
hape,kyselina
happesus,kyslosť
haprus,krehkosť
hapu,kyslý
harakas,straka
harf,harfa
harfist,harfeníčka
harilikult,zvyčajne
haritlane,intelektuál
haritlane,intoš
harjutama,skúšať
harjutama,cvičiť
harjutama,trénovať
haru,odvetvie
haru,odbor
haruldane,vzácny
harva,málokedy
harva,zriedka
hauakiri,epitaf
haud,hrob
heatahtlikkus,zhovievavosť
hein,seno
heitma,hodiť
heitma,hádzať
heitma,mávnuť
heitma,nahodiť
heitma,vrhnúť
heledasti,žiarivo
helendav,svietivý
heli,zvuk
helilooja,skladateľ
hellitus,maznanie
heraldiline,heraldický
hereetik,neveriaci
hereetik,bludár
hertsoginna,vojvodkyňa
hetk,okamih
higi,pot
hiiglane,obor
hiir,myš
hilinema,meškať
hilinema,omeškať
hilinema,oneskoriť
hilja,neskoro
hing,ovzdušie
hinnang,zhodnotenie
hinnang,ocenenie
hinnang,posudok
hinnang,hodnotenie
histoloogia,histológia
hoidmine,úschova
homme,zajtra
hommik,ráno
hommikumantel,župan
homne,zajtrajší
homoseksuaal,homosexuál
hooajaline,sezónne
hoolekanne,blaho
hoolimata,napriek
hullus,bláznivosť
hullus,bláznovstvo
hullus,šialenstvo
hullus,šialenosť
hullustus,šialenstvo
humaansus,ľudskosť
hunt,vlk
husaar,husár
huumor,humor
huviline,záujemca
häbematu,drzý
häbiasi,hanba
häbistav,potupný
häbitult,nehanebne
häda,núdza
häda,trápenie
häda,trhlina
häire,neschopnosť
häving,nešťastie
hääldus,výslovnosť
hääletama,hlasovať
hääletama,stopovať
hõimkond,kmeň
hõrk,delikátny
hõrk,vyberaný
hõrk,lahodný
hõõguma,žiariť
hüdraat,hydrát
hügieen,hygiena
hügroskoopne,hygroskopický
hüperboloid,hyperboloid
hüpertüreoos,hypertyreóza
hüpervitaminoos,hypervitaminóza
hütt,chata
hüvitamine,náhrada
hüvitus,kompenzácia
hüüdsõna,interjekcia
hüüdsõna,citoslovce
ida,východ
idapoolne,východná
idioot,kretén
igapäevane,všedný
igapäevane,každodenný
igasugune,rozličný
igatahes,rozhodne
igatahes,nabetón
igatahes,isto-iste
igatsus,túžba
ignorantne,neznalý
ihu,telo
iiri,írsky
ilmakaar,svetová strana
ilmakaared,svetové strany
ilmateade,predpoveď počasia
ilmikud,laici
ilus,krásny
ilus,pekný
ime,zázrak
immigrant,prisťahovalec
immigrant,imigrant
immuunsus,nevnímavosť
imperialistlik,imperialistický
importija,dovozca
indiviid,jednotlivec
inertne,inertný
inetu,škaredý
inetu,ohavný
infant,nemluvňa
infarkt,infarkt
inflatsioon,inflácia
info,informácia
info,info
informant,informátor
infotehnoloogia,informačná technológia
ingel,dobrák
inglane,angličan
inglanna,angličanka
inimene,človek
inimesed,ľudia
inimiga,pokolenie
inimlikkus,ľudskosť
inimlikkus,humanita
inimõigused,ľudské práva
inkubaator,inkubátor
innukas,horlivý
inspekteerima,preskúmať
inspireerima,inšpirovať
instinkt,inštinkt
intellektuaal,intoš
intelligent,intoš
intelligentsus,inteligencia
interaktiivne,interaktívne
intress,úrok
ioota,jota
isa,ocko
isa,oco
isa,otec
isane,samec
isegi,dokonca
iseseisvus,nezávislosť
isiklikult,osobne
isiksus,osobnosť
isoleeritus,odlúčenosť
isoleeritus,izolácia
isomorfism,izomorfizmus
istekoht,miesto
istutama,zasadiť
istutama,vysadiť
jaa,áno
jaanuar,január
jaatav,kladný
jaatav,súhlasný
jaemüüja,maloobchodník
jagatis,proporcia
jagelus,spor
jaksama,stačiť
jaotama,rozdeliť
jaotama,prideliť
jaotama,distribuovať
jood,jód
joodik,alkoholik
joodik,opilec
joodik,korheľ
joodik,pijan
jooks,beh
jooksma,behať
jooksul,počas
jooksul,priebehu
jooksul,cez
jooksul,behom
joon,línia
joon,čiara
joon,čiarka
joon,črta
jope,bunda
jope,sako
juhataja,manažér
juhend,inštrukcia
juhend,manuál
juhend,pokyn
juhend,príručka
juhendav,poučný
juht,šofér
juht,vodič
juhtima,šoférovať
juhtima,zaviesť
juhtima,viesť
juhtima,riadiť
juhtimine,vedenie
juhtimine,šoférovanie
juhtimine,riadenie
juhtimine,ovládanie
juhtkond,vedenie
juhtkond,rada
julge,odvážny
julge,smelý
julge,statočný
julgeolek,bezpečnosť
julgeolek,zabezpečenie
julgeolek,ochrana
julm,brutálny
julm,krutý
jumal,boh
jumalikkus,božstvo
juriidiline,právnický
jutt,čiara
jutukas,zhovorčivý
jutumeister,narátor
jutustama,rozprávať
juuksed,vlasy
juunior,junior
jänes,zajac
järeldus,záver
järelikult,teda
järelikult,tak
järelkasv,potomok
järelkäija,stúpenec
järeltulija,potomok
järeltulijad,následovník
järgija,prívrženec
järk,štádium
järsk,príkry
järsku,naraz
jätkama,pokračovať
jätkusuutlik,udržateľný
jätkusuutlikkus,udržateľnosť
jätkuvus,kontinuita
jääkaine,pozostatok
jääkprodukt,zvyšok
jäämägi,ľadovec
jäänukid,zvyšky
jäär,baran
jäätus,ľad
jõhkard,surovec
jõhvikas,kľukva
jõudma,stihnúť
jõudma,stačiť
jõudma,dospieť
jõudma,dôjsť
jõuetus,slabosť
jõuk,gang
jõuline,silný
jõuline,prudký
jõulud,vianoce
jünger,učeník
jünger,žiak
ka,aj
ka,tiež
kaalium,draslík
kaasa,manžel
kaasa,partnerka
kaassõna,adpozícia
kabalistlik,kabalistický
kadestusväärne,závideniahodný
kadett,kadet
kaelarätt,šál
kaevik,priekopa
kahanemine,úbytok
kaheksakümmend,osemdesiat
kahekümnes,dvadsiaty
kahepalgelisus,neúprimnosť
kahetsema,mrzieť
kahetsema,oľutovať
kahetsema,ľutovať
kahju,poškodenie
kahju,ujma
kahju,škoda
kahjustama,poškodiť
kahjustama,škodiť
kaitse,defenzíva
kaitse,obhajoba
kaitse,obrana
kaitse,ochrana
kaitse,poistka
kaitsevõime,nevnímavosť
kajastama,reflektovať
kajastama,podať
kajastama,odrážať
kajut,kajuta
kaklus,zápas
kaklus,bitka
kaks,dva
kaks,dve
kaksik,dvojča
kaksikud,blíženci
kakskeelne,dvojjazyčný
kakskeelsus,dvojjazyčnosť
kakssada,dvesto
kala,ryba
kalju,útes
kalkun,moriak
kallas,breh
kallilt,vrúcne
kallis,zlatíčko
kallis,drahý
kallis,miláčik
kallis,milý
kallis,zlatko
kallis,zlatý
kallisasi,drahocennosť
kalmaar,kalmar
kaltsiferool,kalciferol
kamar,kôra
kanal,kanál
kandejõud,nosnosť
kanep,konope
kange,silný
kange,mocný
kangekaelsus,tvrdohlavosť
kangelanna,hrdinka
kankaan,kankán
kann,džbán
kann,kanvice
kannatused,utrpenie
kants,citadela
kantselei,kancelária
kantselei,pracovňa
kanuu,kanoe
kanvaa,plátno
kaotus,prehra
kaotus,porážka
kaotus,strata
kaplan,kaplán
karaat,karát
karantiin,karanténa
karavan,karavána
karbamiid,močovina
kardinaalarv,mocnenec
karikakar,karikatúra
karp,kapor
karp,kartón
karp,konzerva
karp,krabica
karp,mušľa
karp,ulita
karp,škatuľa
karu,medveď
kask,breza
kassa,kasa
kassa,pokladnica
kassa,pokladňa
kastan,gaštan
kaste,omáčka
kasulik,potrebný
kasulik,užitočný
kasulikkus,užitočnosť
kasum,zisk
kasutamine,použitie
kasutamine,používanie
kasvatus,chov
kasvatus,výchova
katakombid,katakomby
kataloog,adresár
katastroof,nešťastie
katastroof,katastrofa
katastroof,pohroma
katastroofiliselt,katastroficky
kategooriline,rozhodný
katki,pokazený
katki,rozbitý
katki,zničený
katoliku,katolík
kaubandus,obchod
kaubitseja,díler
kaugel,ďaleko
kaugnägelikkus,ďalekozrakosť
kaupmees,díler
kauss,jedlo
kauss,misa
kauss,miska
kava,plán
keegi,niekto
keel,jazyk
keeld,zákaz
keemiline ühend,zlúčenina
keerlema,točiť
keeruline,komplikovaný
keeruline,ťažký
keeruline,zložitý
keha,telo
keha,teleso
kehakultuurlane,športovkyňa
kehaliselt,telesný
kehtestama,nastoliť
kehtiv,bežný
kehtiv,platný
kehtivus,platnosť
keiserlik,cisársky
kelder,pivnica
kelle,čí
kemikaal,chemikália
kena,milý
kena,pekný
kera,sféra
keraamika,hrnčiarstvo
kergus,ľahkosť
keskealine,stredného veku
keskel,medzi
keskel,uprostred
keskel,naprostriedku
keskkonnakaitsja,ekológ
keskkool,stredná škola
keskmiselt,priemerne
keskpäev,poludnie
kestma,trvať
kesv,jačmeň
ketser,bludár
kett,reťaz
kevad,pružina
kibe,horký
kihlatu,zasnúbený
kihutama,podnecovať
kihutama,rútiť
kihutustöö,propaganda
kiirendi,urýchľovač
kiiresti,rýchlo
kiirgav,žiarivý
kiirgus,radiácia
kiirtee,diaľnica
kiiskavalt,žiarivo
kile,blana
kilo,kilogram
kindel,presvedčený
kindel,istý
kindlasti,určite
kindlasti,isto
kindlustamatus,bieda
kingsepp,obuvník
kinkanipuu,kumkvat
kinni püüdma,chytiť
kinnisomand,nehnuteľnosti
kinnisomand,nehnuteľnosť
kinnisvara,nehnuteľnosť
kinnisvara,reality
kino,kino
kirg,vášeň
kirikuaed,cintorín
kirjalik,písomný
kirjeldama,opisovať
kirjeldama,opísať
kirjeldama,popísať
kirjutama,napísať
kirjutama,písať
kirjutama,vypísať
kisakõri,krikľúň
kitsas,úzky
kiud,filament
kiudaine,tkanina
kiudaine,vláknina
kivi,hornina
kiviraidur,kamenár
klaassepp,sklár
klanitud,uhladený
klarnet,klarinet
klassifikatsioon,klasifikácia
klausel,dodatok
klausel,klauzula
klausel,doložka
klavessiin,čembalo
kleit,šaty
klientuur,klientela
kloriid,chlorid
klorofüll,chlorofyl
knihv,trik
kodulinn,rodné mesto
kodumaa,domovina
kodumaa,vlasť
koduperenaine,gazdiná
koduselt,doma
kodustama,skrotiť
kodutu,bezdomovec
koer,pes
kofeiin,kofeín
kogum,súbor
kohal,nad
kohal,prítomný
kohal,nado
kohkumatu,neohrozený
kohtukutse,predvolanie
kohtumaja,súd
kohustuslik,povinný
kohut mõistma,súdiť
kohutav,desivý
kohutav,príšerný
kohv,káva
kohver,kufor
kohvik,kaviareň
kohvimasin,kávovar
kokaiin,kokaín
kokk,kuchár
kokk,kuchárka
kokku,dohromady
kokku,dokopy
kokku,spolu
kokkulepe,zmluva
kokkulepe,dohoda
kokkulepe,dohovor
kokkupõrge,kolízia
kokkupõrge,konflikt
kokkupõrge,potýčka
kokkupõrge,zrážka
kokkusobivus,harmónia
kokkutulek,stretávka
kola,trosky
kolakas,kolos
kolask,kolos
kolimine,presťahovanie
kolimine,sťahovanie
kollaboratsioon,spolupráca
kollaps,kolaps
kolm,tri
kolmas,tretina
kolmemõõtmeline,trojrozmerný
kolmepoolne,trojstranný
kolmnurkne,trojuholníkový
kolonisaator,kolonizátor
kolossaalne,kolosálny
komisjon,komisia
komme,zvyk
kommentaar,komentár
kommentaator,komentátor
kompanjon,spoločník
komplekt,súprava
komplekt,súbor
komplekt,komplet
kompromiss,kompromis
komöödia,komédia
kondenseerima,kondenzovať
kondenseeruma,kondenzovať
kondine,kostnatý
konflikt,rozpor
koni,pažba
konklaav,konkláve
konkordants,súlad
konkreetsus,konkrétnosť
konkurents,konkurencia
konn,žaba
konserv,konzerva
konsolideeruma,konsolidovať
konsool,konzola
konstant,konštanta
konstantsus,stálosť
konstitutsioon,ústava
konstruktor,staviteľ
konsulaat,konzulát
kontekst,okolnosti
kontinentaalne,kontinentálne
kontrollima,kontrolovať
konventsioon,dohovor
konvoi,konvoj
koolibri,kolibrík
koolitus,vzdelanie
koolitus,školenie
koolon,kolóna
koon,ňufák
kooniliselt,kónicky
koonus,konoid
koorem,príťaž
koorem,bremeno
koorem,náklad
koorima,lúpať
koorima,obtiahnuť
koorima,okrájať
koorima,olúpať
koorima,ošúpať
koorima,šúpať
koos,vrátane
koos,pohromade
koos,s
koos,spoločne
koos,spolu
kooskõlastama,skoordinovať
koosnema,skladať
koosnema,pozostávať
koosseis,zostava
koostama,spísať
koostama,vypracovať
koostama,zostaviť
kopeerima,kopírovať
kops,pľúca
kopsud,pľúca
kopsupõletik,zápal pľúc
kordama,opakovať
kordama,zopakovať
korduv,opakovaný
koridor,koridor
koridor,chodba
koristama,upratovať
koristama,oberať
koristama,pozberať
koristama,spratať
koristama,upratať
kork,korok
kork,uzáver
kork,viečko
kork,vrchnák
kork,zátka
kork,štupeľ
korpus,korpus
korralagedus,neporiadok
korrapärasus,poriadok
korravalve,policajt
korravalvur,policajt
korruptsioon,korupcia
korter,byt
kortermaja,činžiak
kortermaja,bytovka
kortik,ramienko
kostiline,nájomník
kott,vrece
kott,taška
kott,mech
kraadine,stupňový
kraav,priekopa
kretiin,retard
kriitika,kritika
kriitiline,kritický
kristalliline,kryštalický
kristlik,kresťanský
kritiseerima,kritizovať
kronomeeter,chronometer
kruus,suť
kruustangid,zverák
kruvi,skrutka
krüostaat,kryostat
krüptogramm,kryptogram
kuhelik,halda
kuhelik,množstvo
kuhelik,hromada
kuhi,halda
kui,keby
kui,ako
kui,keď
kui,než
kui,ak
kuidas,ako
kuiv,suchý
kuivati,sušička
kujundlikkus,obraznosť
kukkuma,dopadnúť
kukkuma,padnúť
kukkuma,prepadnúť
kukkuma,spadnúť
kukkuma,zapadnúť
kukkuma,padať
kukutama,pustiť
kukutama,zvrhnúť
kuldne,zlatý
kulp,naberačka
kultiveerima,pestovať
kultiveerimine,pestovanie
kultus,kult
kultuur,kultúra
kulu,výdavok
kumm,pneumatika
kumm,guma
kummitus,duch
kunagi,niekedy
kunagi,kedysi
kuninganna,kráľovná
kuningas,kráľ
kunst,umenie
kunstnik,umelec
kurb,smutný
kuri,zlý
kuritegevus,zločinnosť
kuritegevus,kriminalita
kurnatus,únava
kurv,zákruta
kurvameelsus,smútok
kus,kde
kuskil,niekde
kuskilt,odniekiaľ
kustuma,vyhasnúť
kustuma,zhasnúť
kustutama,zmazať
kustutama,zhasnúť
kustutama,vymazať
kustutama,uhasiť
kustutama,hasiť
kustutama,gumovať
kustutama,zotrieť
kustutuskumm,guma
kutsar,kočiš
kutsealune,branec
kutsekool,učilište
kutsekool,učilisko
kuueteistkümnendik,šestnásty
kuul,strela
kuul,guľka
kuulaja,poslucháč
kuulajad,poslucháči
kuulikindel,nepriestrelný
kuuluma,patriť
kuuluma,prislúchať
kuuluma,spadať
kuum,horúco
kuupmeeter,kubík
kuupsentimeeter,mililiter
kuussada,šesťsto
kušett,gauč
kvadratuur,kvadratúra
kvaliteetne,kvalitný
kvantitatiivselt,kvantitatívne
kvartal,kvartál
käegalöömine,neľúbosť
käelaba,dlaň
käendus,záruka
käepide,rukoväť
käesolev,dnešný
käesolev,súčasný
kägu,kukučka
käibemaks,dph
käima,chodiť
käima,ísť
käituma,správať
känguru,klokan
käputäis,hrsť
kära,vrava
kärbes,mucha
kärsitu,netrpezlivý
käsi,ruka
käsiraha,záloha
käsitöö,ručná výroba
käsitöö,remeselný
käsk,príkaz
käskima,rozkázať
käskima,nariadiť
käsnjas,hubovitý
käterätt,uterák
käänama,skloňovať
käärid,nožnice
kääriv,penivý
kõblas,motyka
kõdi,šteklenie
kõht,brucho
kõik,všetka
kõik,všetci
kõik,všetky
kõik,všetok
kõik,všetko
kõiketeadev,vševedúci
kõikjalt,odvšadiaľ
kõikuvus,nestálosť
kõlapind,dopad
kõlblus,morálka
kõnnitee,chodník
kõrge,vysoký
kõrgem ohvitser,generál
kõrgus,výška
köha,kašeľ
köhima,zakašľať
köhima,kašľať
köitma,viazať
köitma,spútavať
köitma,sputnávať
kühvel,lopatka
külaelanik,dedinčan
külaline,návšetvník
külaskäik,návšteva
külla,návšetva
külmavereliselt,chladnokrvne
külmetama,mrznúť
külmetama,oziabať
külmik,chladnička
külmutuskapp,chladnička
kümme,desať
kümnendik,desatina
kümnes,desiaty
küpsus,vyzretosť
küsivalt,spýtavo
küüditatu,vyhnanec
laar,stoh
laar,kopa
laat,veľtrh
laat,trh
laat,jarmok
labidas,rýľ
labidas,lopata
labor,laboratórium
laduma,naskladať
laekahoidja,hospodár
laen,výpožička
laen,zápožička
laen,pôžička
laen,úver
laenama,zapožičať
laenama,vypožičať
laenama,požičať
laenutama,zapožičať
laenutama,vypožičať
laenutama,požičať
laevnik,námorník
laevur,lodník
lahendama,vyriešiť
lahendus,riešenie
lahendus,tajnička
lahku,zvlášť
lahku,oddelene
lahti võetav,oddeliteľný
lahtisti,preháňadlo
lahusti,rozpúšťadlo
lahustuv,rozpustný
lahutatus,izolácia
laialt,široko
laialt,zoširoka
laialt,dokorán
laiendama,rozšíriť
laimipuu,limetka
laip,mŕtvola
laius,šírka
lakard,korheľ
lakei,lokaj
lakkekrants,opilec
lambad,ovce
laminaat,laminát
lammutama,zvrhnúť
lammutama,zdemolovať
lammutama,zbúrať
lammutama,zrúcať
langema,klesať
langema,padnúť
langema,upadnúť
langus,ubúdanie
langus,pokles
lapsehoidja,babysitterka
lapsehoidja,babysitter
lapsehoidja,pestúnka
lapseiga,detstvo
lapsendama,prijať
lapsendamine,prijatie
lapsuke,dieťa
lapsuke,dieťatko
laud,stajňa
laud,doska
laud,stôl
laululind,spevák
lausuma,vyriecť
lavrentsium,lawrencium
leedu,litovský
leeritama,potvrdiť
legend,legenda
lehtsigur,čakanka
lehvitama,zamávať
lehvitama,zakývať
lein,žiaľ
lell,ujo
lell,strýko
lend,útek
lennundus,letectvo
lesbi,lesbička
letargiline,letargický
lett,pult
levik,rozšírenie
levik,distribúcia
levima,rozšíriť
levima,rozkríknuť
liberaal,liberál
liblikas,motýľ
libretist,libretista
ligidus,blízkosť
ligikaudu,zhruba
ligikaudu,približne
ligilähedane,približný
ligipääsetavus,prístupnosť
liha,mäso
lihapall,karbonátok
lihas,sval
lihavõtted,veľká noc
lihtsus,jednoduchosť
liialdatud,prehnaný
liigendama,analyzovať
liigesepõletik,artritída
liigkasuvõtmine,úžera
liigutama,pohnúť
liigutama,pohybovať
liigutama,dojať
liigutama,hnúť
liiklus,premávka
liiklusmärk,dopravná značka
liiklusmärk,značka
liit,únia
liit,spojenectvo
liit,zväz
liitumine,pripojenie
liitumine,fúzia
liitumine,anektácia
likviidsus,likvidita
lill,kvet
lill,kvetina
limonaad,limonáda
linakarva,ľanový
linn,mesto
linnumaja,voliéra
lisaaeg,predĺženie
lisajõgi,prítok
lisaks,navyše
lisama,dodať
lisama,doplniť
lisama,pridať
lisama,priložiť
lisama,pripojiť
lisavarustus,príslušenstvo
lisavarustus,doplnky
lita,fena
literaat,spisovateľka
lodjapuu,brusnica
loeng,prednáška
loetav,čitateľný
lohakas,nedbalý
lohutus,útecha
lokaator,vyhľadávač
loll,blázon
lontrus,lump
loobumine,abdikácia
loobumine,vzdanie
loobumine,zrieknutie
loojuma,zapadnúť
loomaliha,mäso
loomaliha,hovädzina
loomaliha,hovädzie mäso
loomalikult,beštiálne
loomulikult,prirodzene
loomulikult,pochopiteľne
loomulikult,isto
loomulikult,iste
loomulikult,samozrejme
lootma,spoliehať
lootma,spoľahnúť
lootma,dúfať
loss,hrad
lubatav,prípustný
lugija,kazateľ
luik,labuť
lukussepp,zámočník
lumine,zasnežený
lunastama,spasiť
lunastama,odpykať
lunastama,vykúpiť
lurjus,naničhodník
lusikas,lyžica
lustakas,veselý
luuraja,prieskumník
luustuma,skostnatieť
läbima,prejsť
läbipääs,priechod
läbirääkimine,vyjednávanie
läbirääkimine,rokovanie
läbirääkimised,vyjednávanie
läbirääkimised,rokovanie
lähedal,blízo
lähedal,neďaleko
lähedal,blízko
lähedalt,úzko
lähedalt,zblízka
lähedaselt,dôverne
lähtuma,vzísť
lämbuma,udusiť
lävi,prah
lõbustav,zábavný
lõbustuspark,lunapark
lõbustuspark,park
lõbustuspark,zábavný park
lõbustuspark,púť
lõdvalt,voľne
lõhkev,výbušný
lõikuskuu,august
lõngaõli,vitriol
lõopistrik,hobby
lõpetaja,absolvent
lõpp,zakončenie
lõppema,prestať
lõppema,pôjsť
lõppema,skončiť
lõppema,uhynúť
lõppema,ustať
lõputu,nekonečný
lõug,brada
lõunatund,poľudňajší
lõvi,lev
löökpillimängija,perkusionista
lööma,udrieť
lööma,biť
lööma,odbiť
lööma,poraziť
lööma,priraziť
lööma,tepať
lööma,tĺcť
lööma,vstreliť
lööma,zabuchnúť
lööma,buchnúť
lükkama,sunúť
lükkama,tlačiť
lükkama,oddialiť
lüpsilehm,dojnica
lüüriline,lyrický
maakoht,vidiek
maakond,kraj
maalija,maliar
maantee,cesta
magus,sladký
magustoit,dezert
magustoit,múčnik
magustoit,zákusok
magustoit,sladkosť
mahajäetud,opustený
mahtuma,zmestiť
maisipuder,polenta
majanduslik,hospodársky
majanduslik,ekonomický
majandussurutis,kríza
majandusteadlane,ekonóm
makaron,makarón
makse,úhrada
makse,platba
maksejõuetus,insolvencia
maksja,platič
maksja,platca
maksumäär,sadzba
malta keel,maltčina
mari,bobuľa
masendus,depresia
massaaž,masáž
matkaja,hiker
matkaja,cestovateľ
matkaja,turista
matkama,túra
matkama,turistika
me,my
medal,plaketa
medal,medaila
meditatiivne,rozjímavý
meditsiin,lekárstvo
meeldima,páčiť
meelelahutuslik,zábavný
meelitaja,lichotník
meelitama,priťahovať
meelitama,pritiahnuť
meelitama,nalákať
meelitama,lákať
meelitama,lichotiť
meene,spomienka
meenutama,pripomínať
meenutama,pripomenúť
meenutama,spomenúť
meerik,zapisovač
meeter,meter
meheiga,plnoletosť
meie,náš
meil,mail
meil,email
meil,e-mail
meister,odborník
meister,majster
meistritiitel,šampionát
