et,sk
julge,smelý
julge,statočný
julgeolek,bezpečnosť
julgeolek,ochrana
julgeolek,zabezpečenie
julm,brutálny
julm,krutý
jumal,boh
juriidiline,právnický
jutukas,zhovorčivý
jutustama,rozprávať
juuksed,vlasy
jänes,zajac
järelikult,tak
järelikult,teda
jätkama,pokračovať
jätkusuutlikkus,udržateľnosť
jäär,baran
jõhvikas,kľukva
jõudma,dospieť
jõudma,dôjsť
jõudma,stačiť
jõudma,stihnúť
jõuline,prudký
jõuline,silný
jõulud,vianoce
ka,aj
ka,tiež
kaassõna,adpozícia
kaheksakümmend,osemdesiat
kahetsema,mrzieť
kahetsema,oľutovať
kahetsema,ľutovať
kahju,poškodenie
kahju,ujma
kahju,škoda
kahjustama,poškodiť
kahjustama,škodiť
kaitse,defenzíva
kaitse,obhajoba
kaitse,obrana
kaitse,ochrana
kaitse,poistka
kajastama,podať
kajastama,reflektovať
kajut,kajuta
kaklus,bitka
kaklus,zápas
kaks,dva
kaks,dve
kaksik,dvojča
kaksikud,blíženci
kakssada,dvesto
kala,ryba
kallas,breh
kallis,drahý
kallis,miláčik
kallis,milý
kallis,zlatko
kallis,zlatíčko
kallis,zlatý
kanal,kanál
kanep,konope
kange,mocný
kange,silný
kann,džbán
kann,kanvice
kantselei,kancelária
kantselei,pracovňa
kanuu,kanoe
kaotus,porážka
kaotus,prehra
kaotus,strata
karantiin,karanténa
karikakar,karikatúra
karp,kapor
karp,kartón
karp,konzerva
karp,krabica
karp,mušľa
karp,ulita
karp,škatuľa
karu,medveď
kask,breza
kassa,kasa
kassa,pokladnica
kassa,pokladňa
kastan,gaštan
kaste,omáčka
kasulik,potrebný
kasulik,užitočný
kasulikkus,užitočnosť
kasutamine,použitie
kasutamine,používanie
kasvatus,chov
kasvatus,výchova
katastroof,katastrofa
katastroof,nešťastie
katastroof,pohroma
katki,pokazený
katki,rozbitý
katki,zničený
katoliku,katolík
kaugel,ďaleko
kauss,misa
kauss,miska
keel,jazyk
keerlema,točiť
keeruline,komplikovaný
keeruline,zložitý
keeruline,ťažký
keha,teleso
keha,telo
kehtestama,nastoliť
kehtiv,bežný
kehtiv,platný
kelder,pivnica
kemikaal,chemikália
kena,milý
kena,pekný
kergus,ľahkosť
keskealine,stredného veku
keskel,medzi
keskel,naprostriedku
keskel,uprostred
keskkool,stredná škola
keskmiselt,priemerne
keskpäev,poludnie
kestma,trvať
kett,reťaz
kibe,horký
kihutama,podnecovať
kihutama,rútiť
kiiresti,rýchlo
kiirtee,diaľnica
kile,blana
kindel,istý
kindel,presvedčený
kindlasti,isto
kindlasti,určite
kinnisvara,nehnuteľnosť
kinnisvara,reality
kino,kino
kirg,vášeň
kirjalik,písomný
kirjeldama,opisovať
kirjeldama,opísať
kirjeldama,popísať
kirjutama,napísať
kirjutama,písať
kirjutama,vypísať
kiudaine,vláknina
klausel,dodatok
klausel,klauzula
kleit,šaty
kodulinn,rodné mesto
kodumaa,domovina
kodumaa,vlasť
kodutu,bezdomovec
koer,pes
kofeiin,kofeín
kogum,súbor
kohal,nad
kohal,nado
kohal,prítomný
kohustuslik,povinný
kohutav,desivý
kohutav,príšerný
kohv,káva
kohver,kufor
kohvik,kaviareň
kohvimasin,kávovar
kokaiin,kokaín
kokk,kuchár
kokk,kuchárka
kokku,dohromady
kokku,dokopy
kokku,spolu
kokkulepe,dohoda
kokkulepe,dohovor
kokkulepe,zmluva
kokkupõrge,kolízia
kokkupõrge,konflikt
kokkupõrge,potýčka
kokkupõrge,zrážka
kokkutulek,stretávka
kolimine,presťahovanie
kolimine,sťahovanie
kolmnurkne,trojuholníkový
komisjon,komisia
kommentaar,komentár
komplekt,komplet
komplekt,súbor
komplekt,súprava
komöödia,komédia
konkurents,konkurencia
konserv,konzerva
kontrollima,kontrolovať
koolitus,vzdelanie
koolitus,školenie
koolon,kolóna
koorem,bremeno
koorem,náklad
koorem,príťaž
koorima,lúpať
koorima,obtiahnuť
koorima,okrájať
koorima,olúpať
koorima,ošúpať
koorima,šúpať
koos,pohromade
koos,s
koos,spoločne
koos,spolu
koos,vrátane
kooskõlastama,skoordinovať
koosnema,pozostávať
koosnema,skladať
koosseis,zostava
koostama,spísať
koostama,vypracovať
koostama,zostaviť
kopeerima,kopírovať
kops,pľúca
kopsud,pľúca
kopsupõletik,zápal pľúc
kordama,opakovať
kordama,zopakovať
korduv,opakovaný
koridor,chodba
koridor,koridor
koristama,oberať
koristama,pozberať
koristama,spratať
koristama,upratať
koristama,upratovať
kork,korok
kork,uzáver
kork,viečko
kork,vrchnák
kork,zátka
kork,štupeľ
korpus,korpus
korruptsioon,korupcia
korter,byt
kortermaja,bytovka
kortermaja,činžiak
kott,mech
kott,taška
kott,vrece
kraadine,stupňový
kriitika,kritika
kristlik,kresťanský
kritiseerima,kritizovať
kruvi,skrutka
kui,ak
kui,ako
kui,keby
kui,keď
kui,než
kuiv,suchý
kukkuma,dopadnúť
kukkuma,dopadnúť
kukkuma,padať
kukkuma,padať
kukkuma,padnúť
kukkuma,padnúť
kukkuma,prepadnúť
kukkuma,prepadnúť
kukkuma,spadnúť
kukkuma,spadnúť
kukkuma,zapadnúť
kukkuma,zapadnúť
kukutama,pustiť
kukutama,zvrhnúť
kulp,naberačka
kultuur,kultúra
kumm,guma
kumm,pneumatika
kunagi,kedysi
kunagi,niekedy
kuninganna,kráľovná
kuningas,kráľ
kunst,umenie
kunstnik,umelec
kurb,smutný
kuri,zlý
kuritegevus,kriminalita
kuritegevus,zločinnosť
kurv,zákruta
kus,kde
kuskil,niekde
kuskilt,odniekiaľ
kustuma,vyhasnúť
kustuma,zhasnúť
kustutama,gumovať
kustutama,hasiť
kustutama,uhasiť
kustutama,vymazať
kustutama,zhasnúť
kustutama,zmazať
kustutama,zotrieť
kustutuskumm,guma
kutsekool,učilisko
kutsekool,učilište
kuul,guľka
kuul,strela
kuuluma,patriť
kuuluma,prislúchať
kuuluma,spadať
kuupmeeter,kubík
kuussada,šesťsto
kvaliteetne,kvalitný
käelaba,dlaň
käesolev,dnešný
käesolev,súčasný
käibemaks,dph
käima,chodiť
käima,ísť
käituma,správať
kärbes,mucha
käsi,ruka
käsitöö,remeselný
käsitöö,ručná výroba
käskima,nariadiť
käskima,rozkázať
käänama,skloňovať
käärid,nožnice
kõik,všetci
kõik,všetka
kõik,všetko
kõik,všetky
kõik,všetok
kõikjalt,odvšadiaľ
kõnnitee,chodník
kõrge,vysoký
kõrgus,výška
köha,kašeľ
köhima,kašľať
köhima,zakašľať
köitma,sputnávať
köitma,spútavať
kühvel,lopatka
külaelanik,dedinčan
külaline,návšetvník
külla,návšetva
külmetama,mrznúť
külmetama,oziabať
külmik,chladnička
kümnendik,desatina
laat,jarmok
laat,trh
laat,veľtrh
labidas,lopata
labidas,rýľ
laduma,naskladať
laen,pôžička
laen,výpožička
laen,zápožička
laenama,požičať
laenama,požičať
laenama,vypožičať
laenama,vypožičať
laenama,zapožičať
laenama,zapožičať
laenutama,požičať
laenutama,vypožičať
laenutama,zapožičať
lahendus,riešenie
lahendus,tajnička
lahku,oddelene
lahku,zvlášť
laialt,dokorán
laialt,zoširoka
laialt,široko
laiendama,rozšíriť
laip,mŕtvola
lammutama,zbúrať
lammutama,zdemolovať
lammutama,zrúcať
lammutama,zvrhnúť
langema,klesať
langema,padnúť
langema,upadnúť
lapsehoidja,babysitter
lapsehoidja,babysitterka
lapsehoidja,pestúnka
lapsuke,dieťatko
laud,doska
laud,stajňa
laud,stôl
lausuma,vyriecť
leedu,litovský
lehvitama,zakývať
lehvitama,zamávať
lein,žiaľ
lell,strýko
lell,ujo
levik,distribúcia
levik,rozšírenie
levima,rozkríknuť
levima,rozšíriť
liblikas,motýľ
ligikaudu,približne
ligikaudu,zhruba
liha,mäso
lihas,sval
lihavõtted,veľká noc
liigutama,dojať
liigutama,hnúť
liigutama,pohnúť
liigutama,pohybovať
liiklus,premávka
liiklusmärk,dopravná značka
liiklusmärk,značka
liit,spojenectvo
liit,zväz
liit,únia
liitumine,anektácia
liitumine,fúzia
liitumine,pripojenie
lill,kvet
lill,kvetina
limonaad,limonáda
linn,mesto
lisama,dodať
lisama,doplniť
lisama,pridať
lisama,priložiť
lisama,pripojiť
lisavarustus,doplnky
loeng,prednáška
lohutus,útecha
loobumine,abdikácia
loobumine,vzdanie
loobumine,zrieknutie
loojuma,zapadnúť
loomaliha,hovädzie mäso
loomaliha,hovädzina
loomaliha,mäso
loomulikult,iste
loomulikult,isto
loomulikult,pochopiteľne
loomulikult,prirodzene
loomulikult,samozrejme
lootma,dúfať
lootma,spoliehať
lootma,spoľahnúť
luik,labuť
lumine,zasnežený
lunastama,odpykať
lunastama,spasiť
lusikas,lyžica
läbima,prejsť
läbirääkimine,rokovanie
läbirääkimine,vyjednávanie
läbirääkimised,rokovanie
läbirääkimised,vyjednávanie
lähedal,blízko
lähedal,blízo
lähedal,neďaleko
lähedalt,zblízka
lähedalt,úzko
lähtuma,vzísť
lävi,prah
lõbustuspark,lunapark
lõbustuspark,park
lõbustuspark,púť
lõbustuspark,zábavný park
lõpetaja,absolvent
lõppema,prestať
lõppema,pôjsť
lõppema,skončiť
lõppema,uhynúť
lõppema,ustať
lõug,brada
lõvi,lev
lööma,biť
lööma,buchnúť
lööma,buchnúť
lööma,odbiť
lööma,poraziť
lööma,priraziť
lööma,tepať
lööma,tĺcť
lööma,udrieť
lööma,vstreliť
lööma,zabuchnúť
lükkama,oddialiť
lükkama,sunúť
lükkama,tlačiť
maakond,kraj
maantee,cesta
magus,sladký
magustoit,dezert
magustoit,múčnik
magustoit,sladkosť
magustoit,zákusok
mahtuma,zmestiť
majanduslik,ekonomický
majanduslik,hospodársky
makaron,makarón
makse,platba
makse,úhrada
maksja,platca
maksja,platič
mari,bobuľa
masendus,depresia
massaaž,masáž
matkaja,cestovateľ
matkaja,hiker
matkaja,turista
matkama,turistika
matkama,túra
me,my
medal,medaila
medal,plaketa
meeldima,páčiť
meelelahutuslik,zábavný
meelitama,lichotiť
meelitama,lákať
meelitama,nalákať
meelitama,pritiahnuť
meelitama,priťahovať
meene,spomienka
meenutama,pripomenúť
meenutama,pripomenúť
meenutama,pripomínať
meenutama,pripomínať
meenutama,spomenúť
meenutama,spomenúť
meie,náš
meil,e-mail
meil,email
meil,mail
meister,majster
memm,mama
memm,mamička
memm,mamka
meremees,námorník
metslane,divoch
minevik,minulosť
minevik,minulý čas
minimalistlik,minimalistický
mitmus,množné číslo
mitmus,plurál
mitu,niekoľko
monoloog,monológ
moodne,moderný
moodne,módny
mootorratas,motocykel
mootorratas,motorka
mugavus,komfort
mugavus,pohodlie
muidu,inak
muidu,inakšie
muidu,ináč
muidu,napokon
muidugi,iste
muidugi,isto
muidugi,samozrejme
mujale,inam
mujalt,odinakiaľ
mulje,dojem
mull,bublina
mullune,vlaňajší
muna,vajce
murelik,ustaraný
muusika,hudba
muusika,muzika
muusikaline,hudobný
muusikaline,muzikálny
mälu,pamäť
mängija,hráč
mängima,hrať
mängima,odohrať
mängima,zahrať
mängima,zahrávať
mängimine,hranie
märg,mokrý
märg,zmoknutý
märkama,spozorovať
märkama,vypozorovať
märkama,všimnúť
märkama,zahliadnuť
märkama,zbadať
märts,marec
määratlema,definovať
määratlema,špecifikovať
mõiste,pojem
mõjutama,ovplyvniť
mõjutama,ovplyvňovať
mõjutama,pôsobiť
mõlemad ,oba
mõlemad ,obidva
mõnevõrra,trocha
mõnevõrra,trochu
mõnevõrra,troška
mõnevõrra,trošku
mõru,horký
mõttetult,bezúčelne
mõttetult,nezmyselne
mõttetult,zbytočne
mõõtmine,meranie
mürgitama,otráviť
müristama,burácať
müristama,hrmieť
müts,čapica
müts,čiapka
müük,predaj
nagu,ako
naine,žena
nali,vtip
naljakas,komický
naljakas,smiešny
naljakas,vtipný
natuke,málo
natuke,trocha
natuke,trochu
natuke,troška
natuke,trošku
neelama,pohltiť
neelama,zhltnúť
neiu,dievča
neiu,slečna
nelikümmend,štyridsať
neljapäev,štvrtok
neljas,štvrtý
niivõrd,natoľko
nimetus,názov
nimetus,pomenovanie
ninasarvik,nosorožec
nisu,pšenica
nisu,žito
noogutama,pokyvovať
noogutama,prikyvovať
noogutama,prikývnuť
nool,šíp
nool,šípka
noor,mladý
noormees,mladík
noormees,mládenec
nutikas,bystrý
nutma,plakať
nutt,plač
nädal,týždeň
nägema,pozrieť
nägema,vidieť
nägema,zazrieť
nägemiseni,dovidenia
nägemist,dovidenia
nägu,tvár
nähtus,jav
nähtus,úkaz
näiteks,napríklad
näitleja,herec
näitlejanna,herečka
näitus,expozícia
näitus,prehliadka
näitus,výstava
närviline,nervózny
näts,žuvačka
nõid,bosorka
nõid,striga
nõid,čarodejnica
nõrgenema,ochabovať
nõrgenema,slabnúť
nõrgenema,zoslabnúť
nõu,nádoba
nõu,nápoveda
nõu,rada
nõu,riad
nõue,nárok
nõue,požiadavka
nöör,motúz
nöör,šnúrka
nöör,špagát
nüri,tupý
objekt,objekt
ohvitser,dôstojník
oja,potok
oks,konár
oks,vetva
olema,byť
olema,existovať
olematu,neexistujúci
olevik,prítomnosť
olevik,súčasnosť
olukord,situácia
omand,vlastníctvo
onu,strýko
onu,ujo
ootamatult,neočakávane
ootamatult,nečakane
ootus,očakávanie
operatsioon,operácia
organ,orgán
organisatsioon,organizácia
orkester,orchester
osa,diel
osa,súčasť
osa,časť
osavõtja,účastník
oskama,dokázať
oskama,vedieť
oskuslik,obratný
oskuslik,šikovný
osutuma,ukázať
otseselt,priamo
otstarve,určenie
otstarve,účel
otsustama,rozhodnúť
paavst,pápež
pael,mašľa
pael,stuha
pagas,batožina
pagulane,utečenec
pahandama,hnevať
pahandama,nadávať
paigaldamine,rozvod
paigaldamine,umiestnenie
paik,miesto
paik,záplata
paistetus,opuch
paistetus,opuchlina
paistma,javiť
paistma,pripadať
paistma,svietiť
paistma,zdať
pakend,balenie
pakkuma,ponúkať
pakkuma,ponúknuť
pakkuma,poskytnúť
pakkuma,poskytovať
pangaautomaat,bankomat
pangakonto,konto
pank,banka
pann,panvica
panus,prínos
panus,príspevok
panus,stávka
paprika,paprika
parandamine,oprava
parandamine,opravovanie
parem,lepší
parem,pravý
paremalt,sprava
parkima,parkovať
parkimine,parkovanie
parkla,parkovisko
part,kačica
part,kačka
peagi,onedlho
peakokk,šéfkuchár
peal,na
peal,navrchu
peale,na
peale,navrch
peale,okrem
peale,vynímajúc
pealkiri,nadpis
pealtnäha,zrejme
pealtvaataja,divák
pealtvaataja,prizerač
peaminister,premiér
peatus,zastávka
pedaal,pedál
pehme,mäkký
pension,dôchodok
pension,penzia
perekonnanimi,priezvisko
pesa,hniezdo
pesema,omyť
pesema,prať
pesema,umyť
pesema,umývať
pesema,vyprať
petma,dostať
petma,mámiť
petma,nahovárať
petma,oklamať
petma,podviesť
petma,podvádzať
pettuma,sklamať
pidama,držať
pidama,mať
pidama,musieť
pidama,podržať
pidama,pokladať
pidama,považovať
pidama,prevádzkovať
pidama,zdržiavať
pidamine,udržiavanie
pidev,kontinuálny
pidev,nepretržitý
pidev,neustály
pidev,stály
pidev,sústavný
pidev,súvislý
pidulik,slávnostný
pidžaama,pyžamo
piinlik,nepríjemný
piinlik,trápny
piisama,postačiť
piisama,stačiť
piisama,vystačiť
pikendama,natiahnuť
pikendama,predĺžiť
pikendus,predĺženie
pikk,dlhý
pikk,vysoký
pilk,pohľad
pillimees,hudobník
piloot,pilot
pingutus,námaha
pingutus,vypätie
pintsel,štetec
pintsel,štetka
piparmünt,mäta
pisar,slza
pistma,nabodnúť
pistma,napichnúť
pistma,strčiť
pistma,vsunúť
pistma,zastrčiť
pistma,šupnúť
plaan,plán
plaaster,náplasť
plaaster,obväz
plats,miesto
plats,námestie
plats,pľac
pleier,prehrávač
poleerima,leštiť
poleerima,vyleštiť
poliitiline,politický
pood,obchod
pood,predajňa
porgand,mrkva
porgand,mrkva
ports,dávka
ports,várka
positiivne,pozitívny
praad,jedlo
praad,pečienka
praad,steak
praadima,smažiť
praadima,usmažiť
praadima,vyprážať
praadima,vysmážať
praam,prístav
praktika,praktika
praktika,prax
praktiline,praktický
pretsedent,precedens
prints,princ
privileeg,privilégium
privileeg,výsada
professor,profesor
pronks,bronz
proov,skúška
protest,protest
protseduur,procedúra
proua,pani
psühholoog,psychológ
psühholoogia,psychológia
psühholoogiline,psychologický
publik,diváci
publik,publikum
puhastamine,očista
puhastamine,čistenie
puhuma,fúkať
puhuma,pofúkať
puhuma,trúbiť
puhuma,vanúť
puhuma,viať
puhuma,zaviať
puiestee,alej
puiestee,aleja
puiestee,trieda
pulk,kolík
pulk,tyčinka
punkt,bod
punkt,bodka
punkt,stanovište
puru,bubáky
puru,peniaze
puru,prachy
purunema,prasknúť
purunema,rozbiť
purunema,rozpadnúť
puu,strom
puuk,kliešť
puur,gól
puur,klietka
puur,koterec
puuvili,ovocie
päevane,denný
päevane,každodenný
pärastlõuna,poobedie
pärastlõuna,popoludnie
päritolu,pôvod
pääsema,dostať
pääsema,vymaniť
pääsema,vyviaznuť
päästmine,zachránenie
päästmine,záchrana
pääsuke,lastovička
põgusalt,stručne
põhiline,podstatný
põhiliselt,podstatne
põhimõtteline,zásadný
põhimõtteliselt,zásadne
põhinema,spočívať
põhinema,vychádzať
põhinema,zakladať
põhinema,založený
põletik,zápal
põllumees,farmár
põllumees,poľnohospodár
põllumees,roľník
põlv,generácia
põlv,koleno
põlv,pokolenie
põnev,fascinujúci
põnev,napínavý
põnev,úchvatný
põud,sucho
pöörduma,obrátiť
pöörduma,odbočiť
pöörduma,otočiť
pöörduma,uchýliť
pöörduma,zahnúť
pöördumine,oslovenie
pööre,obrat
pööre,obrátka
pööre,otáčka
pööre,prelom
pööre,prevrat
pööre,výhybka
pööre,zvrat
pühendama,venovať
pühendama,zasvätiť
püree,pretlak
püree,pyré
püüdma,lapať
püüdma,loviť
püüdma,snažiť
püüdma,uloviť
püüdma,usilovať
raamat,kniha
raamatukogu,knižnica
raamatupood,kníhkupectvo
radiaator,radiátor
raev,hnev
raev,zloba
rahakott,peňaženka
rahaliselt,peňažne
rahaühik,mena
rahu,mier
rahu,pokoj
rahvas,národ
rahvas,ľud
rahvas,ľudia
rahvus,národnosť
rajoon,obvod
rajoon,rajón
ratastool,invalidný vozík
ratastool,vozík
ratifitseerimine,ratifikácia
raud,železo
realiseerima,realizovať
rebane,líška
rebane,prvák
referaat,referát
registratuur,podateľňa
regulaarne,pravidelný
regulaarne,regulárny
regulaarselt,pravidelne
regulaarselt,regulárne
reguleerima,regulovať
reha,hrable
reklaam,reklama
reklaamima,promovať
reklaamima,robiť reklamu
remont,oprava
remont,prestavba
remont,rekonštrukcia
retsept,recept
režissöör,režisér
rida,rad
rida,riadok
riided,oblečenie
riided,odev
riided,šatstvo
riie,plátno
riie,tkanina
riie,šaty
riivima,nastrúhať
riivima,ostrúhať
riivima,strúhať
rikas,bohatý
ringi,dokruhu
ringi,dookola
ringi,okolo
ristsõna,krížovka
rivaal,rival
rivaal,sok
rohkem,viac
rong,vlak
ronima,liezť
ronima,preliezť
ronima,šplhať
rootslane,švéd
rootslanna,švédka
ropp,chrapúnsky
ropp,neslušný
ropp,oplzlý
rott,krysa
rott,potkan
rubla,rubeľ
rumalalt,hlúpo
rämps,odpad
rätsep,krajčír
rätsep,krajčírka
rääkima,hovoriť
rääkima,porozprávať
rääkima,rozprávať
rõhk,dôraz
rõhk,prízvuk
rõhk,tlak
röster,hriankovač
röövima,okradnúť
röövima,uniesť
röövima,vykradnúť
röövima,vylúpiť
rühm,oddiel
rühm,skupina
rühm,čata
rünnak,napadnutie
rünnak,nápor
rünnak,útok
saade,program
saade,relácia
saadik,poslanec
saadik,posol
saadik,vyslanec
saag,píla
saaja,adresát
saaja,príjemca
saak,korisť
saak,úlovok
saak,úroda
saama,dostať
saama,poberať
saama,stať
saama,vyťažiť
saama,získať
saarlane,ostrovan
saarlanna,ostrovanka
saatkond,vyslanectvo
sada,sto
sadu,dážď
saepuru,piliny
sagedus,frekvencia
sagedus,početnosť
sall,šál
sama,rovnako
sama,rovnaký
sama,zhodne
sama,zhodný
sandaal,sandál
sarnane,podobný
seaduslik,legálny
seaduslik,zákonný
sealt,odtiaľ
seas,medzi
seas,uprostred
seas,v
seen,huba
seeria,séria
seevastu,hoci
seevastu,napriek
segama,miešať
segama,namiešať
segama,vyrušiť
segama,zamiešať
segama,zmiesiť
segisti,mixér
seisak,nečinnosť
seisak,zastavenie
seismine,státie
seitsekümmend,sedemdesiat
seletama,vysvetliť
selge,jasný
selge,výrazný
selge,zreteľný
selge,číry
selgitama,objasniť
selgitama,osvetliť
sellepärast,preto
seni,ešte
seni,zatiaľ
seos,spojitosť
seos,súvislosť
sidekriips,spojovník
siga,ošípaná
siga,prasa
siga,sviňa
sigaret,cigareta
siia,sem
siiani,doteraz
siiani,potiaľ
siin,tu
siis,následne
siis,potom
siis,tak
siit,odtiaľto
siit,stadeto
silm,oko
sipelgas,mravec
sirgelt,spriama
sisaldama,obsahovať
sisaldama,zahŕňať
sissepoole,dovnútra
skeem,schéma
soe,teplo
soe,teplý
soe,vrelý
sokk,cap
sokk,ponožka
sokk,srnec
solvama,uraziť
soo,močiar
soome,fínsky
sosistama,pošepkať
sosistama,šepkať
sosistama,šuškať
spinat,špenát
sponsor,sponzor
sport,šport
staadion,štadión
startima,odštartovať
startima,štartovať
streik,štrajk
stress,stres
struktuur,štruktúra
subtiiter,titulka
suhkur,cukor
suhtlemine,komunikovanie
suhtlemine,komunikácia
sukkpüksid,pančucha
sulgemine,zastavenie
sulgemine,zatvorenie
surema,umrieť
surema,zomrieť
surnuaed,cintorín
surnud,mŕtvy
suruma,natlačiť
suruma,potlačiť
suruma,stískať
suruma,tlačiť
suunduma,dať
suunduma,mieriť
suunduma,smerovať
suunduma,zamieriť
suur,početný
suur,veľký
suur,vysoký
suurenemine,vzostup
suurenemine,zväčšovanie
suusatama,lyžovať
suusk,lyža
suveniir,suvenír
säilitama,uchovať
säilitama,udržať
säilitama,udržiavať
säilitama,zachovať
säilitama,zachovávať
sõdur,vojak
sõidutee,vozovka
sõimama,sfúknuť
sõimama,vynadať
sõimama,znosiť
sõimama,zvoziť
sõnastama,sformulovať
sõprus,kamarátstvo
sõprus,priateľstvo
süda,srdce
südamlik,srdečný
sügav,hlboký
sügavkülmik,mraziareň
sügelema,svrbieť
sümbol,symbol
sündima,donútiť
sündima,nútiť
sündima,prinútiť
süstal,striekačka
süsteem,systém
süüdistus,obvinenie
süüdistus,stíhanie
süüdistus,žaloba
ta,on
ta,ona
taas,opätovne
taas,opäť
taas,zas
taas,zasa
taas,zase
taas,znova
taas,znovu
tabamus,trefa
tabamus,zásah
tagant,zozadu
taha,dozadu
tahke,pevný
tahke,tuhý
tahtmine,chcenie
tahtmine,chuť
tahtmine,túžba
takistama,brániť
takistama,zabrániť
taksojuht,taxikár
taldrik,tanier
talje,driek
talje,pás
talunik,roľník
tapmine,zabitie
tarbija,konzument
tarbija,spotrebiteľ
tarnija,dodávateľ
tarvis,potreba
tasand,level
tasand,stupeň
tasand,úroveň
tase,hladina
tase,úroveň
taskurätik,vreckovka
tasuta,zadarmo
tava,obyčaj
tavaline,bežný
tavaline,obyčajný
tavaline,zvyčajný
teadlik,uvedomelý
teadlik,vedomý
teadmatus,neinformovanosť
teadmatus,nevedomosť
teadmatus,neznalosť
teadmatus,neznámo
teadvus,vedomie
teatama,ohlásiť
teatama,oznámiť
teekond,cesta
teenindama,obsluhovať
teenindama,obslúžiť
tegelema,zaoberať
tegevusetus,nečinnosť
tegutsema,konať
tegutsema,robiť
tegutsema,vykonávať
tehas,fabrika
tehas,továreň
tehas,závod
teie,vy
teismeline,adolescent
teismeline,dospievajúci
teismeline,mladistvý
teismeline,násťročný
teismeline,teenager
teismeline,tínedžer
teistsugune,iný
teistsugune,odlišný
teksad,džínsy
teksad,nohavice
teksad,rifle
tekst,text
teler,televízia
teler,televízor
televisioon,televízia
televisioon,televízor
telk,stan
temperatuur,teplota
tempo,krok
tempo,rýchlosť
tempo,tempo
teostama,uplatňovať
teostama,uskutočňovať
tera,ostrie
tera,zrno
tera,čepeľ
teravili,obilnina
teravili,zrno
termostaat,termostat
terviklikkus,úplnosť
