cs,sk
vnitřní,vnútorný
vybrán,vybraný
vydavatele,vydavateľa
vyhrazené,vyhradené
vyhrožovat,hroziť
vyplynulo,vyplynulo
vysokému,vysokému
vystěhování,vysťahovanie
vzal,vzal
vznikala,vznikala
vzniklo,vzniklo
vzorce,vzorce
váhat,kolísať
váhat,otáľať
vápence,vápence
vápníku,vápnika
výber,výber
výhled,výhľad
výkonnost,výkonnosť
výprava,výprava
výrobek,produkt
výslechy,výsluchy
výstřel,výstrel
výzbroji,výzbroji
významnosti,významnosti
včetně,vrátane
věrný,verný
věty,vety
věřit,veriť
všechny,všetkých
všechny,všetky
všeobecná,všeobecná
zabit,zabiť
zabráněno,zabránené
zahynout,zahynúť
zakázaných,zakázaných
zamítnuto,zamietnuté
zavěšení,zavesenie
zavřené,zavreté
zařízený,zariadený
zcela,kompletne
zdolal,zdolal
zdůvodnit,zdôvodniť
zlatou,zlatou
zlepšení,zlepšení
značkové,značkové
znovuzvolení,znovuzvolenie
zpoždění,oneskorenie
zpívat,spievať
zrušila,zrušila
ztráta,strata
zvýšením,zvýšením
zákazníci,zákazníci
zámek,zámok
zárukou,zárukou
zásobníky,zásobníky
zúčastnil,zúčastnil
zúžení,zúženie
úctou,úctou
úhradu,úhradu
úmrtí,smrť
úmyslně,zámerne
úrovní,úrovní
úseku,úseku
ústava,ústava
útvary,útvary
čelí,čelia
čerpadla,čerpadla
českým,českým
či,či
činy,činy
čtvrtek,štvrtok
čtyři,štyria
čtyři,štyri
řidič,šofér
říjen,október
říkat,nazývať
šedá,sivá
štola,štôlňa
žízeň,smäd
