cs,sk
dostatečné,dostatočné
dostupnost,dostupnosť
dostávat,dostávať
dotaz,otázka
dovednost,zručnosť
dovolená,dovolenka
dovolit,dovoliť
dovolání,dovolanie
dovést,doviesť
dovést,priviesť
dozvědět,dozvedieť
dočasně,dočasne
dočkat,dočkať
drobek,omrvinka
drůbež,hydina
držet,držať
držitel,držiteľ
držák,držiak
duben,apríl
dvacet,dvadsať
dvanáct,dvanásť
dveře,dvere
dvorek,dvor
dvě,dva
dvě,dve
dál,ďalej
dále,navyše
dále,ďalej
dálkový,diaľkový
dárky,darčeky
dát,dať
dávat,dávať
dávný,starodávny
dávný,dávny
délka,dĺžka
déšť,dážď
dík,vďaka
dík,ďakujem
díky,diki
díky,diky
díky,vďaka
díky,dik
díky,ďakujem
dílčích,čiastkových
dítě,dieťa
děda,deda
děkovat,ďakovať
dělat,pracovať
dělat,robiť
dřeně,dreni
dřevo,drevo
dřív,skôr
dříve,predtým
dříve,skoršie
dříve,skôr
důchodce,dôchodca
důchodu,dôchodku
důležitý,dôležitý
důležitý,podstatný
důrazně,dôrazne
důsledek,dôsledok
důvěrný,dôverný
džungle,džungľa
edice,edícia
edice,rad
efekt,vplyv
efektivní,účinné
efektivní,efektívne
efektivně,efektívne
ekonom,ekonóm
ekzém,ekzém
elegantní,elegantný
elektrické,elektrické
elektro,elektro
elektronické,elektronické
elektroniku,elektroniku
elektřina,elektrina
element,element
eliminovat,odstrániť
eliminovat,eliminovať
emise,emisie
endokrinologie,endokrinológia
energetika,energetika
engine,engine
entity,entity
enzym,enzým
enzymy,enzýmy
ergonomicky,ergonomicky
erotické,erotické
erotických,erotických
esejista,esejista
eshopu,eshopu
etapy,etapy
etika,etika
etnické,etnické
evangelium,evanjelium
evidentně,evidentne
evidentně,očividne
evidentně,zjavne
evropská,európska
evropské,európskej
evropy,európy
exekuci,exekúciu
existovalo,existovalo
existovat,existovať
exkurze,exkurzia
exotických,exotických
expedice,expedícia
experimentu,experimentu
exponáty,exponáty
expozice,expozícia
externí,externý
externí,vonkajšia
externí,vonkajší
externí,externé
extraliga,extraliga
facebook,facebook
facto,facto
fakulty,fakulty
fandit,fandiť
fantastické,fantastické
fantazie,fantázia
farma,farma
farmy,farmy
farnost,farnosť
fauny,fauny
feat,feat
federace,federácia
fenomenální,fenomenálny
festivalu,festivalu
filosofie,filozofia
finance,financie
financování,financovanie
finanční,finančný
finančně,finančne
firmy,firmy
fluoru,fluóru
flétna,flauta
folie,fólia
fondu,fondu
formulář,formulár
formy,formy
formátování,formátovanie
fotbal,futbal
fotka,fotka
foto,foto
fotografka,fotografka
frontman,frontman
frází,fráz
function,function
fungoval,fungoval
fungovalo,fungovalo
fungovat,fungovať
funguje,funguje
funkce,funkcia
funkční,funkčné
fyziky,fyziky
fáze,fáza
galaxii,galaxii
grafická,grafická
grafických,grafických
grafiky,grafiky
grant,grant
granát,granát
granáty,granáty
gril,gril
gumové,gumové
gumy,gumy
gólu,gólu
havárie,havária
hejno,kŕdeľ
herna,herňa
hezky,pekne
hezký,pekný
hibernace,hibernácia
historie,dejiny
historie,história
historie,histórie
hlasování,hlasovanie
hlavní,hlavný
hledat,hľadať
hlemýžď,slimák
hloubka,hĺbka
hloupý,hlúpy
hlášení,hlásenie
hnědá,hnedá
hnědý,hnedý
hoden,hodný
hodinek,hodiniek
hodnocení,hodnotenie
holka,dievča
holčička,dievčatko
honit,naháňať
honit,prenasledovať
honorář,honorár
horké,horúce
horký,horúci
hormonální,hormonálny
hormonální,hormonálne
hospitalizaci,hospitalizáciu
hospoda,krčma
hospodářský,hospodársky
hospodářství,hospodárstvo
host,hosť
hostitel,hostiteľ
houba,huba
hovořit,hovoriť
hořec,horec
hořký,horký
hrabě,gróf
hravě,hravo
hrnek,šálka
hrnek,hrnček
hrála,hrala
hrát,hrať
hubený,chudý
hudební,hudobný
humanitární,humanitárny
hvězda,hviezda
házet,hádzať
hřbitov,cintorín
hřebík,klinec
hřiště,ihrisko
i,aj
identifikace,identifikácia
ideologie,ideológia
ideální,ideálny
ignorovat,ignorovať
ihned,okamžite
ihned,ihneď
ihned,hneď
ilustrace,ilustrácia
impregnace,impregnácia
imunitní,imunitný
incidence,incidencia
individuální,individuálny
inerciální,inerciálne
informace,informácie
informace,info
informace,informácia
informační,informačný
informovanost,informovanosť
informovat,informovať
iniciativa,iniciatíva
iniciátorem,iniciátorom
inovace,inovácia
inovativní,inovatívny
inspekce,inšpekcia
instituce,inštitúcia
instruktora,inštruktora
intelektuální,intelektuálne
inteligence,inteligencia
interní,interný
intimní,intímny
investice,investícia
inzerce,reklama
islám,islam
itálie,taliansko
izolace,izolácia
jak,ako
jakbysmet,taktiež
jako,ako
jakékoliv,akýchkoľvek
jaký,aký
jakýkoliv,akýkoľvek
jakýsi,akýsi
jarní,jarný
jaro,jar
jedině,jedine
jednat,jednať
jednoduše,jednoducho
jednohlasně,jednohlasne
jednou,raz
jednou,jedenkrát
jednou,kedysi
jejich,ich
její,jej
jemnost,jemnosť
jen,jedine
jen,len
jen,iba
jenž,ktorý
jenže,lenže
jenže,ibaže
jeruzalém,jeruzalem
jeskyně,jaskyňa
jestliže,ak
jev,jav
jeviště,javisko
jezdí,jazdí
jezero,jazero
jezírko,jazierko
jeřáb,žeriav
jih,juh
jihovýchodní,juhovýchodný
jinde,inde
jiné,iné
jiní,ostatný
jiný,iný
jist,istý
jistota,istota
jisté,istí
jistý,istý
jizva,jazvu
již,už
jižní,južný
jmenovat,menovať
jmenovat,volať
jmenovat,ustanoviť
jmenovat,vymenovať
jmenovité,menovité
jmenovitý,menovitý
jmenování,vymenovanie
jméno,meno
jméno,názov
jsou,sú
junioři,juniori
jádro,jadro
játra,pečeň
jícnu,pažeráka
jídelna,jedáleň
jídelní,jedálenský
jít,ísť
jízda,jazda
jízdné,cestovné
kabel,kábel
kabely,káble
kabina,kabína
kalhoty,nohavice
kamarád,kamarát
kamarádit,kamarátiť
kamarádka,kamarátka
kamna,kachle
kamna,pec
kancelář,kancelária
kandidátů,uchádzačov
kandidátů,kandidátov
kanonizace,kanonizácia
kaple,kaplnka
kapsle,kapsuly
kapusta,kel
kapustin,kapustín
karla,karola
karlovci,karolovci
karlovo,karolovo
karoserie,karoséria
kartáč,kefa
kategorie,kategória
kategorizovat,kategorizovať
katolický,katolícky
kavkazu,kaukazu
kdy,kedy
kdysi,kedysi
když,keď
kedlubna,kaleráb
klesat,klesať
klesnout,klesnúť
klid,vyrovnanosť
klid,pokojnosť
klid,pokoj
kliknutí,kliknutie
klobouk,klobúk
klobouček,klobúčik
klokan,kengura
kloub,kĺb
kluk,chlapec
klást,klásť
klíč,kľúč
klíčový,kľúčový
klíště,kliešť
knihkupectví,kníhkupectvo
knihovna,knižnica
knížky,knižky
kněz,kňaz
kobliha,šiška
kojenců,dojčiat
kolem,dookola
kolem,okolo
kolikrát,koľkokrát
kolo,bicykel
kolo,kruh
kolo,koleso
kolík,štipec
kombinovat,kombinovať
komentovat,komentovať
komise,komisia
komorní,komorný
kompatibilní,kompatibilný
kompenzovat,kompenzovať
kompletně,úplne
komunikace,komunikácia
komunismus,komunizmus
konference,konferencia
konkrétní,konkrétny
konkurence,konkurencia
konopí,konope
konstantní,konštantný
konstrukce,konštrukcia
konstruktérem,konštruktérom
kontaktovat,kontaktovať
kontaminaci,kontamináciu
konvenční,konvenčný
končetin,končatín
kopců,kopcov
kopie,kópia
korupce,korupcia
kostel,kostol
kostela,kostola
kostka,kocka
kotouče,kotúče
koukat,pozerať
koupaliště,kúpalisko
koupelna,kúpeľňa
koupit,kúpiť
kousky,kúsky
kout,kút
kouř,dym
kouřit,fajčiť
kouřit,čmudiť
kouřit,dymiť
kouřit,čadiť
kouřit,kadiť
kočka,mačka
kočár,kočiar
kočárek,kočiarik
koření,korenie
košile,košeľa
kožešiny,kožušín
krajinná,krajinná
krajka,čipka
krajní,extrémny
krajní,krajný
krajský,krajský
kras,kras
kratších,kratších
kraťasy,kraťasy
krejčí,krajčír
kreslení,kreslenie
krev,krv
kritizoval,kritizoval
kromě,okrem
kronika,kronika
kroužek,krúžok
krycím,krycím
krystal,kryštál
kryt,kryt
krytí,krytie
krytý,zakrytý
král,kráľ
královna,kráľovná
královský,kráľovský
království,kráľovstvo
krásnou,krásnou
krásný,krásny
krásně,krásne
krátkodobý,krátkodobý
krátký,krátky
krýt,kryť
krůta,morka
kterou,ktorú
která,ktorá
které,ktoré
který,ktorý
kuchyně,kuchyňa
kuchyň,kuchyňa
kult,kult
kultur,kultúr
kultura,kultúra
kulturní,kultúrny
kupovali,kupovali
kupředu,dopredu
kupříkladu,napríklad
kusy,kúsky
kuřecí,kurací
kuřácký,fajčiarsky
kvalifikace,kvalifikácia
kvalifikační,kvalifikačný
kvalitu,kvalitu
květen,máj
květina,kvetina
květiny,kvetiny
května,mája
kyselina,kyselina
kytara,gitara
kávy,kávy
kódu,kódu
kýbl,vedro
křeslo,kreslo
křesťan,kresťan
křivdy,krivdy
křivdy,nespravodlivosti
křižovatka,križovatka
křídlo,krídlo
kříž,kríž
kůň,kôň
labilní,labilný
lady,lady
lak,lak
lana,laná
lana,lana
laser,laser
lavičky,lavičky
leda,iba
ledaže,ak
leden,január
lednice,chladnička
ledvina,oblička
legrace,sranda
legální,legálny
lekce,lekcia
len,len
les,les
lesklé,lesklé
let,rokov
letadlo,lietadlo
letec,letec
letoun,lietadlo
letový,letový
letošní,tohoročný
letošní,tohtoročný
lev,lev
levný,lacný
levný,lacné
levněji,lacnejšie
levý,ľavý
lhát,klamať
licence,licencia
lidský,ľudský
lidí,ľudí
ligy,ligy
lilie,ľalie
lingvisté,lingvisti
linie,línia
linka,linka
linkami,linkami
listiny,listiny
listopad,november
listí,listov
literatura,literatúra
lití,liatie
loděnice,lodenica
lokalita,lokalita
lokální,lokálny
loupež,lúpež
loupež,prepad
loučení,rozlúčenie
loučení,lúčenie
lovit,loviť
loňský,vlaňajší
lučištníci,lukostrelci
luštěnina,strukovina
lyžařský,lyžiarsky
láhev,fľaša
lásku,lásku
lékař,lekár
lékaře,lekára
lékárna,lekáreň
létal,lietal
léto,leto
léčba,liečba
léčit,liečiť
líbat,bozkávať
líbit,páčiť
lídr,líder
lídra,lídra
límec,golier
lístek,lístok
mafie,mafia
magazínu,magazínu
magie,mágia
magnet,magnet
magnetickým,magnetickým
majetek,majetok
majetku,majetku
majitel,majiteľ
majora,majora
malej,malej
maloobchod,maloobchod
malování,maľovanie
malým,malým
maminka,mamka
manažer,manažér
manažeři,manažéri
mandle,mandle
manuál,manuál
manévrování,manévrovanie
manžel,manžel
manželku,manželku
manželů,manželov
manžety,manžety
mapu,mapu
mapě,mape
maska,maska
masky,masky
maso,mäso
mastné,mastné
mastných,mastných
masážní,masážny
mater,mater
mateřské,materské
mateřský,materský
mateřství,materstvo
matku,matku
matrace,matrace
matriky,matriky
maturitou,maturitou
maximální,maximálny
mazací,mazacie
mechanicky,mechanicky
mechanického,mechanického
mechanický,mechanický
mechanismus,mechanizmus
media,media
medu,medu
medvědi,medvede
membrána,membrána
meruňka,marhuľa
metabolismus,metabolizmus
metodu,metódu
metoděje,metoda
metr,meter
metropol,metropola
metrů,metrov
mezi,medzi
mezinárodní,medzinárodný
mezinárodní,medzinárodné
mešity,mešity
mikrometrů,mikrometrov
milion,milión
milosrdenství,milosrdenstvo
milosrdenství,zľutovanie
milost,milosť
milosti,milosti
miloval,miloval
milovník,milovník
milé,milé
mimořádně,mimoriadne
minerál,minerál
minimalizace,minimalizácia
minimální,minimálny
ministr,minister
minotaur,minotaurus
minulost,minulosť
mise,misia
misie,misie
misky,misky
mistrovství,majstrovstvá
mixér,mixér
mladistvých,mladistvých
mladou,mladou
mladík,mladík
mladý,mladý
mleté,mleté
mlha,hmla
mlsný,maškrtný
mluvit,rozprávať
mléčná,mliečna
mléčné,mliečne
mnoha,mnohé
mnohem,oveľa
mnohem,omnoho
mnoho,mnoho
mnohým,mnohým
množství,množstvá
množství,čiastka
množství,množstva
množství,množstvo
mobilní,mobilný
mocnosti,mocnosti
mocný,mocný
mocných,mocných
moct,môcť
moct,smieť
mode,mode
modelu,modelu
moderní,moderný
modlitba,modlitba
modrat,modrať
modrý,modrý
mohou,môžu
mohutná,mohutná
mohutný,mohutný
moj,moj
mokré,mokré
momentu,momentu
monarchie,monarchie
monstrum,monštrum
monstrum,príšera
montáže,montáže
mor,mor
more,more
morálka,morálka
most,most
motiv,motív
motivovat,motivovať
motivuje,motivuje
motorového,motorového
moudrost,múdrosť
moudrý,múdry
mouka,múka
mozaiky,mozaiky
mozek,mozog
mozkový,mozgový
močového,močového
moře,more
mořský,morský
možnost,možnosť
možností,možností
možná,možná
možných,možných
mrazy,mrazy
mrcha,mrcha
mrkev,mrkva
museli,museli
muset,musieť
myslet,myslieť
myši,myši
myšlenka,myšlienka
myšleno,myslené
myšlení,myslenie
máj,máj
máje,mája
máma,mama
máslo,maslo
méďa,maco
míchat,miesiť
míchat,miešať
míchat,premiešavať
míchání,miešanie
mísa,misa
míst,miest
místnost,miestnosť
místní,miestne
místní,lokálna
místní,lokálne
místní,miestny
místní,miestna
místní,lokálny
místní,miestni
místo,lokalita
místo,poloha
místo,miesto
mít,považovať
mít,pokladať
mít,mať
míč,lopta
mýty,mýty
měkké,mäkký
měl,mal
měla,mala
měnit,meniť
měnový,menový
města,mestá
městečko,mesto
město,mesto
měsíc,mesiac
měsíční,mesačne
měřeno,merané
můj,môj
můstek,mostík
může,môže
nabídka,ponuka
nabízených,ponúknutých
nabízet,ponúkať
nach,nach
nadcházející,nadchádzajúci
nadcházející,nastávajúci
nadcházející,blížiaci
nadlidskou,nadľudskou
nadměrný,nadmerný
nadnárodní,nadnárodný
nadstandardní,nadštandardný
naděje,nádej
nahoru,hore
nahoru,nahor
nahrané,nahrané
nahrané,zaznamenané
nahrazovat,nahrádzať
nahrazuje,nahrádza
nahrávání,nahrávanie
nainstalovat,nainštalovať
nainstalován,nainštalovaný
najdete,najdete
najlepšie,najlepšie
najít,nájsť
nakládání,nakladanie
nakolik,nakoľko
nakonec,nakoniec
nakonec,napokon
nakreslit,nakresliť
nalezena,nájdená
nalézat,nachádzať
namísto,namiesto
namísto,miesto
napadli,napadli
napadnout,napadnúť
napadá,napadá
naplnit,naplniť
naplnit,vyplniť
naplní,naplní
naplněn,naplnený
naprostý,úplný
naprostý,bezvýhradný
naprostý,jednoznačný
naprostý,totálny
naprostý,vyložený
napsali,napísali
napsat,napísať
napíše,napíše
napětí,napätie
narazí,narazí
narozen,narodený
narozeniny,narodeniny
narození,narodenie
narychlo,narýchlo
nasadila,nasadila
naslouchat,počúvať
naslouchat,načúvať
nastaven,nastavený
nastupuje,nastupuje
natrvalo,natrvalo
naučil,naučil
naučili,naučili
naučit,naučiť
navazující,nadväzujúci
navenek,navonok
navigace,navigácia
navrhli,navrhli
navrhovaných,navrhovaných
navrhovat,navrhovať
navržený,navrhnutý
navíc,navyše
navýšení,zväčšenie
navýšení,navýšenie
navýšení,zvýšenie
navštívila,navštívila
navštívit,navštíviť
navštěvovat,navštevovať
nazýval,nazýval
nazývaná,nazývaná
nazývaný,nazývaný
nazývat,volať
nazývat,nazývať
nazývat,hovoriť
nařídit,nastaviť
nařídit,nariadiť
našli,našli
nebaví,nebaví
nebe,nebo
nebeská,nebeské
nebezpečný,nebezpečný
nebojte,nebojte
neboli,neboli
neboť,lebo
nebude,nebude
nebudeš,nebudeš
necelých,necelých
nech,nech
nechat,nechať
nechat,ponechať
necky,koryto
nedostatek,nedostatok
nedostatečně,nedostatočne
nedávné,nedávne
neděle,nedeľa
nejdřív,najskôr
nejlepší,najlepšia
nejlepší,najlepší
nejnovější,najnovší
nejspíš,najskorej
nejspíš,najskôr
nejvyšší,najvyšší
nejvyšší,najvyššia
největší,najväčšie
největší,najväčšia
největší,najväčší
nemluvně,nemluvňa
nemoci,choroby
nenávidím,nenávidím
nenávidět,nenávidieť
nepřiměřené,neprimerané
nepřímé,nepriame
nepřítel,nepriateľ
neschopnost,neschopnosť
nespočetně,neúrekom
neutrální,neutrálny
neuvěřitelný,neskutočný
neuvěřitelný,neuveriteľný
nevěrný,neverný
nezletilých,neplnoletých
neznat,nepoznať
neštovice,kiahne
nikdo,nikto
nikoli,nie
nit,vlákno
nit,niť
normální,normálny
normálně,normalne
nosit,nosiť
nosiče,nosičov
nosorožci,nosorožce
nosítka,nosidlá
novinář,novinár
nucen,nútený
nudit,nudiť
nutit,nútiť
nutit,vnucovať
nyní,teraz
nynější,terajší
nábytek,nábytok
nádobí,riad
nádvoří,nádvorie
nájemce,nájomca
náležitě,náležite
národnost,národnosť
národní,národný
nárokovat,nárokovať
nárůst,nárast
násilí,násilie
následně,následne
následující,nasledujúci
násobek,násobok
nástupce,nástupca
nátěr,náter
návštěv,návštev
návštěvník,návštevník
název,názov
nést,niesť
nést,vanúť
nést,prinášať
nést,vznášať
něco,čosi
něco,niečo
nějaký,nejaký
někam,niekam
někdo,niekto
někdy,dakedy
někdy,niekedy
někdy,občas
několik,niekoľko
několika,niekoľko
některé,niektoré
některý,niektorý
německy,nemecky
německá,nemecká
něčí,niečia
obchodování,obchodovanie
obdivovat,obdivovať
období,obdobie
období,lehota
období,doba
období,obdobia
obdržel,obdržal
obilí,obilie
objektiv,objektív
objektivní,objektívny
objev,objav
objevit,vynoriť
objevit,objaviť
obklíčeni,obkľúčení
oblast,oblasť
oblečení,oblečenie
oblečení,šaty
obličej,tvár
obnovit,obnoviť
obočí,obočie
obr,obor
obránci,obhajcovia
obránci,obranci
obrátit,obrátiť
obsahující,obsahujúci
obtížná,náročná
obtížích,ťažkostiach
obviněn,obvinený
obvinění,obvinenie
obvinění,obvinení
obvykle,bežne
obvykle,spravidla
obvykle,zvyčajne
obvykle,všeobecne
obvyklý,zvyčajný
obvyklý,bežný
obyvatel,obyvateľ
obyvatel,obyvateľov
obyčejný,obyčajný
obývák,obývačka
občan,občan
občanský,občiansky
občerstvení,občerstvenie
obětní,obetný
oběť,obeť
ocas,chvost
ocasy,chvosty
ocel,oceľ
ocenit,oceniť
ochránit,ochrániť
odborně,odborne
odběr,odber
odcházet,odchádzať
oddanost,oddanosť
oddíl,oddiel
odděleny,rozdelené
oddělení,oddelenie
odehrát,odohrať
odejít,odísť
odeslání,odoslanie
odečíst,odpočítať
odečísť,odčítať
odhalena,odhalená
odhalení,odhalenie
odhalit,odhaliť
odjet,odísť
odkazovat,odkazovať
odmítnout,odmietnuť
odmítnout,zamietnuť
odměna,odmena
odměnu,odmenu
odměny,odmeny
odnést,odniesť
odolat,odolať
odplata,odveta
odpoledne,popoludní
odpoledne,poobede
odpovědi,odpovede
odpovědět,odpovedať
odpověď,odpoveď
odpočinek,odpočinok
odpočinout,odpočinúť
odpustit,odpustiť
odpůrce,odporca
odrážejí,odrážajú
odrůda,odroda
odsouzena,odsúdená
odstartovat,odštartovať
odstavce,odseky
odstraněn,odstránený
odstraněno,odstránené
odstranění,odstránenie
odtud,odtiaľ
odvolání,odvolanie
odvíjet,odvíjať
odůvodněné,odôvodnené
oficiální,oficiálny
okolí,okolia
okolí,okolie
okr,oker
okresní,okresný
olivie,olivia
omezen,obmedzený
omezení,obmedzenia
omezený,obmedzený
omezuje,obmedzuje
omlouvat,ospravedlňovať
omluvil,ospravedlnil
onemocnění,ochorenie
onemocněť,ochorieť
opatření,opatrenia
opatření,opatrenie
oprávněn,oprávnený
optimalizace,optimalizácia
optimální,optimálny
opylovače,opeľovače
opět,zase
opět,znova
opět,zas
opět,opäť
opět,zasa
opět,znovu
orientace,orientácia
originální,originálny
osazený,osadený
oslavit,osláviť
oslovit,osloviť
osobní,osobný
osolit,osoliť
ostrovní,ostrovný
ostrovy,ostrovy
ostuda,hanba
osvobozena,oslobodená
osvícení,osvietenie
osídlení,osídlenie
otevřen,otvorený
otevřeno,otvorené
otevřená,otvorená
otevření,otvorenie
otevřený,otvorený
otevřeně,otvorene
otevřít,otvoriť
otisky,odtlačky
otočit,otočiť
ovladač,ovládač
ovladač,diaľkové
ovlivnit,ovplyvniť
ovlivněn,ovplyvnený
ovlivňuje,ovplyvňuje
ověřit,overiť
ovšem,samozrejme
ovšem,isto
ovšem,iste
označeno,označené
označení,značenie
označení,označenia
označení,označenie
označovat,označovať
očekávané,očakávané
očekávat,očakávať
očištění,očistenie
oční,očný
ošetření,ošetrenie
ošetřit,ošetriť
oživit,oživiť
padající,padajúci
padesát,päťdesiat
padnout,spadnúť
padnout,pripadnúť
padnout,sadnúť
padnout,padnúť
pak,potom
pampeliška,púpava
paměť,pamäť
panovat,panovať
papír,papier
parní,parný
pasiva,pasíva
pasivní,pasívny
past,pasca
patnáct,pätnásť
patnáctý,pätnásty
patrný,zreteľný
patrný,znateľný
patrný,viditeľný
patrný,zrejmý
patrný,citeľný
patrný,postrehnuteľný
patro,poschodie
patřil,patril
patřila,patrila
patřit,patriť
patří,patrí
pařez,peň
paže,ramená
paže,ruky
pecka,kôstka
penzijní,penzijný
penzion,penzión
peněženka,peňaženka
peněžní,peňažný
perfektní,perfektný
pevnost,opevnenie
pevnost,pevnosť
pilotní,pilotný
pivnice,piváreň
placená,platená
placené,platené
planeta,planéta
plat,mzda
platební,platobný
platnost,platnosť
platící,platiaci
plavání,plávanie
plete,pletie
pletení,pletenie
plně,plne
plněný,plnený
plánovat,plánovať
plánů,plánov
plátek,plátok
plíce,pľúca
plíseň,pleseň
plýtvání,plytvanie
pochlubit,pochváliť
pochopit,pochopiť
pochopit,porozumieť
pochybovat,pochybovať
pocházet,pochádzať
podepsat,podpísať
podezřelá,podozrivá
podezřelý,podozrivý
podezření,podozrenie
podivný,čudný
podivný,zvláštny
podivný,výstredný
podmínka,podmienka
podmínky,podmienky
podnikatel,podnikateľ
podpořit,podporiť
podzemí,podzemie
podzim,jeseň
podíl,podiel
podílet,podieľať
podívat,poohliadnuť
podívat,preskúmať
podívat,pozrieť
podívat,preveriť
poezie,poézia
poezii,poéziu
pohlaví,pohlavie
pohodlí,pohodlie
pohromadě,pohromade
pohybovat,pohybovať
pohádka,rozprávka
pojetí,poňatie
pokladna,pokladnica
pokladna,pokladňa
pokoj,izba
pokoji,izbe
pokoušet,pokúšať
pokusit,pokúsiť
pokusit,skúsiť
polibek,bozk
policie,polícia
poloostrově,polostrove
polovina,polovica
polévka,polievka
polévky,polievky
polštář,vankúš
pomoct,pomôcť
pomohly,pomohli
pomůcka,pomôcka
pondělí,pondelok
poplatek,poplatok
popsat,popísať
popsat,opísať
poptávka,dopyt
populace,populácia
populární,populárny
popřípadě,poprípade
poradců,poradcov
poradit,poradiť
porodní,pôrodný
porovnání,porovnanie
porušení,porušovanie
porušení,porušenie
poselství,posolstvo
poseltství,posolstvá
posilovat,posilňovať
posilovat,posilniť
posilování,posilovania
poskytnout,udeliť
poskytnout,poskytnúť
poskytovat,poskytovať
poslat,poslať
poslední,posledný
poslání,poslanie
posouvat,posúvať
postaven,postavený
postavení,postavenie
postel,posteľ
postupně,postupne
postupovat,postupovať
postřeh,postreh
posílat,posielať
potažené,potiahnuté
potkat,postihnúť
potkat,stretnúť
potomci,potomkovia
potomků,potomkov
potrestání,potrestanie
poté,po
potěšení,potešenie
potřeba,potreba
potřeboval,potreboval
potřebovat,potrebovať
poukázky,poukážky
pouzdro,púzdro
pouze,ibaže
pouze,len
pouze,iba
pouze,jedine
používat,používať
používání,používanie
povedený,podarený
povinnost,povinnosť
povinná,povinná
povinný,povinné
povlečení,povlaky
povlečení,obliečky
povolen,povolený
povolení,povolenie
povolení,oprávnenia
povzbudit,povzdbudiť
povídat,hovoriť
povídat,vravieť
povídat,rozprávať
povídka,poviedka
povědomí,povedomie
pozdní,neskorý
pozdní,oneskorený
pozdě,neskoro
později,neskôr
pozemky,pôda
pozice,pozícia
pozitivní,pozitívny
pozitivně,kladne
pozitivně,pozitívne
pozměnit,upraviť
poznatek,znalosť
poznatek,poznatok
poznávání,poznávanie
pozorování,pozorovanie
pozvat,pozvať
počítat,počítať
pořad,program
pořád,stále
pořádek,poriadok
pořádný,poriadny
pořídit,zaobstarať
pořídit,obstarať
pořídit,nadobudnúť
pořídit,dodať
pořídit,získať
požadavek,požiadavka
požitek,pôžitok
požární,požiarny
pracovat,pracovať
pracovat,robiť
pracoviště,pracovisko
prase,ošípaná
prase,sviňa
prase,prasa
pravděpodobnost,pravdepodobnosť
pravděpodobně,pravdepodobne
prdel,riť
prdel,zadoček
preference,preferencie
preference,preferencia
prevence,prevencia
preventivně,preventívne
prezentace,prezentácia
prezentovat,prezentovať
princezna,princezná
principy,princípy
privátní,súkromná
privátní,privátna
pro,pre
probudit,prebrať
probudit,prebudiť
probudit,zobudiť
probíhat,prebiehať
probíhá,prebieha
proběhnout,prebehnúť
procento,percento
procházet,prechádzať
procházka,prechádzka
prodat,predať
produkce,produkcia
produkovat,produkovať
prodávající,predávajúci
profese,profesia
profesionální,profesionálny
profesní,profesný
prohlídka,prehliadka
prohlížeč,prehliadač
prohra,prehra
projednat,prediskutovať
projev,prejav
projev,reč
projev,príhovor
projevit,vzdať
projevit,prejaviť
projevit,preukázať
prokletá,prekliata
prokládané,prekladané
prokázal,dokázal
prokázat,preukázať
prokázat,dokázať
prominentní,prominentný
propagace,propagácia
prosadit,presadiť
prosadit,schváliť
prosadit,zrealizovať
