cs,sk
fotka,fotka
fotografka,fotografka
frází,fráz
funguje,funguje
fyziky,fyziky
fáze,fáza
galaxii,galaxii
grafická,grafická
grant,grant
granáty,granáty
gumové,gumové
hejno,kŕdeľ
hezky,pekne
hezký,pekný
hledat,hľadať
hlemýžď,slimák
hlášení,hlásenie
hnědý,hnedý
hoden,hodný
honorář,honorár
hormonální,hormonálne
hormonální,hormonálny
hospitalizaci,hospitalizáciu
hospodářský,hospodársky
hospodářství,hospodárstvo
host,hosť
hostitel,hostiteľ
hovořit,hovoriť
hořec,horec
hrabě,gróf
hravě,hravo
hrát,hrať
hubený,chudý
humanitární,humanitárny
házet,hádzať
hřbitov,cintorín
hřebík,klinec
hřiště,ihrisko
ideální,ideálny
individuální,individuálny
inerciální,inerciálne
informační,informačný
informovat,informovať
iniciátorem,iniciátorom
inovativní,inovatívny
intelektuální,intelektuálne
islám,islam
itálie,taliansko
izolace,izolácia
jak,ako
jakbysmet,taktiež
jako,ako
jakýsi,akýsi
jarní,jarný
jaro,jar
jedině,jedine
jednohlasně,jednohlasne
jednou,kedysi
jednou,jedenkrát
jejich,ich
její,jej
jen,iba
jen,len
jenž,ktorý
jenže,ibaže
jenže,lenže
jeruzalém,jeruzalem
jezdí,jazdí
jinde,inde
jiné,iné
jiní,ostatný
jiný,iný
jist,istý
jisté,istí
jizva,jazvu
již,už
jmenovat,vymenovať
jmenovitý,menovitý
jméno,názov
jméno,meno
junioři,juniori
jádro,jadro
játra,pečeň
jídelna,jedáleň
jít,ísť
jízda,jazda
kabely,káble
kabina,kabína
kamarád,kamarát
kamarádit,kamarátiť
kamna,pec
kancelář,kancelária
kandidátů,uchádzačov
kanonizace,kanonizácia
kaple,kaplnka
kapsle,kapsuly
kapusta,kel
kapustin,kapustín
karla,karola
kartáč,kefa
kategorie,kategória
kategorizovat,kategorizovať
katolický,katolícky
kdysi,kedysi
když,keď
klesat,klesať
klesnout,klesnúť
klid,pokoj
klid,vyrovnanosť
kliknutí,kliknutie
klobouk,klobúk
klokan,kengura
kloub,kĺb
kluk,chlapec
klíč,kľúč
klíčový,kľúčový
kněz,kňaz
kojenců,dojčiat
kolem,dookola
kolikrát,koľkokrát
kolo,koleso
kolík,štipec
komentovat,komentovať
komise,komisia
kompenzovat,kompenzovať
komunismus,komunizmus
konference,konferencia
konkrétní,konkrétny
kontaminaci,kontamináciu
konvenční,konvenčný
končetin,končatín
kopců,kopcov
kostka,kocka
koukat,pozerať
koupelna,kúpeľňa
koupit,kúpiť
kout,kút
kouř,dym
kouřit,čmudiť
kouřit,dymiť
kočár,kočiar
koření,korenie
košile,košeľa
kožešiny,kožušín
krajinná,krajinná
krajka,čipka
krajní,extrémny
krajský,krajský
kras,kras
kratších,kratších
krejčí,krajčír
kritizoval,kritizoval
kroužek,krúžok
krycím,krycím
kryt,kryt
královna,kráľovná
krásnou,krásnou
krátký,krátky
krůta,morka
která,ktorá
které,ktoré
kuchyň,kuchyňa
kult,kult
kultura,kultúra
kulturní,kultúrny
kupříkladu,napríklad
kusy,kúsky
kvalifikační,kvalifikačný
kvalitu,kvalitu
květen,máj
květina,kvetina
květiny,kvetiny
května,mája
kyselina,kyselina
kýbl,vedro
křeslo,kreslo
křídlo,krídlo
kříž,kríž
lak,lak
lavičky,lavičky
ledaže,ak
leden,január
lednice,chladnička
legální,legálny
letoun,lietadlo
letový,letový
letošní,tohtoročný
lev,lev
levný,lacné
levný,lacný
levý,ľavý
lhát,klamať
lilie,ľalie
lingvisté,lingvisti
linkami,linkami
lití,liatie
loděnice,lodenica
loučení,lúčenie
loučení,rozlúčenie
lyžařský,lyžiarsky
lékaře,lekára
lékárna,lekáreň
létal,lietal
léto,leto
léčit,liečiť
lídra,lídra
lístek,lístok
magnet,magnet
magnetickým,magnetickým
majitel,majiteľ
majora,majora
maloobchod,maloobchod
manažer,manažér
manažeři,manažéri
mandle,mandle
manuál,manuál
manévrování,manévrovanie
manžel,manžel
manželů,manželov
mapu,mapu
mapě,mape
masky,masky
maso,mäso
mastných,mastných
mater,mater
mateřské,materské
matku,matku
matrace,matrace
matriky,matriky
maturitou,maturitou
mazací,mazacie
mechanicky,mechanicky
media,media
medu,medu
medvědi,medvede
meruňka,marhuľa
metodu,metódu
metr,meter
mezi,medzi
mezinárodní,medzinárodný
milosti,milosti
milovník,milovník
milé,milé
minerál,minerál
minimalizace,minimalizácia
minimální,minimálny
ministr,minister
minotaur,minotaurus
minulost,minulosť
mise,misia
misky,misky
mistrovství,majstrovstvá
mixér,mixér
mladou,mladou
mlsný,maškrtný
mnohem,omnoho
mnohem,oveľa
mnoho,mnoho
množství,množstva
množství,čiastka
mobilní,mobilný
mocný,mocný
mocných,mocných
modrat,modrať
mohutná,mohutná
mohutný,mohutný
moj,moj
monarchie,monarchie
monstrum,monštrum
montáže,montáže
more,more
morálka,morálka
motivovat,motivovať
moudrost,múdrosť
mozkový,mozgový
močového,močového
mořský,morský
možností,možností
mrkev,mrkva
myšlenka,myšlienka
myšlení,myslenie
máslo,maslo
míchat,miesiť
míchat,miešať
mísa,misa
místnost,miestnosť
místní,lokálne
místní,miestna
místní,miestne
místní,lokálna
místní,lokálny
místní,miestny
místní,miestni
místo,miesto
mít,mať
mít,pokladať
míč,lopta
měkké,mäkký
měl,mal
města,mestá
městečko,mesto
měsíc,mesiac
můstek,mostík
může,môže
nabídka,ponuka
nabízených,ponúknutých
nadcházející,blížiaci
nadstandardní,nadštandardný
nahoru,hore
nahoru,nahor
nahrané,nahrané
nahrané,zaznamenané
nahrazovat,nahrádzať
nahrazuje,nahrádza
nahrávání,nahrávanie
nainstalovat,nainštalovať
nainstalován,nainštalovaný
najlepšie,najlepšie
najít,nájsť
nakládání,nakladanie
nakolik,nakoľko
nalezena,nájdená
nalézat,nachádzať
namísto,miesto
namísto,namiesto
napadnout,napadnúť
napadá,napadá
naplnit,naplniť
naplněn,naplnený
napsali,napísali
napsat,napísať
napíše,napíše
narozeniny,narodeniny
narychlo,narýchlo
nasadila,nasadila
naslouchat,počúvať
nastaven,nastavený
nastupuje,nastupuje
naučili,naučili
naučit,naučiť
navenek,navonok
navigace,navigácia
navrhli,navrhli
navrhovaných,navrhovaných
navrhovat,navrhovať
navýšení,zväčšenie
navýšení,zvýšenie
navštívit,navštíviť
navštěvovat,navštevovať
nazývaná,nazývaná
nazývat,hovoriť
nařídit,nastaviť
našli,našli
nebe,nebo
nebeská,nebeské
neboť,lebo
nebude,nebude
nebudeš,nebudeš
necelých,necelých
nech,nech
nedostatek,nedostatok
nedostatečně,nedostatočne
nejlepší,najlepší
nejspíš,najskôr
největší,najväčší
největší,najväčšie
nepřiměřené,neprimerané
neschopnost,neschopnosť
nespočetně,neúrekom
neutrální,neutrálny
neuvěřitelný,neuveriteľný
nevěrný,neverný
nezletilých,neplnoletých
neznat,nepoznať
nikdo,nikto
nikoli,nie
nit,niť
normální,normálny
normálně,normalne
nosiče,nosičov
novinář,novinár
nábytek,nábytok
nádobí,riad
nájemce,nájomca
nárokovat,nárokovať
nárůst,nárast
následně,následne
násobek,násobok
nátěr,náter
návštěv,návštev
návštěvník,návštevník
nést,vznášať
nést,prinášať
nést,vanúť
něco,čosi
něco,niečo
nějaký,nejaký
někam,niekam
několika,niekoľko
některý,niektorý
obchodování,obchodovanie
období,doba
období,obdobia
obdržel,obdržal
objev,objav
objevit,vynoriť
oblečení,šaty
oblečení,oblečenie
obnovit,obnoviť
obočí,obočie
obr,obor
obránci,obhajcovia
obsahující,obsahujúci
obvinění,obvinenie
obvykle,spravidla
obvyklý,zvyčajný
obvyklý,bežný
obyvatel,obyvateľ
obyvatel,obyvateľov
obyčejný,obyčajný
obývák,obývačka
občan,občan
občerstvení,občerstvenie
obětní,obetný
ocas,chvost
ochránit,ochrániť
odběr,odber
odcházet,odchádzať
oddanost,oddanosť
oddíl,oddiel
odděleny,rozdelené
oddělení,oddelenie
odehrát,odohrať
odečíst,odpočítať
odečísť,odčítať
odhalena,odhalená
odhalení,odhalenie
odjet,odísť
odkazovat,odkazovať
odmítnout,odmietnuť
odmítnout,zamietnuť
odnést,odniesť
odolat,odolať
odplata,odveta
odpoledne,poobede
odpoledne,popoludní
odpovědi,odpovede
odpověď,odpoveď
odpočinout,odpočinúť
odpustit,odpustiť
odpůrce,odporca
odrážejí,odrážajú
odrůda,odroda
odsouzena,odsúdená
odstavce,odseky
odstraněno,odstránené
odstranění,odstránenie
odtud,odtiaľ
odvíjet,odvíjať
odůvodněné,odôvodnené
okolí,okolie
olivie,olivia
omezený,obmedzený
omezuje,obmedzuje
omluvil,ospravedlnil
onemocněť,ochorieť
opatření,opatrenie
opatření,opatrenia
oprávněn,oprávnený
opět,opäť
opět,znova
originální,originálny
oslovit,osloviť
osolit,osoliť
ostrovní,ostrovný
ostrovy,ostrovy
osídlení,osídlenie
otevřen,otvorený
otevřeno,otvorené
otevření,otvorenie
otevřít,otvoriť
otisky,odtlačky
ovlivnit,ovplyvniť
ověřit,overiť
ovšem,iste
očekávané,očakávané
oživit,oživiť
padající,padajúci
padesát,päťdesiat
padnout,padnúť
padnout,spadnúť
padnout,sadnúť
panovat,panovať
parní,parný
past,pasca
patnáct,pätnásť
patrný,zrejmý
patrný,zreteľný
patřil,patril
patřila,patrila
patří,patrí
paže,ramená
pecka,kôstka
penzijní,penzijný
peněžní,peňažný
perfektní,perfektný
pevnost,opevnenie
pevnost,pevnosť
pilotní,pilotný
pivnice,piváreň
placené,platené
plat,mzda
plavání,plávanie
plete,pletie
plánů,plánov
pochopit,porozumieť
pocházet,pochádzať
podepsat,podpísať
podezřelá,podozrivá
podivný,čudný
podmínka,podmienka
podmínky,podmienky
podpořit,podporiť
podíl,podiel
podílet,podieľať
podívat,preskúmať
podívat,pozrieť
podívat,preveriť
pohlaví,pohlavie
pohádka,rozprávka
pojetí,poňatie
pokoušet,pokúšať
polibek,bozk
policie,polícia
polovina,polovica
polévka,polievka
pomohly,pomohli
pomůcka,pomôcka
pondělí,pondelok
populární,populárny
poradců,poradcov
porušení,porušovanie
poseltství,posolstvá
posilovat,posilniť
posilovat,posilňovať
posilování,posilovania
poskytnout,poskytnúť
poskytnout,udeliť
poslední,posledný
posouvat,posúvať
postupovat,postupovať
postřeh,postreh
posílat,posielať
potomků,potomkov
potrestání,potrestanie
poté,po
potěšení,potešenie
poukázky,poukážky
pouze,len
pouze,jedine
pouze,ibaže
používání,používanie
povedený,podarený
povinnost,povinnosť
povinný,povinné
povlečení,povlaky
povzbudit,povzdbudiť
povídat,vravieť
povídat,rozprávať
povídat,hovoriť
povídka,poviedka
povědomí,povedomie
později,neskôr
pozice,pozícia
pozitivní,pozitívny
pozměnit,upraviť
poznatek,znalosť
poznatek,poznatok
poznávání,poznávanie
počítat,počítať
pořád,stále
pořádek,poriadok
pořádný,poriadny
pořídit,nadobudnúť
pořídit,zaobstarať
pořídit,dodať
požadavek,požiadavka
pracovat,pracovať
prase,ošípaná
prdel,zadoček
preference,preferencie
preference,preferencia
prezentovat,prezentovať
princezna,princezná
privátní,privátna
privátní,súkromná
probudit,prebudiť
probudit,prebrať
probudit,zobudiť
probíhat,prebiehať
proběhnout,prebehnúť
procházka,prechádzka
prodat,predať
prohra,prehra
projednat,prediskutovať
projev,prejav
projevit,prejaviť
projevit,vzdať
prokletá,prekliata
prokládané,prekladané
prokázal,dokázal
prokázat,dokázať
prosadit,zrealizovať
prosadit,presadiť
prosadit,schváliť
prosinec,december
proslulý,vychýrený
proslulý,preslávený
proslulý,chýrny
prospěšný,prospešný
prostor,priestor
prostě,prosto
prostě,obyčajne
prostřednictvím,prostredníctvom
prostřední,prostredné
prostředí,prostredie
protože,pretože
proud,prúd
provaz,lano
provokovat,vyprovokovať
provoz,prevádzka
provozovna,prevádzkareň
provést,vyviesť
provést,povysvetľovať
provést,previesť
prvek,prvok
prý,údajne
průmyslový,priemyselný
průměrný,priemerný
ptačí,vtáčí
puchýř,pľuzgier
pulec,žubrienka
putovat,putovať
putovat,vandrovať
pákistánu,pakistanu
pálení,pálenie
pátek,piatok
pátý,piaty
péče,starostlivosť
písemný,písomný
pít,piť
pěšáci,pešiaci
přebytek,prebytku
před,pred
předejít,predstihnúť
předloha,predloha
předložit,podať
předložit,predniesť
předpoklad,predpoklad
předpokládat,predpokladať
předpovídat,predpovedať
předpověď,predpoveď
představa,vidina
představa,predstava
představitel,predstaviteľ
představitel,reprezentatnt
představovat,predstavovať
předání,odovzdanie
předávat,odovzdávať
přejít,pominúť
přejít,prehnať
překrocení,prekročenie
překročení,prekročenia
překupník,priekupník
překvapit,prekvapiť
přemístit,premiestniť
přemýšlet,premýšľať
přenést,preniesť
přerozdělování,prerozdelenie
přerušeno,prerušené
přes,skrz
přes,prostredníctvom
přesun,presun
přesunout,presunúť
přesvědčit,presviedčať
převod,prevod
převzetí,prevzatia
převzít,prevziať
převzít,prijať
přiblížit,priblížiť
přidaný,pridaný
přidat,pridať
přidat,zrýchliť
přidány,pridaný
přijet,prísť
přijímat,prijímať
přijímání,prijímanie
přijímání,prijatie
přijít,zohnať
přinášet,prinášať
přinést,priniesť
připojen,pripojený
připravena,pripravené
přirozený,prirodzený
přispívá,prispieva
přispět,prispieť
přispět,zložiť
přivítat,uvítať
přivítat,privítať
přiznat,unať
přání,prajeme
přát,priať
příjemný,príjemný
příklad,príklad
příloha,príloha
přímo,priamo
případ,prípad
příprava,príprava
přípravy,prípravy
příroda,príroda
přírodní,prírodný
přísady,prísady
přísnost,prísnosť
přítel,priateľ
přítelkyně,priateľka
přítelkyně,dievča
přívěsy,prívesy
příznak,symptóm
příští,budúci
půda,podkrovie
půjčka,pôžička
půlka,polovica
působení,pôsobenie
působit,pôsobiť
působivý,pôsobivý
působnost,vplyv
působící,pôsobiaci
původní,originál
původně,pôvodne
radikální,radikálny
radiální,radiálny
radost,radosť
rampouch,cencúľ
raší,klíči
reakce,reakcia
registrační,registračný
rekurze,rekurzia
relaxace,odpočinok
relaxační,relaxačný
reprezentace,zastúpenie
reputace,reputácia
restaurace,reštaurácia
revidované,prepracované
reálně,reálne
režie,réžia
roce,roku
rovnat,vyrovnávať
rovněž,aj
rovněž,taktiež
rozbalit,rozbaliť
rozcestí,križovatka
rozcestí,rozcestie
rozdělen,rozdelený
rozhodnout,rozhodnúť
rozhodnutí,rozhodnutie
rozhodovat,rozhodovať
rozhodčí,rozhodca
rozměr,rozmer
rozsáhlou,rozsiahlou
rozsáhlý,rozsiahly
rozvinuté,vyvinuté
rozzlobený,nahnevaný
rozšiřování,rozširovanie
rozšíření,rozšírenie
rozšířený,rozšírený
ručník,uterák
rušit,rušiť
rušit,obťažovať
rychle,rýchlo
rychlost,rýchlosť
rytíř,rytier
ráj,raj
ráje,raja
růst,rast
různý,rôzny
samice,samica
samostatně,samostatne
samotnou,samotnou
samotné,samotné
samotným,samotným
samotnými,samotnými
samoty,samoty
samozřejmost,samozrejmosť
samým,samým
satelit,satelit
sbor,zbor
sběr,zber
schoval,skryl
schvalování,schvaľovanie
schválili,schválili
schůzka,stretnutie
se,se
sedle,sedle
sehnat,zohnať
sekundární,sekundárny
sekundární,druhotný
sekvence,sekvencie
semínka,semien
seriózní,seriózny
servis,servis
sestava,zostava
sestup,zostup
sever,sever
sexuální,sexuálny
seznam,zoznam
seznámit,predstaviť
seznámit,zoznámiť
sezónou,sezónou
shánět,zháňať
silniční,cestný
silná,silné
singlu,singlu
situace,situácia
skalách,skalách
skandály,škandály
skla,skla
skladové,skladové
sklo,sklo
sklonu,sklonu
skok,skok
skončit,dopadnúť
skončit,skončiť
skončit,dokončiť
skupinou,skupinou
skutečnost,skutočnosť
skutečnost,realita
skutečnost,fakt
skutečný,pravý
skutečný,ozajstný
skutečný,reálny
skutečně,skutočne
skutečně,vskutku
skvěle,brilantne
skvěle,geniálne
skvěle,skvele
skvěle,skvelo
skvělé,skvělé
skvělý,ohromný
skvělý,vynikajúci
skála,skala
skříň,skriňa
skříňky,skrine
skříňky,skrinky
slalom,slalom
slavit,sláviť
slavnostní,slávnostný
sledovali,sledovali
sledování,sledovanie
sleva,zľava
slibovat,sľubovať
slon,slon
sloupci,stĺpca
sloupec,stĺpec
sloužit,slúžiť
slovanských,slovanských
slovenskou,slovenskou
slovensky,slovensky
slovenských,slovenských
sloveso,sloveso
složit,tvoriť
složitá,komplexná
složité,komplexné
složka,zložka
slušet,hodiť
slyšet,počuť
slzy,slzy
slíbit,sľúbiť
smlouva,zmluva
smrt,úmrtie
smrt,smrť
smířit,uzmieriť
smířit,zmieriť
smíšená,zmiešaná
smíšený,zmiešaný
směs,zmes
směřovat,smerovať
snad,snáď
snadný,ľahký
snažit,snažiť
snažit,usilovať
snažíme,snažíme
snižovat,ponižovať
snižovat,znižovať
snímání,snímkovanie
snímání,nasnímanie
snímání,zobrazovanie
snížený,zmenšený
snížený,obmedzený
snížený,znížený
snížený,redukovaný
snížený,zredukovaný
snížený,poklesnutný
socialistického,socialistického
souboj,súboj
soubor,súbor
souběžně,súbežne
souběžně,súčasne
souběžně,paralelne
soud,súd
soukromý,súkromný
soupeř,súper
sousední,susedný
soutěž,súťaž
související,súvisiace
související,pridružené
současná,súčasná
současný,súbežný
současný,dnešný
současný,moderný
současný,terajší
součást,súčasť
sovětský,sovietsky
sošky,sošky
spadat,spadať
specifikace,špecifikácia
speciální,osobitný
spisu,spisu
splňovat,zodpovedať
spodní,spodný
spojený,spojený
spojit,zmiešať
spojit,spojiť
spokojenost,spokojnosť
spokojený,spokojný
spolehlivý,neomylný
společnost,firma
společnosti,spoločnosti
společník,spoločník
společně,dokopy
společně,spolu
spolupracovníci,spolupracovníci
spolupracující,spolupracujúci
sport,šport
sportovní,športový
spotřebitel,spotrebiteľ
spočívat,spočívať
spravedlnost,spravodlivosť
spravovat,viesť
sprcha,sprcha
správný,poriadny
správně,dobre
spustit,spustiť
spí,spí
srbský,srbský
srdce,srdcia
srovnatelné,porovnateľné
stale,stale
stali,stali
stane,stane
stanovit,uzákoniť
stanovit,určiť
stanovuje,stanovuje
startovat,štartovať
statky,statky
stejně,rovnako
stihne,stihne
stisknout,stisnúť
stisknout,stlačiť
stisknutí,stisnutie
stisknutí,stlačenie
století,storočia
stolice,stolica
strašné,hrozné
struktura,štruktúra
strávit,stráviť
studijní,štúdijný
studio,štúdio
studium,štúdium
studovat,študovať
stupni,stupni
styk,styk
stylový,štýlový
stádo,stádo
stáj,stajňa
stálý,neochvejný
stálý,trvalý
stálý,stály
stálý,neotrasiteľný
stánek,stánok
státní,štátny
stíhací,stíhací
stín,tieň
stížnost,sťažnosť
stýskat,chýbať
střecha,strecha
středa,streda
středně,pomerne
střela,projektil
střet,kolízia
střeva,črevá
střevo,črevo
střídavě,striedavo
střílet,strieľať
subjektivní,subjektívny
substrát,substrát
super,super
svatost,posvätnosť
svatyně,útočisko
svaté,sväté
svatý,svätec
svatý,svätý
svatý,posvätný
svoboda,sloboda
své,své
svědci,svedkovia
svědectví,svedectvo
svědkové,svedkovia
světelný,svetelný
světové,svetové
symbol,symbol
symbolicky,symbolicky
synonymum,synonymum
syrový,surový
systém,systém
sáhů,siah
sázet,sádzať
sériová,sériová
sídla,sídla
síto,sito
síť,sieť
sólo,sólo
sýr,syr
tabulka,tabuľka
tajemník,tajomník
tajemství,tajomstvo
tak,tak
taktiky,taktiky
taktovkou,taktovkou
také,také
také,aj
tažného,ťažného
tchán,svokor
technický,technický
technik,technik
tekutina,tekutina
tekuté,tekuté
telefon,telefón
temnoty,temnoty
tempo,tempo
tepla,tepla
teple,teple
teplá,teplá
teplých,teplých
teroristické,teroristické
terénní,terénny
test,test
testovány,skúšané
testování,skúšanie
texty,texty
tisknout,tlačiť
tlustá,tučná
tma,tma
tohto,tohto
tolerance,znášanlivosť
tolerance,strpenie
tolerance,tolerancia
tolik,toľko
toužit,túžiť
toxické,toxické
tramvaj,električka
transparentnosti,transparentnosti
trička,trička
trojice,trojica
trolejbusy,trolejbusy
trpělivosti,trpezlivosti
trvalý,trvalý
trvalým,trvalým
trvat,trvať
trávit,tráviť
trénoval,trénoval
tržiště,trh
tržiště,trhovisko
tušit,tušiť
tvorba,tvorba
tvoření,tvorenie
tvoří,tvorí
tvář,tvár
tygr,tiger
typických,typických
tyto,tieto
táta,oco
témata,tém
téměř,takmer
též,taktiež
též,takisto
týden,týždeň
týkající,týkajúci
týkající,vzťahujúci
týkat,týkať
týkat,vzťahovať
tělo,telo
tělocvična,telocvičňa
tělocvičně,telocvični
těsný,blízky
těžký,bolestný
těžký,ťažký
těžší,silnejší
tři,tri
třikrát,trikrát
ubrousek,vreckovka
udržovat,udržovať
udržovat,udržiavať
udržuje,udržuje
udělen,udelený
udělit,dať
udělit,poskytnúť
udřít,udrieť
uhradit,uhradiť
ukazovat,ukazovať
uklidňující,upokojujúci
ukončené,ukončené
ukončení,zastavenie
ukončení,prerušenie
ukončením,ukončením
ukončit,ukončiť
ukončit,skončiť
ukázala,ukázala
ulice,ulica
uložení,uloženie
umístění,poloha
umělec,umelec
umět,vedieť
unaven,unavený
unisex,unisex
univerzitu,univerzitu
upravené,upravené
upřesnit,upresniť
upřímný,úprimný
upřímně,úprimne
určil,určil
usmířili,zmierili
utrácet,míňať
uveřejnění,uverejnenie
uznávaným,uznávaným
učila,učila
užitečné,užitočné
vadí,vadí
variace,variácie
vedro,horúčava
velbloud,ťava
velikosti,veľkosti
veliteli,veliteľovi
veličina,veličina
velké,veľké
velmi,veľmi
vepřový,bravčový
verze,verzie
verze,verzia
verš,verš
veselé,veselé
veselý,veselý
vesmír,vesmír
vesnic,dedín
vesnice,dedina
vesnice,dediny
veterináři,veterinári
veverka,veverička
veverka,veverica
videu,videu
vidění,videnie
vlastnost,vlastnosť
vlaštovky,lastovičky
vodní,vodný
volání,volanie
vybrán,vybraný
vyhovět,vyhovieť
vyhráli,vyhrali
vyhřívané,vyhrievané
vymyšlený,vymyslený
vyokácí,vypláca
vyplácí,zaplatí
vyskytuje,vyskytuje
vyslovuje,vyslovuje
vysokému,vysokému
vysokým,vysokým
vysvětlivky,vysvetlivky
vyvolané,vyvolané
vyřešení,vyriešenie
vyšlo,vyšlo
vzdušného,vzdušného
vzorec,vzorec
vzory,vzory
váhat,kolísať
války,vojny
vést,radiť
více,viac
více,viacej
výbavu,výbavu
výber,výber
východ,východ
výhled,výhľad
výhoda,výhoda
výhodou,výhodou
výjimku,výnimku
výkonným,výkonným
výkonu,výkonu
výpočty,výpočty
výprava,výprava
výrobci,výrobcovia
výslechy,pohovory
výstavách,výstavách
výstřel,výstrel
významnosti,významnosti
výzvou,výzvou
včera,včera
včetně,včítane
včetně,vrátane
věty,vety
větší,väčší
vězení,väznica
věřit,veriť
všechny,všetkých
všechny,všetky
všimli,všimli
zabijáci,zabijaci
zabijáci,vrahovia
zabil,zabil
zachránce,záchranca
zacílení,zacielenie
zahraniční,zahraničné
zahrnut,zahrnúť
zajímá,zaujíma
zamítnout,zamietnuť
zamítnout,odmietnuť
zaplatili,zaplatili
zapnout,zapnúť
zapojili,zapojili
zasedání,stretnutie
zasedání,zasadanie
zasnoubená,zasnúbená
zastavil,zastavil
zastaví,zastaví
zavedený,zavedený
zavřené,zatvorené
začínal,začínal
zařazení,zaradenie
zblízka,zblízka
zcela,kompletne
zcela,úplne
zcela,totálne
zde,tu
zde,tuto
zejména,obzvlášť
zeleniny,zeleniny
zelí,kapusta
zem,zem
země,krajiny
země,zemi
země,krajina
země,zem
země,zeme
zemědělství,agrikultúra
zemřel,zomrel
zimy,zimy
zjišťování,detekcia
zjišťování,zisťovanie
zkrácená,skrátená
zkrátit,skrátiť
zla,zla
zlatou,zlatou
zlaté,zlaté
zlepšení,zlepšení
změřit,zmerať
znamená,znamená
značkové,značkové
značné,značné
zničit,zničiť
známka,známka
známí,známi
známý,známy
znát,poznať
zobrazí,zobrazí
zoufalství,zúfalstvo
zpověď,priznanie
zpoždení,opozdenie
způsobilé,spôsobilé
způsobilé,oprávnené
zralý,zrelý
zrušili,zrušili
ztracena,stratená
ztratit,prehrať
ztrát,prehier
zuřivý,zúrivý
zvolení,zvolení
zvukové,zvukové
zvýšením,zvýšením
zvýšila,zvýšila
zvědavá,zvedavá
zábavné,zábavné
zábavu,zábavu
záchranného,záchranného
záchvat,záchvat
zájemce,záujemca
zákazníky,zákazníkov
zákon,zákon
zákroky,zákroky
zámek,zámok
zásada,zásada
zásluhou,zásluhou
závazek,záväzok
závazné,záväzné
záznamu,záznamu
záře,žiara
zóny,zóny
zúčastnil,zúčastnil
zúčastnili,zúčastnili
údržba,údržba
úmrtí,úmrtia
únor,február
úplným,úplným
úseku,úseku
úspěšný,úspešný
ústavní,ústavný
ústavu,ústavu
útvary,útvary
území,teritórium
účelové,účelové
účinné,efektívne
úžasný,úžasný
čas,čas
časových,časových
čelí,čelia
červen,jún
červenec,júl
česka,česka
česku,česku
česká,česká
českým,českým
čestný,čestný
čestným,čestným
čestně,čestne
či,či
činných,činných
činy,činy
člověk,človek
čtenáři,čitatelia
čtyři,štyri
čáp,bocian
část,časť
části,časti
části,diely
řada,edícia
řada,rad
řepa,cvikla
řezník,mäsiar
řeřicha,žerucha
řešit,zaoberať
řidič,šofér
řád,rád
řádky,riadky
říct,povedať
říjen,október
říkat,nazývať
říkat,hovoriť
řízek,rezeň
říše,ríša
štěstí,šťastie
žaludeční,žalúdočný
želva,korytnačka
živočichové,živočíchy
žádoucí,žiaduci
