en,ko
override,덮어쓰기
precisely,정확하게
macedonia,마케도니아
excluding,제외
urine,오줌
deployment,배포
mice,생쥐
middle,중간
gymnastics,체조
atom,아톰
sunshine,햇살이
cairo,카이로
