en,ko
orlando,올랜도
dental,치과
illustrations,삽화
madonna,마돈나
daud,다윗
dancers,댄서
wei,웨이
compress,압축
sunshine,햇살이
porto,포르투
falcon,팰콘
mapo,마포구
return,귀환
sunshine,선샤인
fibt,fibt
mature,성숙
taiwanese,대만
priority,우선순위
typhoon,타이푼
badminton,배드민턴
gonzalez,곤잘레스
matching,매칭
porto,포르토
health,건강
sandbox,샌드박스
desktop,데스크톱
prizes,상금
janet,자넷
explain,설명하기
crest,크레스트
sphere,스피어
sierra,시에라
frost,서리
ottawa,오타와
gardner,가드너
puppet,꼭두각시
motivation,동기부여
mohamed,모하메드
verification,인증
doctor,닥터
relevance,관련성
obsessed,집착
hitomi,히토미
marching,행진
acquire,확보
auction,옥션
rolls,롤스
dresden,드레스덴
alphabet,문자
via,via
frames,프레임
pronunciation,발음
frog,개구리
alphabet,알파벳
alibaba,알리바바
notary,공증인
translator,번역기
prosecution,기소
exhibits,전시회
teenage,십대
sanders,샌더스
coach,코치
reds,레즈
sue,고소
limitations,한계
leopold,레오폴드
belief,믿음
phantom,팬텀
economist,경제학자
historic,사적
courage,용기
burger,햄버거
officially,officially
tibetan,티베트어
eiko,에이코
bug,버그
devils,사탄
horizon,호라이즌
adjustments,조정
quit,종료
lifestyle,생활
beta,베타
lyme,라임
ancestors,조상
preparedness,대비
barber,이발
insulator,절연체
derivative,파생상품
bet,내기
panamanian,파나마
partition,분할
educators,교육자
vowel,모음
priorities,우선순위
assassin,암살
specify,지정
hanover,하노버
motorsport,모터스포츠
linguistics,언어학
gerard,제라드
federal,연방
sterling,스털링
georgetown,조지타운
nukes,핵무기
santorini,산토리니
solids,고체
surin,수린
countryside,시골
masses,질량
melt,녹아
refuse,거절
nationalism,내셔널리즘
everywhere,어디든
micro,마이크로소프트
outcome,결과
cases,케이스
talented,재능있는
isobe,이소베
alvarez,알바레스
lynch,린치
chemical,화학
mature,성숙한
reaction,공감
petrol,가솔린
trapped,갇힌
boa,보아
surveys,설문조사
marcus,마커스
applied,응용
upper,윗쪽
sunshine,햇살
vulnerable,취약
monkey,몽키
lance,랜스
legislative,입법
strange,이상한
obedience,순종
mileage,마일리지
dynamics,동역학
exploration,탐사
softball,소프트볼
cartilage,연골
illustrations,삽화
beaters,최강
sensitive,민감한
heating,난방
scots,스코틀랜드인
ricardo,히카르두
sponsor,후원
smackdown,스맥다운
modems,모뎀
wentworth,웬트워스
rope,로프
composite,컴포지트
rockets,로켓
lethal,치명적
promises,약속
stamps,스탬프
batsman,배팅
diddy,디디디
itunes,아이튠스
flood,홍수
pbs,pbs
traces,자취
iit,iit
msnbc,msnbc
philosopher,철학
carpenter,목수
habitats,서식지
douglas,더글러스
breakage,파손
smoking,흡연
camp,캠프
calm,차분
informal,비공식
tuesday,화이팅
ferguson,퍼거슨
suspicious,의심
drawing,그리기
deny,거부
peaceful,평화로운
kirk,커크
monarchy,군주제
frog,개구리목
assassins,암살자
carnegie,카네기
pioneers,개척자
weight,몸무게
workshops,워크숍
quantities,수량
norwich,노리치
sputnik,스푸트니크
rent,임대료
passover,유월절
livestock,가축
audiences,타겟
langlands,랭글랜즈
spa,스파
algebra,대수
satellites,위성
cottage,오두막
venus,금성
adults,성인
sponsors,후원
rex,렉스
msc,msc
rent,임대
drummer,드러머
idealism,관념
martini,마티니
titans,타이탄
yemen,예멘
edm,edm
kendall,켄달
typhoon,태풍
embedded,임베디드
acute,급성
randolph,랜돌프
boot,부트
compliance,준수
devils,데블스
conflict,충돌
valentine,발렌타인
grains,곡물
locked,잠겨
photographers,사진관
purchase,구매
logged,기록함
tickets,티켓
contest,콘테스트
abortions,낙태
radiating,방산
query,쿼리
trim,트림
angola,앙골라
capturing,캡처
protestantism,개신교
holidays,공휴일
suspicious,의심스러운
expense,비용
vacuum,진공
valleys,골짜기
differentiated,차별화
ext,ext
chronicles,연대기
director,디렉터
hughes,휴스
wow,우와
compare,비교하기
servers,서버
toys,장난감
instant,즉석
lacrosse,라크로스
entries,항목
world,월드
fragments,단편
explore,둘러보기
masses,덩어리
container,용기
gifts,선물
bait,미끼
greensboro,그린즈버러
secretary,비서
encouraging,격려
manners,매너
headache,두통
christie,크리스티
veil,베일
elisabeth,엘리자베스
vest,조끼
childcare,육아
ist,ist
derivative,파생상품
impact,영향력
baldwin,보두앵
carriers,캐리어
conrad,콘라드
blue,파랑
skiing,스키
watts,와츠
drag,끌기
translator,번역
liver,간디
habitats,서식지
terrestrial,지상
sunderland,선덜랜드
bag,가방
dash,대시
continuation,계속
percentage,퍼센트
candy,캔디
cbc,cbc
fin,지느러미
vagina,질질
syncing,동기화
coventry,코번트리
theft,도난
custom,맞춤
fake,가짜
convent,수녀원
madonna,성모
asylum,어사일럼
short,짧게
swanson,스완슨
maxwell,맥스웰
polar,극성
accepts,수락
tech,테크
afterlife,저승
bates,베이츠
salon,살롱
kerry,케리
explicit,명시
rallying,랠리
ecology,생태학
frigate,프리깃함
bts,bts
trends,트렌드
torres,토레스
diamonds,다이아몬드
valentine,밸런타인
inactive,비활성화
shoots,새싹
magic,마술
youtube,유투브
crimes,범죄
armoured,기갑
gallium,갈륨
latest,최신
rainbow,레인보우
basis,기초
jerome,제롬
rendering,렌더링
corneal,각막
nicole,니콜
nurses,간호사
viewing,보기
invalid,오류
detection,검출
attribution,저작자
sphinx,스핑크스
acre,아크레
drake,드레이크
prejudice,편견
inquisition,종교재판
suspension,현수막
newman,뉴먼
imported,가져온
miscellaneous,기타
sara,사라
danny,대니
something,something
attachments,첨부
proverb,속담
tattoo,문신
evolve,진화
sharks,상어
infected,감염된
useless,쓸데없는
inferno,인페르노
trace,추적
han,한한
forums,포럼
dimension,차원
eleanor,엘리너
coordinator,코디네이터
hallelujah,할렐루야
artwork,삽화
boys,보이스
batteries,전지
nationals,내셔널스
carlisle,칼라일
breakdown,분석
pbc,pbc
