en,ko
ocarina,오카리나
conrad,콘래드
kodak,코닥
sailor,세일러
david,다윗
concerto,협주곡
cheltenham,첼트넘
reflection,반영
brass,브라스
loyal,충실
imprisonment,감금
breakfast,조식
angel,엔젤
costume,의상
boring,지루한
pepper,페퍼
indonesian,인도네시아
lahore,라호르
crow,까마귀
explosive,폭발물
checkmate,메이트
lorraine,로렌
sen,센다
aoa,aoa
panels,패널
consistency,일관성
clarification,해명
theatres,영화관
hack,hack
communists,공산주의자
spinning,빙글빙글
dish,요리
corners,모서리
destinations,목적지
lineup,라인업
hitoshi,히토시
jupiter,목성
steal,훔쳐
gravel,자갈
sacramento,새크라멘토
piraeus,피레아스
canberra,캔버라
canoeing,카누
introduction,도입
custody,구류
dover,도버
code,코드
brands,브랜드
normandy,노르망디
graduated,졸업
distances,거리
baritone,바리톤
calibration,보정
conrad,콘라트
moss,이끼
tracy,트레이시
companions,동반자
beaver,비버
applets,애플릿
yearly,매년
shuttle,셔틀
healing,힐링
saturn,토성
sheikh,셰이크
systems,체계
satomi,사토미
coordinate,좌표
hermann,헤르만
unarmed,비무장
provider,제공자
artwork,아트워크
barcodes,바코드
picasso,피카소
tobago,토바고
protein,단백질
mentor,멘토
edges,가장자리
admission,입장료
amusement,놀이
collision,충돌
area,지역
duplicate,복제
consumer,소비
bright,밝아
lesbian,레즈비언
shampoos,샴푸
sends,보냅니다
satisfied,만족
face,얼굴
finger,핑거
choose,선택
gummy,거미
makoto,마코토
hoffmann,호프먼
protagonist,주인공
theme,테마
photogenic,포토제닉
fischer,피셔
locations,위치
stefan,스테판
usd,미화
aunt,숙모
concurrent,병행
theft,절도
television,텔레비전
pensions,연금
fading,페이딩
diary,일기
listening,듣기
sirius,시리우스
beast,짐승
miners,광부
barrel,배럴
loading,로딩
tagging,태그
masking,마스킹
hillsboro,힐즈버러
writers,작가
mecca,메카
integral,적분
compatible,호환
sss,sss
boot,부츠
authentic,정통
divide,나누기
theaters,영화관
tai,태극권
education,교육학
jagger,jagger
realistic,현실적
lakewood,레이크우드
simple,간단한
tate,테이트
commitment,헌신
leaders,리더
limited,제한된
bolívar,볼리바르
gustav,구스타프
variables,변수
holidays,연휴
distribute,배포
mega,메가
northeast,북동
homeless,노숙자
swan,스완
pérez,페레스
transparent,투명한
regulator,조절
prospect,전망
annabelle,애너벨
wealthy,부자
planes,비행기
quarterly,분기
baldwin,볼드윈
lonely,외로워
asteroid,소행성
bedford,베드포드
opaque,불투명
chad,차드
washing,씻기
trim,다듬기
microsystems,마이크로시스템즈
wound,부상
bath,바스
alignment,선형
skip,스킵
stupid,멍청이
revision,리비전
silicon,규소
residents,레지던트
lovers,연인들
catholicism,가톨릭교회
blackburn,블랙번
calvin,칼뱅
calm,잔잔한
beckett,베켓
memoirs,회상록
abram,아브람
homecoming,동창회
fever,열이
downs,다운
ibrahim,이브라힘
satellites,인공위성
finger,손가락
riverside,리버사이드
carlyle,칼라일
honey,여보
venezuelan,베네수엘라
escort,호위
chemicals,화학품
walks,걷기
drunk,취해
founder,창립자
herschel,허셜
latina,라티나
candace,캔디스
algebra,대수학
individually,개별적으로
ritchie,리치
rayleigh,레일리
payments,송금
aik,aik
partition,파티션
worry,걱정
marilyn,마릴린
cunningham,커닝햄
effect,효과
germanic,게르만
chest,가슴
darwin,다윈
cambodia,캄보디아
enhance,향상
christine,크리스틴
effectiveness,효율성
catastrophe,재난
cmo,cmo
shapes,모양
governance,거버넌스
kuma,쿠마
researcher,연구원
mines,지뢰
willis,윌리스
availability,가용성
physicist,물리학자
indigo,남색
elias,엘리어스
erm,erm
jenny,제니
racism,인종차별
warehouse,웨어하우스
ban,금지
davidson,데이비드슨
syria,시리아
emission,방출
sds,sds
trace,트레이스
sunscreen,자외선
excel,excel
elvis,엘비스
pot,냄비
intel,인텔
elisabeth,엘리자베스
agnes,아그네스
used,사용
supermarket,슈퍼마켓
tanganyika,탕가니카
triumph,트라이엄프
myers,마이어스
pier,부두
